source	target	size
SALADILLO	25 DE MAYO	1
25 DE MAYO	9 DE JULIO	1
CARLOS CASARES	9 DE JULIO	1
SALLIQUELÓ	ADOLFO ALSINA	1
25 DE MAYO	ALBERTI	1
CHACABUCO	ALBERTI	1
CHIVILCOY	ALBERTI	1
PERGAMINO	ARRECIFES	1
LANÚS	AVELLANEDA	1
QUILMES	AVELLANEDA	1
BALCARCE	AYACUCHO	1
GENERAL GUIDO	AYACUCHO	1
MAIPÚ	AYACUCHO	1
MAR CHIQUITA	AYACUCHO	1
PILA	AYACUCHO	1
RAUCH	AYACUCHO	1
TANDIL	AYACUCHO	1
LAS FLORES	AZUL	1
OLAVARRÍA	AZUL	1
RAUCH	AZUL	1
TANDIL	AZUL	1
TAPALQUÉ	AZUL	1
GENERAL ALVARADO	BALCARCE	1
GENERAL PUEYRREDÓN	BALCARCE	1
MAR CHIQUITA	BALCARCE	1
TANDIL	BALCARCE	1
CAPITÁN SARMIENTO	BARADERO	1
SAN ANTONIO DE ARECO	BARADERO	1
ZÁRATE	BARADERO	1
ADOLFO GONZALES CHAVES	BENITO JUÁREZ	1
AZUL	BENITO JUÁREZ	1
LAPRIDA	BENITO JUÁREZ	1
NECOCHEA	BENITO JUÁREZ	1
OLAVARRÍA	BENITO JUÁREZ	1
TANDIL	BENITO JUÁREZ	1
ENSENADA	BERISSO	1
LA PLATA	BERISSO	1
MAGDALENA	BERISSO	1
25 DE MAYO	BOLÍVAR	1
9 DE JULIO	BOLÍVAR	1
CARLOS CASARES	BOLÍVAR	1
GENERAL ALVEAR	BOLÍVAR	1
OLAVARRÍA	BOLÍVAR	1
25 DE MAYO	BRAGADO	1
9 DE JULIO	BRAGADO	1
ALBERTI	BRAGADO	1
CHACABUCO	BRAGADO	1
JUNÍN	BRAGADO	1
CHASCOMÚS	BRANDSEN	1
GENERAL PAZ	BRANDSEN	1
LA PLATA	BRANDSEN	1
MAGDALENA	BRANDSEN	1
ESCOBAR	CAMPANA	1
EZEIZA	CAÑUELAS	1
GENERAL LAS HERAS	CAÑUELAS	1
GENERAL PAZ	CAÑUELAS	1
LA MATANZA	CAÑUELAS	1
MARCOS PAZ	CAÑUELAS	1
MONTE	CAÑUELAS	1
ARRECIFES	CAPITÁN SARMIENTO	1
SAN ANTONIO DE ARECO	CAPITÁN SARMIENTO	1
GENERAL VILLEGAS	CARLOS TEJEDOR	1
CAPITÁN SARMIENTO	CARMEN DE ARECO	1
SAN ANTONIO DE ARECO	CARMEN DE ARECO	1
CHASCOMÚS	CASTELLI	1
LEZAMA	CASTELLI	1
CARMEN DE ARECO	CHACABUCO	1
JUNÍN	CHACABUCO	1
ROJAS	CHACABUCO	1
SALTO	CHACABUCO	1
GENERAL PAZ	CHASCOMÚS	1
LEZAMA	CHASCOMÚS	1
MAGDALENA	CHASCOMÚS	1
25 DE MAYO	CHIVILCOY	1
CHACABUCO	CHIVILCOY	1
SUIPACHA	CHIVILCOY	1
PERGAMINO	COLÓN	1
