id	group	size
25 DE MAYO	Frente de Todos	35842
9 DE JULIO	Frente de Todos	47722
ADOLFO ALSINA	Juntos por el cambio	17072
ADOLFO GONZALES CHAVES	Frente de Todos	12047
ALBERTI	Frente de Todos	10654
ALMIRANTE BROWN	Frente de Todos	552902
ARRECIFES	Juntos por el cambio	29044
AVELLANEDA	Frente de Todos	342677
AYACUCHO	Juntos por el cambio	20337
AZUL	Juntos por el cambio	65280
BAHÍA BLANCA	Juntos por el cambio	301572
BALCARCE	Juntos por el cambio	43823
BARADERO	Frente de Todos	32761
BENITO JUÁREZ	Frente de Todos	20239
BERAZATEGUI	Frente de Todos	324244
BERISSO	Frente de Todos	88470
BOLÍVAR	Frente de Todos	34190
BRAGADO	Frente de Todos	41336
BRANDSEN	Frente de Todos	26367
CAMPANA	Juntos por el cambio	94461
CAÑUELAS	Frente de Todos	51892
CAPITÁN SARMIENTO	Juntos por el cambio	14494
CARLOS CASARES	Frente de Todos	22237
CARLOS TEJEDOR	Frente de Todos	11570
CARMEN DE ARECO	Frente de Todos	14692
CASTELLI	Frente de Todos	8205
CHACABUCO	Frente de Todos	48703
CHASCOMÚS	Frente de Todos	38647
CHIVILCOY	Consenso federal	64185
COLÓN	Frente de Todos	24890
CORONEL DE MARINA LEONARDO ROSALES	Juntos por el cambio	62152
CORONEL DORREGO	Juntos por el cambio	15825
CORONEL PRINGLES	Juntos por el cambio	22933
CORONEL SUÁREZ	Frente de Todos	38320
DAIREAUX	Frente de Todos	16889
DOLORES	Juntos por el cambio	27042
ENSENADA	Frente de Todos	56729
ESCOBAR	Frente de Todos	213619
ESTEBAN ECHEVERRÍA	Frente de Todos	300959
EXALTACIÓN DE LA CRUZ	Frente de Todos	29805
EZEIZA	Frente de Todos	163722
FLORENCIO VARELA	Frente de Todos	426005
FLORENTINO AMEGHINO	Frente de Todos	8869
GENERAL ALVARADO	Frente de Todos	39594
GENERAL ALVEAR	Juntos por el cambio	11130
GENERAL ARENALES	Juntos por el cambio	14903
GENERAL BELGRANO	Juntos por el cambio	17365
GENERAL GUIDO	Juntos por el cambio	2816
GENERAL JUAN MADARIAGA	Juntos por el cambio	19747
GENERAL LA MADRID	Juntos por el cambio	10783
GENERAL LAS HERAS	Frente de Todos	14889
GENERAL LAVALLE	Juntos por el cambio	3700
GENERAL PAZ	Frente de Todos	11202
GENERAL PINTO	Frente de Todos	11261
GENERAL PUEYRREDÓN	Juntos por el cambio	618989
GENERAL RODRÍGUEZ	Frente de Todos	87185
GENERAL SAN MARTÍN	Frente de Todos	414196
GENERAL VIAMONTE	Frente de Todos	18078
GENERAL VILLEGAS	Juntos por el cambio	30864
GUAMINÍ	Frente de Todos	11826
HIPÓLITO YRIGOYEN	Frente de Todos	9585
HURLINGHAM	Frente de Todos	181241
ITUZAINGÓ	Frente de Todos	167824
JOSÉ C. PAZ	Frente de Todos	265981
JUNÍN	Frente de Todos	90305
LA COSTA	Frente de Todos	69633
LA MATANZA	Frente de Todos	1775816
LA PLATA	Frente de Todos	654324
LANÚS	Frente de Todos	459263
LAPRIDA	Frente de Todos	10210
LAS FLORES	Frente de Todos	23871
LEANDRO N. ALEM	Frente de Todos	16799
LEZAMA	Juntos por el cambio	5661
LINCOLN	Juntos por el cambio	41808
LOBERÍA	Juntos por el cambio	17523
LOBOS	Frente de Todos	36172
LOMAS DE ZAMORA	Frente de Todos	616279
LUJÁN	Frente de Todos	106273
MAGDALENA	Juntos por el cambio	19301
MAIPÚ	Juntos por el cambio	10188
MALVINAS ARGENTINAS	Frente de Todos	322375
MAR CHIQUITA	Frente de Todos	21279
MARCOS PAZ	Frente de Todos	54181
MERCEDES	Frente de Todos	63284
MERLO	Frente de Todos	528494
MONTE	Juntos por el cambio	21034
MONTE HERMOSO	Frente de Todos	6499
MORENO	Frente de Todos	452505
MORÓN	Frente de Todos	321109
NAVARRO	Frente de Todos	17054
NECOCHEA	Juntos por el cambio	92933
OLAVARRÍA	Juntos por el cambio	111708
PATAGONES	Frente de Todos	30207
PEHUAJÓ	Frente de Todos	39776
PELLEGRINI	Juntos por el cambio	5887
PERGAMINO	Juntos por el cambio	104590
PILA	Frente de Todos	3640
PILAR	Frente de Todos	299077
PINAMAR	Juntos por el cambio	25728
PRESIDENTE PERÓN	Frente de Todos	81141
PUÁN	Juntos por el cambio	15743
PUNTA INDIO	Frente de Todos	9888
QUILMES	Frente de Todos	582943
RAMALLO	Frente de Todos	33042
RAUCH	Juntos por el cambio	15176
RIVADAVIA	Frente de Todos	17143
ROJAS	Juntos por el cambio	23432
ROQUE PÉREZ	Frente de Todos	12513
SAAVEDRA	Juntos por el cambio	20749
SALADILLO	Juntos por el cambio	32103
SALLIQUELÓ	Frente de Todos	8644
SALTO	Frente de Todos	32653
SAN ANDRÉS DE GILES	Frente de Todos	23027
SAN ANTONIO DE ARECO	Frente de Todos	23138
SAN CAYETANO	Juntos por el cambio	8399
SAN FERNANDO	Frente de Todos	163240
SAN ISIDRO	Juntos por el cambio	292878
SAN MIGUEL	Juntos por el cambio	276190
SAN NICOLÁS	Juntos por el cambio	145857
