provincia	departamento	poblacion_2010
Buenos Aires	La Matanza	1775816
Buenos Aires	La Plata	654324
Buenos Aires	General Pueyrredón	618989
Buenos Aires	Lomas de Zamora	616279
Buenos Aires	Quilmes	582943
Buenos Aires	Almirante Brown	552902
Buenos Aires	Merlo	528494
Buenos Aires	Lanús	459263
Buenos Aires	Moreno	452505
Buenos Aires	Florencio Varela	426005
Buenos Aires	General San Martín	414196
Buenos Aires	Tigre	376381
Buenos Aires	Avellaneda	342677
Buenos Aires	Tres de Febrero	340071
Buenos Aires	Berazategui	324244
Buenos Aires	Malvinas Argentinas	322375
Buenos Aires	Morón	321109
Buenos Aires	Bahía Blanca	301572
Buenos Aires	Esteban Echeverría	300959
Buenos Aires	Pilar	299077
Buenos Aires	San Isidro	292878
Buenos Aires	San Miguel	276190
Buenos Aires	Vicente López	269420
Buenos Aires	José C. Paz	265981
Buenos Aires	Escobar	213619
Buenos Aires	Hurlingham	181241
Buenos Aires	Ituzaingó	167824
Buenos Aires	Ezeiza	163722
Buenos Aires	San Fernando	163240
Buenos Aires	San Nicolás	145857
Buenos Aires	Tandil	123871
Buenos Aires	Zárate	114269
Buenos Aires	Olavarría	111708
Buenos Aires	Luján	106273
Buenos Aires	Pergamino	104590
Buenos Aires	Campana	94461
Buenos Aires	Necochea	92933
Buenos Aires	Junín	90305
Buenos Aires	Berisso	88470
Buenos Aires	General Rodríguez	87185
Buenos Aires	Presidente Perón	81141
Buenos Aires	La Costa	69633
Buenos Aires	Azul	65280
Buenos Aires	Chivilcoy	64185
Buenos Aires	Mercedes	63284
Buenos Aires	Coronel de Marina Leonardo Rosales	62152
Buenos Aires	San Vicente	59478
Buenos Aires	San Pedro	59036
Buenos Aires	Tres Arroyos	57110
Buenos Aires	Ensenada	56729
Buenos Aires	Marcos Paz	54181
Buenos Aires	Cañuelas	51892
Buenos Aires	Chacabuco	48703
Buenos Aires	9 de Julio	47722
Buenos Aires	Balcarce	43823
Buenos Aires	Trenque Lauquen	43021
Buenos Aires	Chascomús	42277
Buenos Aires	Lincoln	41808
Buenos Aires	Bragado	41336
Buenos Aires	Pehuajó	39776
Buenos Aires	General Alvarado	39594
Buenos Aires	Coronel Suárez	38320
Buenos Aires	Lobos	36172
Buenos Aires	25 de Mayo	35842
Buenos Aires	Bolívar	34190
Buenos Aires	Ramallo	33042
Buenos Aires	Baradero	32761
Buenos Aires	Salto	32653
Buenos Aires	Saladillo	32103
Buenos Aires	Villa Gesell	31730
Buenos Aires	Villarino	31014
Buenos Aires	General Villegas	30864
Buenos Aires	Patagones	30207
Buenos Aires	Exaltación de la Cruz	29805
Buenos Aires	Arrecifes	29044
Buenos Aires	Dolores	27042
Buenos Aires	Brandsen	26367
Buenos Aires	Pinamar	25728
Buenos Aires	Colón	24890
Buenos Aires	Las Flores	23871
Buenos Aires	Rojas	23432
Buenos Aires	San Antonio de Areco	23138
Buenos Aires	San Andrés de Giles	23027
Buenos Aires	Coronel Pringles	22933
Buenos Aires	Carlos Casares	22237
Buenos Aires	Mar Chiquita	21279
Buenos Aires	Monte	21034
Buenos Aires	Saavedra	20749
Buenos Aires	Ayacucho	20337
Buenos Aires	Benito Juárez	20239
Buenos Aires	General Juan Madariaga	19747
Buenos Aires	Magdalena	19301
Buenos Aires	General Viamonte	18078
Buenos Aires	Lobería	17523
Buenos Aires	General Belgrano	17365
Buenos Aires	Rivadavia	17143
Buenos Aires	Adolfo Alsina	17072
Buenos Aires	Navarro	17054
Buenos Aires	Daireaux	16889
Buenos Aires	Leandro N. Alem	16799
Buenos Aires	Coronel Dorrego	15825
Buenos Aires	Puán	15743
Buenos Aires	Rauch	15176
Buenos Aires	General Arenales	14903
Buenos Aires	General Las Heras	14889
Buenos Aires	Carmen de Areco	14692
Buenos Aires	Capitán Sarmiento	14494
Buenos Aires	Tornquist	12723
Buenos Aires	Roque Pérez	12513
Buenos Aires	Adolfo Gonzales Chaves	12047
Buenos Aires	Guaminí	11826
Buenos Aires	Carlos Tejedor	11570
Buenos Aires	General Pinto	11261
Buenos Aires	General Paz	11202
Buenos Aires	General Alvear	11130
Buenos Aires	General La Madrid	10783
Buenos Aires	Alberti	10654
Buenos Aires	Laprida	10210
Buenos Aires	Maipú	10188
Buenos Aires	Suipacha	10081
Buenos Aires	Punta Indio	9888
Buenos Aires	Hipólito Yrigoyen	9585
Buenos Aires	Tapalqué	9178
Buenos Aires	Florentino Ameghino	8869
Buenos Aires	Tres Lomas	8700
Buenos Aires	Salliqueló	8644
Buenos Aires	San Cayetano	8399
Buenos Aires	Castelli	8205
Buenos Aires	Monte Hermoso	6499
Buenos Aires	Pellegrini	5887
Buenos Aires	General Lavalle	3700
Buenos Aires	Pila	3640
Buenos Aires	General Guido	2816
Buenos Aires	Tordillo	1764
Catamarca	Capital	159703
Catamarca	Belén	27843
Catamarca	Valle Viejo	27242
Catamarca	La Paz	22638
Catamarca	Santa María	22548
Catamarca	Tinogasta	22360
Catamarca	Andalgalá	18132
Catamarca	Capayán	16085
Catamarca	Santa Rosa	12034
Catamarca	Fray Mamerto Esquiú	11896
Catamarca	Pomán	10776
Catamarca	Ambato	4463
Catamarca	Paclín	4185
Catamarca	El Alto	3570
Catamarca	Ancasti	2917
Catamarca	Antofagasta de la Sierra	1436
Chaco	San Fernando	390874
Chaco	Comandante Fernández	96944
Chaco	General Güemes	67132
Chaco	Libertador General San Martín	59147
Chaco	Mayor Luis J. Fontana	55080
Chaco	Quitilipi	34081
Chaco	Almirante Brown	34075
Chaco	Chacabuco	30590
Chaco	25 de Mayo	29215
Chaco	9 de Julio	28555
Chaco	Maipú	25288
Chaco	Bermejo	25052
Chaco	Independencia	22411
Chaco	12 de Octubre	22281
Chaco	O'Higgins	20131
Chaco	Sargento Cabral	15889
Chaco	San Lorenzo	14702
Chaco	General Donovan	13490
Chaco	Presidencia de la Plaza	12499
Chaco	Libertad	12158
Chaco	General Belgrano	11988
Chaco	Fray Justo Santa María de Oro	11826
Chaco	1º de Mayo	10322
Chaco	2 de Abril	7432
Chaco	Tapenagá	4097
Chubut	Escalante	186583
Chubut	Rawson	131313
Chubut	Biedma	82883
Chubut	Futaleufú	43076
Chubut	Cushamen	20919
Chubut	Sarmiento	11396
Chubut	Gaiman	11141
Chubut	Río Senguer	5979
Chubut	Tehuelches	5390
Chubut	Languiñeo	3085
Chubut	Paso de Indios	1867
Chubut	Telsen	1644
Chubut	Florentino Ameghino	1627
Chubut	Gastre	1427
Chubut	Mártires	778
Ciudad Autónoma de Buenos Aires	Comuna 13	231331
Ciudad Autónoma de Buenos Aires	Comuna 14	225970
Ciudad Autónoma de Buenos Aires	Comuna 7	220591
Ciudad Autónoma de Buenos Aires	Comuna 4	218245
Ciudad Autónoma de Buenos Aires	Comuna 1	205886
Ciudad Autónoma de Buenos Aires	Comuna 12	200116
Ciudad Autónoma de Buenos Aires	Comuna 11	189832
Ciudad Autónoma de Buenos Aires	Comuna 3	187537
Ciudad Autónoma de Buenos Aires	Comuna 8	187237
Ciudad Autónoma de Buenos Aires	Comuna 15	182574
Ciudad Autónoma de Buenos Aires	Comuna 5	179005
Ciudad Autónoma de Buenos Aires	Comuna 6	176076
Ciudad Autónoma de Buenos Aires	Comuna 10	166022
Ciudad Autónoma de Buenos Aires	Comuna 9	161797
Ciudad Autónoma de Buenos Aires	Comuna 2	157932
Córdoba	Capital	1329604
Córdoba	Río Cuarto	246393
Córdoba	Colón	225151
Córdoba	San Justo	206307
Córdoba	Punilla	178401
Córdoba	General San Martín	127454
Córdoba	Tercero Arriba	109554
Córdoba	Unión	105727
Córdoba	Marcos Juárez	104205
Córdoba	Río Segundo	103718
Córdoba	Santa María	98188
Córdoba	Juárez Celman	61078
Córdoba	Cruz del Eje	58759
Córdoba	Calamuchita	54730
Córdoba	San Javier	53520
Córdoba	Río Primero	46675
Córdoba	San Alberto	37004
Córdoba	Presidente Roque Sáenz Peña	36282
Córdoba	General Roca	35645
Córdoba	Ischilín	31312
Córdoba	Totoral	18556
Córdoba	Río Seco	13242
Córdoba	Tulumba	12673
Córdoba	Pocho	5380
Córdoba	Minas	4727
Córdoba	Sobremonte	4591
Corrientes	Capital	358223
Corrientes	Goya	89959
Corrientes	Santo Tomé	61297
Corrientes	Paso de los Libres	48642
Corrientes	Curuzú Cuatiá	44384
Corrientes	Mercedes	40667
Corrientes	Bella Vista	37181
Corrientes	Monte Caseros	36338
Corrientes	Ituzaingó	31150
Corrientes	Esquina	30802
Corrientes	Lavalle	28759
Corrientes	Saladas	22244
Corrientes	Concepción	21113
Corrientes	San Roque	18366
Corrientes	San Luis del Palmar	17590
Corrientes	Empedrado	15109
Corrientes	General Paz	14836
Corrientes	San Cosme	14381
Corrientes	San Martín	13140
Corrientes	San Miguel	10572
Corrientes	Mburucuyá	9252
Corrientes	Itatí	9171
Corrientes	Sauce	9032
Corrientes	General Alvear	7926
Corrientes	Berón de Astrada	2461
Entre Ríos	Paraná	339930
Entre Ríos	Concordia	170033
Entre Ríos	Gualeguaychú	109461
Entre Ríos	Uruguay	100728
Entre Ríos	Federación	68736
Entre Ríos	La Paz	66903
Entre Ríos	Colón	62160
Entre Ríos	Gualeguay	51883
Entre Ríos	Villaguay	48965
Entre Ríos	Diamante	46361
Entre Ríos	Nogoyá	39026
Entre Ríos	Victoria	35767
Entre Ríos	Federal	25863
Entre Ríos	Tala	25665
Entre Ríos	San Salvador	17357
Entre Ríos	Feliciano	15079
Entre Ríos	Islas del Ibicuy	12077
Formosa	Formosa	234354
