link	codpcia	departamento	provincia	mujeres	varones	personas	hogares	viv_part	viv_part_h
06854	06	25 de Mayo	Buenos Aires	18502	17340	35842	12416	15596	12029
06588	06	9 de Julio	Buenos Aires	24582	23140	47722	16308	20204	15833
06007	06	Adolfo Alsina	Buenos Aires	8667	8405	17072	6237	7932	6097
06014	06	Adolfo Gonzales Chaves	Buenos Aires	6138	5909	12047	4199	5211	4090
06021	06	Alberti	Buenos Aires	5473	5181	10654	3828	4939	3725
06028	06	Almirante Brown	Buenos Aires	282655	270247	552902	156918	156204	142614
06077	06	Arrecifes	Buenos Aires	15065	13979	29044	9546	10870	9212
06035	06	Avellaneda	Buenos Aires	180413	162264	342677	113142	121292	103661
06042	06	Ayacucho	Buenos Aires	10352	9985	20337	6967	8408	6768
06049	06	Azul	Buenos Aires	33632	31648	65280	22020	25703	21050
06056	06	Bahía Blanca	Buenos Aires	156924	144648	301572	105342	124721	102037
06063	06	Balcarce	Buenos Aires	22303	21520	43823	14720	17444	14022
06070	06	Baradero	Buenos Aires	16568	16193	32761	10416	12301	10001
06084	06	Benito Juárez	Buenos Aires	10000	10239	20239	6786	8437	6638
06091	06	Berazategui	Buenos Aires	165636	158608	324244	93164	96025	86248
06098	06	Berisso	Buenos Aires	45458	43012	88470	27449	29507	25778
06105	06	Bolívar	Buenos Aires	17362	16828	34190	12002	15141	11708
06112	06	Bragado	Buenos Aires	21311	20025	41336	14291	16519	13457
06119	06	Brandsen	Buenos Aires	13303	13064	26367	8324	10550	8016
06126	06	Campana	Buenos Aires	47190	47271	94461	28111	31867	25977
06134	06	Cañuelas	Buenos Aires	25972	25920	51892	15312	18269	14650
06140	06	Capitán Sarmiento	Buenos Aires	7436	7058	14494	4672	5227	4481
06147	06	Carlos Casares	Buenos Aires	11381	10856	22237	7775	9446	7504
06154	06	Carlos Tejedor	Buenos Aires	5764	5806	11570	3976	5011	3832
06161	06	Carmen de Areco	Buenos Aires	7364	7328	14692	4631	5571	4498
06168	06	Castelli	Buenos Aires	4208	3997	8205	2721	3371	2666
06210	06	Chacabuco	Buenos Aires	25013	23690	48703	16496	18929	15624
06217	06	Chascomús	Buenos Aires	21570	20707	42277	13903	17593	13425
06224	06	Chivilcoy	Buenos Aires	33441	30744	64185	22083	27055	21275
06175	06	Colón	Buenos Aires	12781	12109	24890	8191	9254	7926
06182	06	Coronel de Marina Leonardo Rosales	Buenos Aires	31739	30413	62152	19424	23385	18705
06189	06	Coronel Dorrego	Buenos Aires	8124	7701	15825	5689	7691	5586
06196	06	Coronel Pringles	Buenos Aires	11818	11115	22933	8097	10026	7888
06203	06	Coronel Suárez	Buenos Aires	19568	18752	38320	13451	16878	13104
06231	06	Daireaux	Buenos Aires	8487	8402	16889	5479	6571	5284
06238	06	Dolores	Buenos Aires	13981	13061	27042	9004	10553	8767
06245	06	Ensenada	Buenos Aires	28939	27790	56729	17443	19343	16486
06252	06	Escobar	Buenos Aires	107602	106017	213619	59981	65378	54876
06260	06	Esteban Echeverría	Buenos Aires	152979	147980	300959	85952	88153	77955
06266	06	Exaltación de la Cruz	Buenos Aires	14882	14923	29805	9101	12685	8626
06270	06	Ezeiza	Buenos Aires	81820	81902	163722	44487	49204	41661
06274	06	Florencio Varela	Buenos Aires	213096	212909	426005	113135	113989	104128
06277	06	Florentino Ameghino	Buenos Aires	4450	4419	8869	2986	3895	2923
