id	provincia	poblacion
02	Caba	3095454
06	Buenos Aires	17408906
10	Catamarca	427625
14	Córdoba	3812064
18	Corrientes	1209671
22	Chaco	1124603
26	Chubut	589454
30	Entre Ríos	1415097
34	Formosa	605507
38	Jujuy	809364
42	La Pampa	359193
46	La Rioja	382453
50	Mendoza	2030773
54	Misiones	1273347
58	Neuquén	708578
62	Río Negro	747697
66	Salta	1434225
70	San Juan	819445
74	San Luis	540548
78	Santa Cruz	335677
82	Santa Fe	3519059
86	Santiago del Estero	1057752
90	Tucumán	1727337
94	Tierra del Fuego	184958
