Provincia	Total de viviendas particulares	Total de viviendas colectivas	Total de población	Población en viviendas particulares	Población en viviendas colectivas	Población en situación de calle (vía pública)
Ciudad Autónoma de Buenos Aires	1638764	1946	3120612	3092942	26767	903
Buenos Aires	6695273	6535	17569053	17450899	117193	961
Catamarca	158989	449	429556	427415	2139	2
Chaco	401658	443	1142963	1137027	5877	59
Chubut	236010	1123	603120	599568	3508	44
Córdoba	1630356	3548	3978984	3946235	32658	91
Corrientes	406480	555	1197553	1195538	1977	38
Entre Ríos	559398	1159	1426426	1416324	9963	139
Formosa	212941	232	606041	604278	1763	 
Jujuy	276222	326	797955	797009	864	82
La Pampa	163805	437	366022	364556	1462	4
La Rioja	149910	272	384607	383128	1479	 
Mendoza	708354	1744	2014533	2001281	13231	21
Misiones	466850	652	1280960	1275142	5792	26
Neuquén	273685	392	726590	723663	2920	7
Río Negro	295502	910	762067	758001	4066	 
Salta	478433	766	1440672	1431838	8590	244
San Juan	265047	387	818234	814856	3357	21
San Luis	201271	339	540905	539868	1033	4
Santa Cruz	131395	486	333473	331707	1766	 
Santa Fe	1458652	1928	3556522	3535792	20521	209
Santiago del Estero	348705	353	1054028	1050218	3760	50
Tierra del Fuego, Antártida e Islas del Atlántico Sur	67091	137	190641	189785	856	 
Tucumán	555419	382	1703186	1700788	2341	57
