provincia	variacion	poblacion_2010	poblacion_2001
Santa Cruz	39.1	273964	196958
Tierra del Fuego, Antártida e Islas del Atlántico Sur	25.8	127205	101079
Chubut	23.2	509108	413237
San Luis	17.5	432310	367933
Neuquén	16.3	551266	474155
Río Negro	15.5	638645	552822
La Rioja	15.1	333642	289983
Misiones	14.1	1101593	965522
Buenos Aires	13.0	15625084	13827203
Salta	12.5	1214441	1079051
Mendoza	10.1	1738929	1579651
Jujuy	10.0	673307	611888
Catamarca	9.9	367828	334568
San Juan	9.8	681055	620023
Formosa	9.0	530162	486559
Santiago del Estero	8.6	874006	804457
Tucumán	8.2	1448188	1338523
Córdoba	7.9	3308876	3066801
Chaco	7.2	1055259	984446
Entre Ríos	6.7	1235994	1158147
Corrientes	6.6	992595	930991
La Pampa	6.6	318951	299294
Santa Fe	6.5	3194537	3000701
Ciudad Autónoma de Buenos Aires	4.1	2890151	2776138
