mfr	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	Selected	name	mds-x	mds-y
N	C	70.0	4.0	1.0	130.0	10.0	5.0	6.0	280.0	25.0	3.0	1.0	0.33	No	100% Bran	54.53786778666035	-184.03875290930284
Q	C	120.0	3.0	5.0	15.0	2.0	8.0	8.0	135.0	0.0	3.0	1.0	1.0	No	100% Natural Bran	149.46151326932423	-30.79269220992109
K	C	70.0	4.0	1.0	260.0	9.0	7.0	5.0	320.0	25.0	3.0	1.0	0.33	No	All-Bran	-79.05448468721482	-237.2447680555583
K	C	50.0	4.0	0.0	140.0	14.0	8.0	0.0	330.0	25.0	3.0	1.0	0.5	No	All-Bran with Extra Fiber	51.04045875703455	-238.31400336387853
R	C	110.0	2.0	2.0	200.0	1.0	14.0	8.0	-1.0	25.0	3.0	1.0	0.75	No	Almond Delight	-47.480506198603635	94.50540229003748
G	C	110.0	2.0	2.0	180.0	1.5	10.5	10.0	70.0	25.0	1.0	1.0	0.75	No	Apple Cinnamon Cheerios	-22.012209307496725	24.91873534821188
K	C	110.0	2.0	0.0	125.0	1.0	11.0	14.0	30.0	25.0	2.0	1.0	1.0	No	Apple Jacks	29.854734064583234	68.57186564298306
G	C	130.0	3.0	2.0	210.0	2.0	18.0	8.0	100.0	25.0	3.0	1.33	0.75	No	Basic 4	-51.97021096369483	-7.744191665047749
R	C	90.0	2.0	1.0	200.0	4.0	15.0	6.0	125.0	25.0	1.0	1.0	0.67	No	Bran Chex	-38.13099619208402	-31.71287759823751
P	C	90.0	3.0	0.0	210.0	5.0	13.0	5.0	190.0	25.0	3.0	1.0	0.67	No	Bran Flakes	-42.63780771096424	-99.89922975629989
Q	C	120.0	1.0	2.0	220.0	0.0	12.0	12.0	35.0	25.0	2.0	1.0	0.75	No	Cap'n'Crunch	-66.92582912968656	54.60956305098521
G	C	110.0	6.0	2.0	290.0	2.0	17.0	1.0	105.0	25.0	1.0	1.0	1.25	No	Cheerios	-130.29423383466158	-20.011452061191733
G	C	120.0	1.0	3.0	210.0	0.0	13.0	9.0	45.0	25.0	2.0	1.0	0.75	No	Cinnamon Toast Crunch	-55.75428152989955	45.94052865001825
G	C	110.0	3.0	2.0	140.0	2.0	13.0	7.0	105.0	25.0	3.0	1.0	0.5	No	Clusters	21.562082386307278	-5.435417403325949
G	C	110.0	1.0	1.0	180.0	0.0	12.0	13.0	55.0	25.0	2.0	1.0	1.0	No	Cocoa Puffs	-23.559610975918563	38.97286509699653
R	C	110.0	2.0	0.0	280.0	0.0	22.0	3.0	25.0	25.0	1.0	1.0	1.0	No	Corn Chex	-126.95115705328594	60.998748852626115
K	C	100.0	2.0	0.0	290.0	1.0	21.0	2.0	35.0	25.0	1.0	1.0	1.0	No	Corn Flakes	-136.08961923541457	51.21301268328988
K	C	110.0	1.0	0.0	90.0	1.0	13.0	12.0	20.0	25.0	2.0	1.0	1.0	No	Corn Pops	62.75756160182486	81.86349494456884
G	C	110.0	1.0	1.0	180.0	0.0	12.0	13.0	65.0	25.0	2.0	1.0	1.0	No	Count Chocula	-22.546340094511095	29.749916723551937
K	C	110.0	3.0	3.0	140.0	4.0	10.0	7.0	160.0	25.0	3.0	1.0	0.5	No	Cracklin' Oat Bran	28.51240170378467	-59.74790081823344
N	H	100.0	3.0	0.0	80.0	1.0	21.0	0.0	-1.0	0.0	2.0	1.0	1.0	No	Cream of Wheat (Quick)	73.94075688015421	107.32883612528109
K	C	110.0	2.0	0.0	220.0	1.0	21.0	3.0	30.0	25.0	3.0	1.0	1.0	No	Crispix	-67.80339274209565	59.96629691212461
G	C	100.0	2.0	1.0	140.0	2.0	11.0	10.0	120.0	25.0	3.0	1.0	0.75	No	Crispy Wheat & Raisins	24.305883678330463	-19.61776705847431
R	C	100.0	2.0	0.0	190.0	1.0	18.0	5.0	80.0	25.0	3.0	1.0	0.75	No	Double Chex	-31.048520957389748	14.327889020737391
K	C	110.0	2.0	1.0	125.0	1.0	11.0	13.0	30.0	25.0	2.0	1.0	1.0	No	Froot Loops	29.84837779967815	68.4198076685491
K	C	110.0	1.0	0.0	200.0	1.0	14.0	11.0	25.0	25.0	1.0	1.0	0.75	No	Frosted Flakes	-47.379244444660465	66.07133361515241
K	C	100.0	3.0	0.0	0.0	3.0	14.0	7.0	100.0	25.0	2.0	1.0	0.8	No	Frosted Mini-Wheats	159.46580288947763	11.607666286434053
P	C	120.0	3.0	2.0	160.0	5.0	12.0	10.0	200.0	25.0	3.0	1.25	0.67	No	Fruit & Fibre Dates; Walnuts; and Oats	10.460167033551203	-104.46247808374348
K	C	120.0	3.0	0.0	240.0	5.0	14.0	12.0	190.0	25.0	3.0	1.33	0.67	No	Fruitful Bran	-73.90299629279467	-101.4215137764211
P	C	110.0	1.0	1.0	135.0	0.0	13.0	12.0	25.0	25.0	2.0	1.0	0.75	No	Fruity Pebbles	19.75146079996001	72.5568288686523
P	C	100.0	2.0	0.0	45.0	0.0	11.0	15.0	40.0	25.0	1.0	1.0	0.88	No	Golden Crisp	109.22533346176739	66.805634912837
G	C	110.0	1.0	1.0	280.0	0.0	15.0	9.0	45.0	25.0	2.0	1.0	0.75	No	Golden Grahams	-124.93845719608447	40.33410126121102
P	C	100.0	3.0	1.0	140.0	3.0	15.0	5.0	85.0	25.0	3.0	1.0	0.88	No	Grape Nuts Flakes	20.038647680158796	14.169966564785586
P	C	110.0	3.0	0.0	170.0	3.0	17.0	3.0	90.0	25.0	3.0	1.0	0.25	No	Grape-Nuts	-10.349300282214683	6.380443575717738
P	C	120.0	3.0	3.0	75.0	3.0	13.0	4.0	100.0	25.0	3.0	1.0	0.33	No	Great Grains Pecan	84.62084551392101	3.1019895759559257
Q	C	120.0	1.0	2.0	220.0	1.0	12.0	11.0	45.0	25.0	2.0	1.0	1.0	No	Honey Graham Ohs	-65.67125174315287	45.17296340626322
G	C	110.0	3.0	1.0	250.0	1.5	11.5	10.0	90.0	25.0	1.0	1.0	0.75	No	Honey Nut Cheerios	-91.61012443862813	-0.5040897887777075
P	C	110.0	1.0	0.0	180.0	0.0	14.0	11.0	35.0	25.0	1.0	1.0	1.33	No	Honey-comb	-25.898666814369392	57.69721731618623
K	C	110.0	2.0	1.0	170.0	1.0	17.0	6.0	60.0	100.0	3.0	1.0	1.0	No	Just Right Crunchy  Nuggets	-14.330439334611837	74.40505666110181
K	C	140.0	3.0	1.0	170.0	2.0	20.0	9.0	95.0	100.0	3.0	1.3	0.75	No	Just Right Fruit & Nut	-21.581909537159255	-34.69783703896487
G	C	110.0	2.0	1.0	260.0	0.0	21.0	3.0	40.0	25.0	2.0	1.0	1.5	No	Kix	-106.03313788501539	47.00946201073857
