index	Quarter	Gross Domestic Product ($mil)	Total Public Debt ($mil)	Party	President
0	1966-01-01	795.734	320999	Demócrata	Lyndon B. Johnson
1	1966-04-01	804.981	316097	Demócrata	Lyndon B. Johnson
2	1966-07-01	819.638	324748	Demócrata	Lyndon B. Johnson
3	1966-10-01	833.302	329319	Demócrata	Lyndon B. Johnson
4	1967-01-01	844.17	330947	Demócrata	Lyndon B. Johnson
5	1967-04-01	848.983	322893	Demócrata	Lyndon B. Johnson
6	1967-07-01	865.233	335896	Demócrata	Lyndon B. Johnson
7	1967-10-01	881.439	344663	Demócrata	Lyndon B. Johnson
8	1968-01-01	909.387	349473	Demócrata	Lyndon B. Johnson
9	1968-04-01	934.344	345369	Demócrata	Lyndon B. Johnson
10	1968-07-01	950.825	354743	Demócrata	Lyndon B. Johnson
11	1968-10-01	968.03	358029	Demócrata	Lyndon B. Johnson
12	1969-01-01	993.337	359546	Demócrata	Lyndon B. Johnson
13	1969-04-01	1009.02	352895	Republicano	Richard Nixon
14	1969-07-01	1029.956	360685	Republicano	Richard Nixon
15	1969-10-01	1038.147	368226	Republicano	Richard Nixon
16	1970-01-01	1051.2	372007	Republicano	Richard Nixon
17	1970-04-01	1067.375	370094	Republicano	Richard Nixon
18	1970-07-01	1086.059	378678	Republicano	Richard Nixon
19	1970-10-01	1088.608	389158	Republicano	Richard Nixon
20	1971-01-01	1135.156	391668	Republicano	Richard Nixon
21	1971-04-01	1156.271	397305	Republicano	Richard Nixon
22	1971-07-01	1177.675	412268	Republicano	Richard Nixon
23	1971-10-01	1190.297	424131	Republicano	Richard Nixon
24	1972-01-01	1230.609	427344	Republicano	Richard Nixon
25	1972-04-01	1266.369	426435	Republicano	Richard Nixon
26	1972-07-01	1290.566	433946	Republicano	Richard Nixon
27	1972-10-01	1328.904	448473	Republicano	Richard Nixon
28	1973-01-01	1377.49	458606	Republicano	Richard Nixon
29	1973-04-01	1413.887	457317	Republicano	Richard Nixon
30	1973-07-01	1433.838	460614	Republicano	Richard Nixon
31	1973-10-01	1476.289	469073	Republicano	Richard Nixon
32	1974-01-01	1491.209	473675	Republicano	Richard Nixon
33	1974-04-01	1530.056	474235	Republicano	Richard Nixon
34	1974-07-01	1560.026	481466	Republicano	Richard Nixon
35	1974-10-01	1599.679	492664	Republicano	Gerald Ford
36	1975-01-01	1616.116	509659	Republicano	Gerald Ford
37	1975-04-01	1651.853	533188	Republicano	Gerald Ford
38	1975-07-01	1709.82	553647	Republicano	Gerald Ford
39	1975-10-01	1761.831	576649	Republicano	Gerald Ford
40	1976-01-01	1820.487	600490	Republicano	Gerald Ford
41	1976-04-01	1852.332	620432	Republicano	Gerald Ford
42	1976-07-01	1886.558	634701	Republicano	Gerald Ford
43	1976-10-01	1934.273	653543	Republicano	Gerald Ford
44	1977-01-01	1988.648	669207	Republicano	Gerald Ford
45	1977-04-01	2055.909	674425	Demócrata	Jimmy Carter
46	1977-07-01	2118.473	698840	Demócrata	Jimmy Carter
47	1977-10-01	2164.27	718943	Demócrata	Jimmy Carter
48	1978-01-01	2202.76	737951	Demócrata	Jimmy Carter
49	1978-04-01	2331.633	749024	Demócrata	Jimmy Carter
50	1978-07-01	2395.053	771544	Demócrata	Jimmy Carter
51	1978-10-01	2476.949	789207	Demócrata	Jimmy Carter
52	1979-01-01	2526.61	796792	Demócrata	Jimmy Carter
53	1979-04-01	2591.247	804913	Demócrata	Jimmy Carter
54	1979-07-01	2667.565	826519	Demócrata	Jimmy Carter
55	1979-10-01	2723.883	845116	Demócrata	Jimmy Carter
56	1980-01-01	2789.842	863451	Demócrata	Jimmy Carter
57	1980-04-01	2797.352	877614	Demócrata	Jimmy Carter
58	1980-07-01	2856.483	907701	Demócrata	Jimmy Carter
59	1980-10-01	2985.557	930210	Demócrata	Jimmy Carter
60	1981-01-01	3124.206	964531	Demócrata	Jimmy Carter
61	1981-04-01	3162.532	971174	Republicano	Ronald Reagan
62	1981-07-01	3260.609	997855	Republicano	Ronald Reagan
63	1981-10-01	3280.818	1028729	Republicano	Ronald Reagan
64	1982-01-01	3274.302	1061299	Republicano	Ronald Reagan
65	1982-04-01	3331.972	1079630	Republicano	Ronald Reagan
66	1982-07-01	3366.322	1142035	Republicano	Ronald Reagan
67	1982-10-01	3402.561	1197074	Republicano	Ronald Reagan
68	1983-01-01	3473.413	1244493	Republicano	Ronald Reagan
69	1983-04-01	3578.848	1319581	Republicano	Ronald Reagan
70	1983-07-01	3689.179	1377211	Republicano	Ronald Reagan
71	1983-10-01	3794.706	1410702	Republicano	Ronald Reagan
72	1984-01-01	3908.054	1463741	Republicano	Ronald Reagan
73	1984-04-01	4009.601	1512697	Republicano	Ronald Reagan
