categoria	subcategoria	cant
"LIMPIEZA Y RECOLECCIÓN"	"RESIDUOS VOLUMINOSOS"	114035
"TRÁNSITO"	"DENUNCIA VIAL"	75827
"LIMPIEZA Y RECOLECCIÓN"	"CESTOS Y CONTENEDORES"	23703
"LIMPIEZA Y RECOLECCIÓN"	"LIMPIEZA DE VÍA PÚBLICA"	16813
"CALLES Y VEREDAS"	"REPARACIÓN DE VEREDA"	15709
"ARBOLADO Y ESPACIOS VERDES"	"PODA DE ÁRBOL Y DESPEJE DE LUMINARIA"	12995
"ALUMBRADO"	"REPARACIÓN DE LUMINARIA"	11537
"ORDENAMIENTO DEL ESPACIO PÚBLICO"	"OCUPACIÓN INDEBIDA"	10879
"MEDIOS DE TRANSPORTE"	"SUBTES"	10049
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"ELEMENTOS CON IMPACTO AMBIENTAL"	9011
"TRÁNSITO"	"VEHÍCULOS ABANDONADOS"	7496
"CALLES Y VEREDAS"	"MARCAS VIALES Y SEÑALES EN CALLE"	6395
"TRÁMITES Y SERVICIOS"	"INCONVENIENTES CON TRÁMITES"	5353
"CONTROL EDILICIO, OBRAS Y CATASTRO"	"CONTROL DE OBRAS"	4960
"ARBOLADO Y ESPACIOS VERDES"	"EXTRACCIÓN DE ÁRBOL"	4540
"BARRIOS EMERGENTES"	"DESOBSTRUCCIÓN "	4207
"BARRIOS EMERGENTES"	"DESAGOTE"	3388
"ARBOLADO Y ESPACIOS VERDES"	"PROBLEMA CON INTERVENCIONES DE ARBOLADO"	3306
"ARBOLADO Y ESPACIOS VERDES"	"PLANTACIÓN DE ÁRBOL"	3306
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"RUIDOS MOLESTOS, EMANACIONES O DERRAMES"	3268
"DESARROLLO URBANO"	"Obras"	2666
"ALUMBRADO"	"MAYOR ILUMINACIÓN EN CALLE"	2157
"SEGURIDAD"	"OTROS"	2119
"TRÁNSITO"		2061
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"HABILITACIONES Y PERMISOS"	1799
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"HIGIENE Y SEGURIDAD ALIMENTARIA"	1600
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"EVALUACIÓN AMBIENTAL"	1585
"CALLES Y VEREDAS"	"BACHES"	1452
