date,wounds,other,disease,army_size
1854-04-01,0,5,1,8571
1854-05-01,0,9,12,23333
1854-06-01,0,6,11,28333
1854-07-01,0,23,359,28722
1854-08-01,1,30,828,30246
1854-09-01,81,70,788,30290
1854-10-01,132,128,503,30643
1854-11-01,287,106,844,29736
1854-12-01,114,131,1725,32779
1855-01-01,83,324,2761,32393
1855-02-01,42,361,2120,30919
1855-03-01,32,172,1205,30107
1855-04-01,48,57,477,32252
1855-05-01,49,37,508,35473
1855-06-01,209,31,802,38863
1855-07-01,134,33,382,42647
1855-08-01,164,25,483,44614
1855-09-01,276,20,189,47751
1855-10-01,53,18,128,46852
1855-11-01,33,32,178,37853
1855-12-01,18,28,91,43217
1856-01-01,2,48,42,44212
1856-02-01,0,19,24,43485
1856-03-01,0,35,15,46140
