CODIGO DEPARTAMENTO;CODIGO PROVINCIA;NOMBRE
001;01;COMUNA 1
002;01;COMUNA 2
003;01;COMUNA 3
004;01;COMUNA 4
005;01;COMUNA 5
006;01;COMUNA 6
007;01;COMUNA 7
008;01;COMUNA 8
009;01;COMUNA 9
010;01;COMUNA 10
011;01;COMUNA 11
012;01;COMUNA 12
013;01;COMUNA 13
014;01;COMUNA 14
015;01;COMUNA 15
001;02;ADOLFO ALSINA
002;02;ALBERTI
003;02;ALMIRANTE BROWN
004;02;AVELLANEDA
005;02;AYACUCHO
006;02;AZUL
007;02;BAHIA BLANCA
008;02;BALCARCE
009;02;BARADERO
010;02;ARRECIFES
011;02;BERAZATEGUI
012;02;BERISSO
013;02;BOLIVAR
014;02;BRAGADO
015;02;BRANDSEN
016;02;CAMPANA
017;02;CAÒUELAS
018;02;CAPITAN SARMIENTO
019;02;CARLOS CASARES
020;02;CARLOS TEJEDOR
021;02;CARMEN DE ARECO
022;02;PATAGONES
023;02;CASTELLI
024;02;COLON
025;02;CORONEL DORREGO
026;02;CORONEL PRINGLES
027;02;CORONEL ROSALES
028;02;CORONEL SUAREZ
029;02;CHACABUCO
030;02;CHASCOMUS
031;02;CHIVILCOY
032;02;DAIREAUX
033;02;DOLORES
034;02;ENSENADA
035;02;ESCOBAR
036;02;ESTEBAN ECHEVERRIA
037;02;EXALTACION DE LA CRUZ
038;02;FLORENCIO VARELA
039;02;GENERAL ALVARADO
040;02;GENERAL ALVEAR
041;02;GENERAL ARENALES
042;02;GENERAL BELGRANO
043;02;GENERAL GUIDO
044;02;GENERAL LAMADRID
045;02;LAS HERAS
046;02;GENERAL LAVALLE
047;02;GENERAL MADARIAGA
048;02;GENERAL PAZ
049;02;GENERAL PINTO
050;02;GENERAL PUEYRREDON
051;02;GENERAL RODRIGUEZ
052;02;GENERAL SAN MARTIN
053;02;SAN MIGUEL
054;02;GENERAL VIAMONTE
055;02;GENERAL VILLEGAS
056;02;GONZALES CHAVES
057;02;GUAMINI
058;02;HIPOLITO YRIGOYEN
059;02;JUAREZ
060;02;JUNIN
061;02;MATANZA
062;02;LANUS
063;02;LA PLATA
064;02;LAPRIDA
065;02;LAS FLORES
066;02;LEANDRO N. ALEM
067;02;LINCOLN
068;02;LOBERIA
069;02;LOBOS
070;02;LOMAS DE ZAMORA
071;02;LUJAN
072;02;MAGDALENA
073;02;MAIPU
074;02;MAR CHIQUITA
075;02;MARCOS PAZ
076;02;MERCEDES
077;02;MERLO
078;02;MONTE
079;02;MORENO
080;02;MORON
081;02;NAVARRO
082;02;NECOCHEA
083;02;NUEVE DE JULIO
084;02;OLAVARRIA
085;02;PEHUAJO
086;02;PELLEGRINI
087;02;PERGAMINO
088;02;PILA
089;02;PILAR
090;02;PINAMAR
091;02;PUAN
092;02;QUILMES
093;02;RAMALLO
094;02;RAUCH
095;02;RIVADAVIA
096;02;ROJAS
097;02;ROQUE PEREZ
098;02;SAAVEDRA
099;02;SALADILLO
100;02;SALLIQUELO
101;02;SALTO
102;02;SAN ANDRES DE GILES
103;02;SAN ANTONIO DE ARECO
104;02;SAN CAYETANO
105;02;SAN FERNANDO
106;02;SAN ISIDRO
107;02;SAN NICOLAS
108;02;SAN PEDRO
109;02;SAN VICENTE
110;02;SUIPACHA
111;02;TANDIL
112;02;TAPALQUE
113;02;TIGRE
114;02;TORNQUIST
115;02;TRENQUE LAUQUEN
116;02;TORDILLO
117;02;TRES ARROYOS
118;02;TRES DE FEBRERO
119;02;LA COSTA
120;02;MONTE HERMOSO
121;02;VEINTICINCO DE MAYO
122;02;VICENTE LOPEZ
123;02;VILLA GESELL
124;02;VILLARINO
125;02;ZARATE
126;02;TRES LOMAS
127;02;F. AMEGHINO
128;02;PRESIDENTE PERON
129;02;J. C. PAZ
130;02;MALVINAS ARGENTINAS
131;02;PUNTA INDIO
132;02;EZEIZA
133;02;ITUZAINGO
134;02;HURLINGHAM
135;02;LEZAMA
001;03;CAPITAL
002;03;CAPAYAN
003;03;LA PAZ
004;03;ANCASTI
005;03;EL ALTO
006;03;SANTA ROSA
007;03;PACLIN
008;03;VALLE VIEJO
009;03;FRAY MAMERTO ESQUIU
010;03;AMBATO
011;03;POMAN
012;03;ANDALGALA
013;03;BELEN
014;03;ANTOFAGASTA DE LA SIERRA
015;03;TINOGASTA
016;03;SANTA MARIA
001;04;CAPITAL
002;04;CALAMUCHITA
003;04;COLON
004;04;CRUZ DEL EJE
005;04;GENERAL ROCA
006;04;GENERAL SAN MARTIN
007;04;ISCHILIN
008;04;JUAREZ CELMAN
009;04;MARCOS JUAREZ
010;04;MINAS
011;04;POCHO
012;04;PUNILLA
013;04;RIO CUARTO
014;04;RIO PRIMERO
015;04;RIO SECO
016;04;RIO SEGUNDO
017;04;ROQUE SAENZ PEÒA
018;04;SAN ALBERTO
019;04;SAN JAVIER
020;04;SAN JUSTO
021;04;SANTA MARIA
022;04;SOBREMONTE
023;04;TERCERO ARRIBA
024;04;TOTORAL
025;04;TULUMBA
026;04;UNION
001;05;CAPITAL
002;05;GOYA
003;05;CURUZU CUATIA
004;05;MERCEDES
005;05;ESQUINA
006;05;LAVALLE
007;05;SANTO TOME
008;05;PASO DE LOS LIBRES
009;05;MONTE CASEROS
010;05;SAN LUIS DEL PALMAR
011;05;BELLA VISTA
012;05;EMPEDRADO
013;05;SAN ROQUE
014;05;GENERAL PAZ
015;05;SALADAS
016;05;SAN MARTIN
017;05;CONCEPCION
018;05;MBURUCUYA
019;05;ITUZAINGO
020;05;SAUCE
021;05;SAN COSME
022;05;GENERAL ALVEAR
023;05;SAN MIGUEL
024;05;ITATI
025;05;BERON DE ASTRADA
001;06;SAN FERNANDO
002;06;PRIMERO DE MAYO
003;06;LIBERTAD
004;06;GENERAL DONOVAN
005;06;SARGENTO CABRAL
006;06;PCIA. DE LA PLAZA
007;06;BERMEJO
008;06;LIB. GRAL. SAN MARTIN
009;06;TAPENAGA
010;06;SAN LORENZO
011;06;MAYOR L. J. FONTANA
012;06;O'HIGGINS
013;06;COMANDANTE FERNANDEZ
014;06;QUITILIPI
015;06;25 DE MAYO
016;06;MAIPU
017;06;INDEPENDENCIA
018;06;GENERAL BELGRANO
019;06;9 DE JULIO
020;06;CHACABUCO
021;06;12 DE OCTUBRE
022;06;2 DE ABRIL
023;06;FRAY J. STA. MARIA DE ORO
024;06;ALMIRANTE BROWN
025;06;GENERAL G¸EMES
001;07;RAWSON
002;07;BIEDMA
003;07;TELSEN
004;07;GASTRE
005;07;CUSHAMEN
006;07;FUTALEUFU
007;07;LANGUIÒEO
008;07;TEHUELCHES
009;07;PASO DE INDIOS
010;07;MARTIRES
011;07;F. AMEGHINO
012;07;GAIMAN
013;07;RIO SENGUER
014;07;SARMIENTO
015;07;ESCALANTE
001;08;PARANA
003;08;LA PAZ
004;08;DIAMANTE
005;08;VICTORIA
006;08;NOGOYA
007;08;GUALEGUAY
008;08;TALA
009;08;URUGUAY
010;08;GUALEGUAYCHU
011;08;ISLAS DEL IBICUY
012;08;VILLAGUAY
013;08;CONCORDIA
014;08;FEDERAL
015;08;COLON
016;08;FELICIANO
017;08;FEDERACION
018;08;SAN SALVADOR
001;09;FORMOSA
002;09;LAISHI
003;09;PILCOMAYO
004;09;PIRANE
005;09;PILAGAS
006;09;PATIÒO
007;09;BERMEJO
008;09;MATACOS
009;09;RAMON LISTA
001;10;GENERAL BELGRANO
002;10;PALPALA
003;10;SAN ANTONIO
004;10;EL CARMEN
005;10;SAN PEDRO
006;10;SANTA BARBARA
007;10;LEDESMA
008;10;VALLE GRANDE
009;10;TUMBAYA
010;10;TILCARA
011;10;HUMAHUACA
012;10;COCHINOCA
013;10;RINCONADA
014;10;SANTA CATALINA
015;10;YAVI
016;10;SUSQUES
001;11;ATREUCO
002;11;CAPITAL
003;11;CALEU CALEU
004;11;CATRILO
005;11;CHALILEO
006;11;CHAPALEUFU
007;11;CHICAL-CO
008;11;CONHELO
009;11;CURACO
010;11;GUATRACHE
011;11;HUCAL
012;11;LOVENTUE
013;11;LIHUEL CALEL
014;11;LIMAY MAHUIDA
015;11;MARACO
016;11;PUELEN
017;11;QUEMU QUEMU
018;11;RANCUL
019;11;REALICO
020;11;TOAY
021;11;TRENEL
022;11;UTRACAN
001;12;CAPITAL
002;12;SANAGASTA
003;12;CASTRO BARROS
004;12;ARAUCO
005;12;SAN BLAS DE LOS SAUCES
006;12;CHILECITO
007;12;FAMATINA
008;12;FELIPE VARELA
009;12;GENERAL LAMADRID
010;12;VINCHINA
011;12;INDEPENDENCIA
012;12;CHAMICAL
013;12;ANGEL VICENTE PEÒALOZA
014;12;GENERAL BELGRANO
015;12;JUAN FACUNDO QUIROGA
016;12;GENERAL ORTIZ DE OCAMPO
017;12;ROSARIO VERA PEÒALOZA
018;12;GENERAL SAN MARTIN
001;13;CAPITAL
002;13;GODOY CRUZ
003;13;GUAYMALLEN
004;13;LAS HERAS
005;13;LAVALLE
006;13;MAIPU
007;13;LUJAN
008;13;TUPUNGATO
009;13;SAN MARTIN
010;13;JUNIN
011;13;RIVADAVIA
012;13;TUNUYAN
013;13;SAN CARLOS
014;13;SANTA ROSA
015;13;LA PAZ
016;13;SAN RAFAEL
017;13;MALARGUE
018;13;GENERAL ALVEAR
001;14;CAPITAL
002;14;APOSTOLES
003;14;CANDELARIA
004;14;LEANDRO N. ALEM
005;14;CONCEPCION DE LA SIERRA
006;14;SAN JAVIER
007;14;SAN IGNACIO
008;14;OBERA
009;14;L. GENERAL SAN MARTIN
010;14;CAINGUAS
011;14;25 DE MAYO
012;14;MONTECARLO
013;14;GUARANI
014;14;EL DORADO
015;14;SAN PEDRO
016;14;IGUAZU
017;14;GRAL. MANUEL BELGRANO
001;15;CONFLUENCIA
002;15;ZAPALA
003;15;AÒELO
004;15;PEHUENCHES
005;15;CHOS MALAL
006;15;MINAS
007;15;—ORQUIN
008;15;LONCOPUE
009;15;PICUNCHES
010;15;ALUMINE
011;15;CATAN LIL
012;15;PICUN LEUFU
013;15;COLLON CURA
014;15;HUILICHES
015;15;LACAR
016;15;LOS LAGOS
001;16;ADOLFO ALSINA
002;16;CONESA
003;16;SAN ANTONIO OESTE
004;16;VALCHETA
005;16;NUEVE DE JULIO
006;16;25 DE MAYO
007;16;—ORQUINCO
008;16;PILCANIYEU
009;16;BARILOCHE
010;16;PICHI MAHUIDA
011;16;AVELLANEDA
012;16;GENERAL ROCA
013;16;EL CUY
001;17;CAPITAL
002;17;LA CALDERA
003;17;GENERAL G¸EMES
004;17;METAN
005;17;ANTA
006;17;RIVADAVIA
007;17;ORAN
008;17;SAN MARTIN
009;17;IRUYA
010;17;SANTA VICTORIA
011;17;CERRILLOS
012;17;CHICOANA
013;17;LA VIÒA
014;17;GUACHIPAS
015;17;ROSARIO DE LA FRONTERA
016;17;LA CANDELARIA
017;17;CAFAYATE
018;17;SAN CARLOS
019;17;MOLINOS
020;17;CACHI
021;17;ROSARIO DE LERMA
022;17;LA POMA
023;17;LOS ANDES
001;18;CAPITAL
002;18;SANTA LUCIA
003;18;CHIMBAS
004;18;RIVADAVIA
005;18;ZONDA
006;18;RAWSON
007;18;NUEVE DE JULIO
008;18;SAN MARTIN
009;18;ANGACO
010;18;ALBARDON
011;18;ULLUM
012;18;POCITO
013;18;SARMIENTO
014;18;25 DE MAYO
015;18;CAUCETE
016;18;VALLE FERTIL
017;18;JACHAL
018;18;IGLESIA
019;18;CALINGASTA
001;19;PUEYRREDON
002;19;PRINGLES
003;19;PEDERNERA
004;19;CHACABUCO
005;19;SAN MARTIN
006;19;JUNIN
007;19;AYACUCHO
008;19;BELGRANO
009;19;GOBERNADOR DUPUY
001;20;DESEADO
002;20;LAGO BUENOS AIRES
003;20;MAGALLANES
004;20;RIO CHICO
005;20;CORPEN AIKE
006;20;LAGO ARGENTINO
007;20;G¸ER AIKE
001;21;BELGRANO
002;21;CASEROS
003;21;CASTELLANOS
004;21;CONSTITUCION
005;21;GARAY
006;21;GENERAL LOPEZ
007;21;GENERAL OBLIGADO
008;21;IRIONDO
009;21;LA CAPITAL
011;21;LAS COLONIAS
012;21;NUEVE DE JULIO
013;21;ROSARIO
016;21;SAN CRISTOBAL
017;21;SAN JAVIER
018;21;SAN JERONIMO
019;21;SAN JUSTO
020;21;SAN LORENZO
021;21;SAN MARTIN
022;21;VERA
001;22;CAPITAL
002;22;AVELLANEDA
003;22;AGUIRRE
004;22;ALBERDI
005;22;ATAMISQUI
006;22;BANDA
007;22;BELGRANO
008;22;COPO
009;22;CHOYA
010;22;FIGUEROA
011;22;GUASAYAN
012;22;JIMENEZ
013;22;LORETO
014;22;JUAN F. IBARRA
015;22;MITRE
016;22;MORENO
017;22;OJO DE AGUA
018;22;PELLEGRINI
019;22;QUEBRACHOS
020;22;RIVADAVIA
021;22;ROBLES
022;22;RIO HONDO
023;22;SILIPICA
024;22;SAN MARTIN
025;22;SALAVINA
026;22;SARMIENTO
027;22;TABOADA
001;23;CAPITAL
002;23;LULES
003;23;FAMAILLA
004;23;MONTEROS
005;23;CHICLIGASTA
006;23;RIO CHICO
007;23;ALBERDI
008;23;LA COCHA
009;23;GRANEROS
010;23;SIMOCA
011;23;LEALES
012;23;CRUZ ALTA
013;23;BURRUYACU
014;23;TRANCAS
015;23;YERBA BUENA
016;23;TAFI VIEJO
017;23;TAFI DEL VALLE
001;24;USHUAIA
002;24;RIO GRANDE
003;24;ANTARTIDA ARGENTINA
