id_viaje_r,id_taxista_r,fecha_inicio,fecha_fin,duracion,origen_viaje_x,origen_viaje_y,destino_viaje_x,destino_viaje_y,cantidad_pasajeros
1,499,2017-05-01 00:12:48.000,2017-05-01 00:31:09.000,1101,-58.387303,-34.594316,-58.4314517,-34.5781933,3
2,715,2017-05-01 00:17:21.000,2017-05-01 00:28:36.000,675,-58.413992,-34.5827604,-58.43849373,-34.58741957,1
3,429,2017-05-01 00:16:03.000,2017-05-01 00:36:33.000,1230,-58.429912,-34.59942,-58.4831707,-34.5645964,1
4,164,2017-05-01 00:34:39.000,2017-05-01 00:54:57.000,1218,-58.447841,-34.633739,-58.4393939,-34.5936479,2
5,499,2017-05-01 00:32:02.000,2017-05-01 00:48:37.000,995,-58.4331645,-34.5796209,-58.40372,-34.5998633,2
6,695,2017-05-01 00:45:37.000,2017-05-01 00:59:00.000,803,-58.413676,-34.587501,-58.44470541,-34.58994072,1
7,295,2017-05-01 00:54:09.000,2017-05-01 01:05:37.000,688,-58.468307,-34.661399,-58.4774778,-34.6336259,1
8,829,2017-05-01 00:50:58.000,2017-05-01 01:08:01.000,1023,-58.432521,-34.580997,-58.47742966,-34.61934483,1
9,88,2017-05-01 00:53:40.000,2017-05-01 01:01:07.000,447,-58.428265,-34.598101,-58.44528729,-34.59255337,1
10,39,2017-05-01 01:03:21.000,2017-05-01 01:13:58.000,637,-58.401234,-34.61761,-58.3930369,-34.5958868,2
11,234,2017-05-01 01:08:28.000,2017-05-01 01:30:07.000,1299,-58.383953,-34.622379,-58.4179121,-34.58764833,1
12,785,2017-05-01 01:24:15.000,2017-05-01 01:39:33.000,918,-58.449157,-34.56433,-58.4325743,-34.5896907,2
13,351,2017-05-01 01:24:31.000,2017-05-01 01:29:40.000,309,-58.388304,-34.610095,-58.3971799,-34.6082995,1
14,8,2017-05-01 01:30:10.000,2017-05-01 01:38:44.000,514,-58.445935,-34.620558,-58.467563,-34.6343064,1
15,373,2017-05-01 01:34:12.000,2017-05-01 01:47:17.000,785,-58.379786,-34.597974,-58.3828616,-34.6249909,1
16,234,2017-05-01 01:34:46.000,2017-05-01 01:56:22.000,1296,-58.41127,-34.587087,-58.45761528,-34.54905144,1
17,746,2017-05-01 01:40:33.000,2017-05-01 01:54:50.000,857,-58.426023,-34.621726,-58.4124328,-34.6026343,2
18,395,2017-05-01 01:51:27.000,2017-05-01 02:01:56.000,629,-58.40542,-34.585851,-58.3799602,-34.5954008,3
19,554,2017-05-01 01:48:38.000,2017-05-01 01:55:20.000,402,-58.446654,-34.620843,-58.4455477,-34.6297576,1
20,588,2017-05-01 01:58:02.000,2017-05-01 02:12:32.000,870,-58.4514482,-34.5590782,-58.4352906,-34.583204,2
21,420,2017-05-01 02:03:36.000,2017-05-01 02:27:56.000,1460,-58.4812436,-34.6416293,-58.4711577,-34.58674,2
22,234,2017-05-01 02:25:23.000,2017-05-01 02:36:12.000,649,-58.487084,-34.553613,-58.47308068,-34.56700379,2
23,33,2017-05-01 02:27:17.000,2017-05-01 02:36:47.000,570,-58.433344,-34.625855,-58.4386832,-34.6077839,1
24,509,2017-05-01 02:23:53.000,2017-05-01 02:52:13.000,1700,-58.489652,-34.568531,-58.410247,-34.5969487,1
25,373,2017-05-01 02:25:33.000,2017-05-01 02:48:52.000,1399,-58.361423,-34.619076,-58.4595929,-34.6305761,1
26,881,2017-05-01 02:34:08.000,2017-05-01 02:54:11.000,1203,-58.462349,-34.563998,-58.3948593,-34.587195,1
27,8,2017-05-01 02:34:57.000,2017-05-01 03:00:03.000,1506,-58.4254131,-34.5857285,-58.4803343,-34.5058089,2
28,509,2017-05-01 02:50:35.000,2017-05-01 03:08:04.000,1049,-58.403327,-34.59698,-58.4555513,-34.6196174,1
29,258,2017-05-01 02:55:52.000,2017-05-01 03:15:43.000,1191,-58.39942,-34.59218,-58.4043696,-34.5635375,1
30,664,2017-05-01 02:56:01.000,2017-05-01 03:21:24.000,1523,-58.409538,-34.605751,-58.4509539,-34.5627777,1
31,509,2017-05-01 03:50:12.000,2017-05-01 04:12:14.000,1322,-58.4225969,-34.586284,-58.4488615,-34.6278206,1
32,420,2017-05-01 04:27:30.000,2017-05-01 04:40:55.000,805,-58.422033,-34.598976,-58.4382712,-34.6253046,1
33,719,2017-05-01 04:34:24.000,2017-05-01 04:51:21.000,1017,-58.461699,-34.562566,-58.4078469,-34.578386,1
34,509,2017-05-01 04:39:58.000,2017-05-01 04:59:17.000,1159,-58.4533213,-34.5843153,-58.4414141,-34.6263439,1
35,234,2017-05-01 04:43:13.000,2017-05-01 05:05:08.000,1315,-58.454257,-34.565017,-58.40975168,-34.60573212,1
36,128,2017-05-01 05:37:56.000,2017-05-01 05:50:14.000,738,-58.425258,-34.615977,-58.446579,-34.6080855,1
37,509,2017-05-01 05:42:25.000,2017-05-01 06:11:50.000,1765,-58.490924,-34.579516,-58.4061456,-34.6087734,1
38,664,2017-05-01 05:43:11.000,2017-05-01 06:02:35.000,1164,-58.461394,-34.6230464,-58.4026024,-34.6098466,1
39,482,2017-05-01 05:45:24.000,2017-05-01 06:14:36.000,1752,-58.427352,-34.604616,-58.4145233,-34.5560683,2
40,258,2017-05-01 06:31:14.000,2017-05-01 06:46:22.000,908,-58.436893,-34.602558,-58.4151982,-34.58585,1
