id_viaje_r	barrio_origen	barrio_destino
1	RETIRO	PALERMO
2	PALERMO	PALERMO
3	VILLA CRESPO	VILLA URQUIZA
4	PARQUE CHACABUCO	VILLA CRESPO
5	PALERMO	BALVANERA
6	PALERMO	CHACARITA
7	VILLA LUGANO	FLORESTA
8	PALERMO	VILLA SANTA RITA
9	VILLA CRESPO	VILLA CRESPO
10	BALVANERA	RECOLETA
11	CONSTITUCION	PALERMO
12	BELGRANO	PALERMO
13	MONSERRAT	BALVANERA
14	CABALLITO	FLORES
15	RETIRO	CONSTITUCION
16	PALERMO	NUÑEZ
17	ALMAGRO	BALVANERA
18	RECOLETA	RETIRO
19	CABALLITO	PARQUE CHACABUCO
20	BELGRANO	PALERMO
21	PARQUE AVELLANEDA	VILLA ORTUZAR
22	SAAVEDRA	VILLA URQUIZA
23	CABALLITO	CABALLITO
24	VILLA URQUIZA	RECOLETA
25	PUERTO MADERO	FLORES
26	BELGRANO	RECOLETA
27	PALERMO	PBA, VICENTE LÓPEZ
28	RECOLETA	CABALLITO
29	RECOLETA	PBA, COMUNA 14
30	BALVANERA	BELGRANO
31	PALERMO	CABALLITO
32	ALMAGRO	CABALLITO
33	BELGRANO	PALERMO
34	CHACARITA	CABALLITO
35	BELGRANO	BALVANERA
36	ALMAGRO	CABALLITO
37	VILLA URQUIZA	BALVANERA
38	FLORES	BALVANERA
39	ALMAGRO	PALERMO
40	VILLA CRESPO	PALERMO
41	PALERMO	BOCA
42	MONTE CASTRO	FLORES
43	FLORES	FLORES
44	COLEGIALES	MATADEROS
45	VILLA GRAL. MITRE	VILLA DEL PARQUE
46	SAN NICOLAS	PALERMO
47	SAN CRISTOBAL	VILLA CRESPO
48	VILLA DEL PARQUE	RECOLETA
49	AGRONOMIA	BELGRANO
50	PALERMO	VILLA CRESPO
51	ALMAGRO	RECOLETA
52	MONSERRAT	CABALLITO
53	PALERMO	VILLA DEL PARQUE
54	PATERNAL	CHACARITA
55	COLEGIALES	BELGRANO
56	ALMAGRO	PBA, TRES DE FEBRERO
57	NUÑEZ	VILLA PUEYRREDON
58	COGHLAN	CABALLITO
59	PALERMO	VILLA CRESPO
60	ALMAGRO	CONSTITUCION
61	BALVANERA	PALERMO
62	MONTE CASTRO	VERSALLES
63	ALMAGRO	VILLA DEL PARQUE
64	CONSTITUCION	PUERTO MADERO
65	CABALLITO	ALMAGRO
66	VILLA DEL PARQUE	PALERMO
67	FLORES	SAAVEDRA
68	PALERMO	PARQUE PATRICIOS
69	CABALLITO	BARRACAS
70	PALERMO	ALMAGRO
71	PALERMO	BALVANERA
72	VILLA CRESPO	PALERMO
73	CABALLITO	ALMAGRO
74	CABALLITO	VILLA SANTA RITA
75	BALVANERA	PALERMO
76	FLORES	MONSERRAT
77	VILLA CRESPO	VILLA CRESPO
78	RECOLETA	RECOLETA
79	NUEVA POMPEYA	BALVANERA
80	PALERMO	ALMAGRO
81	CABALLITO	PARQUE CHACABUCO
82	COGHLAN	PALERMO
83	RETIRO	SAN CRISTOBAL
84	PUERTO MADERO	MONSERRAT
85	CONSTITUCION	RETIRO
86	FLORES	VILLA GRAL. MITRE
87	SAN NICOLAS	RECOLETA
88	VILLA DEVOTO	COGHLAN
89	CABALLITO	RECOLETA
90	FLORESTA	FLORES
91	SAN CRISTOBAL	BOCA
92	BOCA	RETIRO
93	VILLA URQUIZA	VILLA URQUIZA
94	PARQUE CHACABUCO	PUERTO MADERO
95	PALERMO	SAN CRISTOBAL
96	PALERMO	CABALLITO
97	FLORES	FLORES
98	BOCA	CABALLITO
99	PALERMO	PALERMO
100	ALMAGRO	PALERMO
101	BARRACAS	BARRACAS
102	PALERMO	BOEDO
103	BALVANERA	BALVANERA
104	PALERMO	PALERMO
105	PALERMO	PALERMO
106	PARQUE PATRICIOS	SAN NICOLAS
107	BALVANERA	PALERMO
108	VILLA CRESPO	PARQUE CHACABUCO
109	BALVANERA	CHACARITA
110	RECOLETA	PALERMO
111	RECOLETA	SAN NICOLAS
112	CABALLITO	CABALLITO
113	VILLA PUEYRREDON	SAN NICOLAS
114	COLEGIALES	VILLA CRESPO
115	FLORES	FLORES
116	RECOLETA	RETIRO
117	SAN NICOLAS	BOEDO
118	SAN NICOLAS	CONSTITUCION
119	CONSTITUCION	ALMAGRO
120	VILLA CRESPO	ALMAGRO
121	SAN NICOLAS	RECOLETA
122	ALMAGRO	ALMAGRO
123	PALERMO	MONTE CASTRO
124	SAN NICOLAS	PALERMO
125	ALMAGRO	RECOLETA
126	PALERMO	RECOLETA
127	PARQUE PATRICIOS	SAN CRISTOBAL
128	PATERNAL	PATERNAL
129	SAN CRISTOBAL	BALVANERA
130	PALERMO	VILLA ORTUZAR
131	RECOLETA	SAAVEDRA
132	BELGRANO	FLORES
133	VILLA DEVOTO	VILLA CRESPO
134	NUEVA POMPEYA	NUEVA POMPEYA
135	MONSERRAT	MONSERRAT
136	PUERTO MADERO	PALERMO
137	BALVANERA	CABALLITO
138	CONSTITUCION	BARRACAS
139	SAAVEDRA	RETIRO
140	COGHLAN	BELGRANO
141	NUEVA POMPEYA	SAN NICOLAS
142	VILLA DEL PARQUE	VILLA DEL PARQUE
143	SAN CRISTOBAL	RECOLETA
144	ALMAGRO	PALERMO
145	PALERMO	MONSERRAT
146	FLORESTA	FLORES
147	MONSERRAT	SAN NICOLAS
148	PALERMO	PALERMO
149	RECOLETA	SAN TELMO
150	PARQUE CHACABUCO	CABALLITO
151	PUERTO MADERO	PBA, SAN ISIDRO
152	PALERMO	RECOLETA
153	MONSERRAT	RETIRO
154	SAN TELMO	SAN TELMO
155	PARQUE CHACABUCO	PUERTO MADERO
156	CABALLITO	RECOLETA
157	BOCA	BOCA
158	PALERMO	SAN CRISTOBAL
159	RECOLETA	CABALLITO
160	COGHLAN	SAAVEDRA
161	PALERMO	BALVANERA
162	CHACARITA	CHACARITA
163	RECOLETA	PARQUE CHACABUCO
164	PALERMO	BELGRANO
165	PALERMO	RECOLETA
166	VILLA URQUIZA	BELGRANO
167	RETIRO	RETIRO
168	SAN TELMO	PARQUE CHACABUCO
169	RECOLETA	RETIRO
170	PARQUE CHACABUCO	PALERMO
171	PARQUE PATRICIOS	CONSTITUCION
172	VILLA URQUIZA	PALERMO
173	PUERTO MADERO	CABALLITO
174	PALERMO	PALERMO
175	PALERMO	FLORES
176	RETIRO	FLORES
177	BELGRANO	VILLA ORTUZAR
178	PALERMO	PALERMO
179	BELGRANO	FLORES
180	CABALLITO	CABALLITO
181	CABALLITO	PARQUE AVELLANEDA
182	PARQUE PATRICIOS	PARQUE PATRICIOS
183	PALERMO	ALMAGRO
184	SAAVEDRA	BELGRANO
185	BELGRANO	CABALLITO
186	RECOLETA	NUÑEZ
187	CONSTITUCION	PARQUE PATRICIOS
188	VILLA CRESPO	PALERMO
189	VILLA URQUIZA	VILLA URQUIZA
190	BALVANERA	RECOLETA
191	COLEGIALES	VILLA ORTUZAR
192	PALERMO	BALVANERA
193	PALERMO	RECOLETA
194	CABALLITO	PALERMO
195	COGHLAN	VILLA ORTUZAR
196	FLORESTA	VILLA GRAL. MITRE
197	CHACARITA	PARQUE CHAS
198	RECOLETA	VILLA GRAL. MITRE
199	RETIRO	RETIRO
200	ALMAGRO	ALMAGRO
201	BALVANERA	RETIRO
202	BALVANERA	PALERMO
203	RECOLETA	PALERMO
204	MONSERRAT	PALERMO
205	CONSTITUCION	RETIRO
206	ALMAGRO	CABALLITO
207	PARQUE CHACABUCO	FLORESTA
208	BELGRANO	BELGRANO
209	PUERTO MADERO	MONSERRAT
210	VILLA DEVOTO	COGHLAN
211	PALERMO	PUERTO MADERO
212	VILLA CRESPO	ALMAGRO
213	PALERMO	PBA, VICENTE LÓPEZ
214	NUÑEZ	COGHLAN
215	SAN CRISTOBAL	SAN TELMO
216	VILLA PUEYRREDON	VILLA URQUIZA
217	VILLA SANTA RITA	CABALLITO
218	VILLA GRAL. MITRE	AGRONOMIA
219	ALMAGRO	SAN NICOLAS
220	PARQUE CHAS	VILLA ORTUZAR
221	SAN CRISTOBAL	BALVANERA
222	BALVANERA	SAN NICOLAS
223	PALERMO	ALMAGRO
224	BARRACAS	MONSERRAT
225	VILLA PUEYRREDON	RECOLETA
226	PALERMO	SAN NICOLAS
227	RECOLETA	COLEGIALES
228	RETIRO	PBA, VICENTE LÓPEZ
229	BOCA	CABALLITO
230	PARQUE PATRICIOS	PARQUE PATRICIOS
231	VILLA URQUIZA	PARQUE CHAS
232	CHACARITA	PALERMO
233	PARQUE PATRICIOS	PARQUE PATRICIOS
234	PARQUE PATRICIOS	PARQUE PATRICIOS
235	BALVANERA	SAN NICOLAS
236	BARRACAS	PARQUE PATRICIOS
237	VILLA PUEYRREDON	VILLA GRAL. MITRE
238	VILLA DEVOTO	VILLA URQUIZA
239	MONSERRAT	SAN NICOLAS
240	VILLA URQUIZA	BELGRANO
241	PALERMO	RECOLETA
242	PALERMO	ALMAGRO
243	VILLA GRAL. MITRE	RECOLETA
244	VILLA URQUIZA	VILLA PUEYRREDON
245	SAAVEDRA	BELGRANO
246	VILLA CRESPO	PALERMO
247	RECOLETA	PALERMO
248	BALVANERA	PALERMO
249	PARQUE PATRICIOS	BALVANERA
250	SAN NICOLAS	MONSERRAT
251	CABALLITO	BELGRANO
252	BALVANERA	FLORES
253	RETIRO	RECOLETA
254	BELGRANO	MONSERRAT
255	FLORES	RECOLETA
256	PALERMO	BELGRANO
257	VELEZ SARSFIELD	VILLA PUEYRREDON
258	NUÑEZ	VILLA URQUIZA
259	LINIERS	LINIERS
260	RECOLETA	PALERMO
261	RECOLETA	RECOLETA
262	VILLA SANTA RITA	FLORES
263	PALERMO	BALVANERA
264	VILLA DEL PARQUE	VILLA URQUIZA
265	RECOLETA	RECOLETA
266	PALERMO	PALERMO
267	NUEVA POMPEYA	PARQUE PATRICIOS
268	BELGRANO	CHACARITA
269	BELGRANO	CABALLITO
270	PALERMO	BOCA
271	VILLA SOLDATI	BALVANERA
272	BARRACAS	RECOLETA
273	BALVANERA	RECOLETA
274	RECOLETA	RECOLETA
275	BARRACAS	BOCA
276	SAN NICOLAS	VILLA URQUIZA
277	SAN NICOLAS	ALMAGRO
278	PALERMO	SAN CRISTOBAL
279	PALERMO	VILLA GRAL. MITRE
280	RETIRO	PALERMO
281	SAAVEDRA	COGHLAN
282	SAN NICOLAS	BALVANERA
283	ALMAGRO	VILLA CRESPO
284	PALERMO	CABALLITO
285	CABALLITO	VILLA RIACHUELO
286	VILLA DEL PARQUE	PARQUE CHAS
287	CONSTITUCION	VILLA LUGANO
288	SAN CRISTOBAL	SAN NICOLAS
289	BELGRANO	RECOLETA
290	VILLA CRESPO	BELGRANO
291	MONSERRAT	SAN NICOLAS
292	SAN CRISTOBAL	SAN TELMO
293	VILLA DEVOTO	PALERMO
294	BALVANERA	SAN NICOLAS
295	AGRONOMIA	VILLA URQUIZA
296	AGRONOMIA	PBA, VICENTE LÓPEZ
297	COLEGIALES	PALERMO
298	CABALLITO	VELEZ SARSFIELD
299	RECOLETA	RETIRO
