id	barrio_origen	barrio_destino	distancia
1	RETIRO	PALERMO	4427.74200118
2	PALERMO	PALERMO	2306.6029835
3	VILLA CRESPO	VILLA URQUIZA	6229.0559261
4	PARQUE CHACABUCO	VILLA CRESPO	4514.41962464
5	PALERMO	BALVANERA	3512.75152067
6	PALERMO	CHACARITA	2859.55461422
7	VILLA LUGANO	FLORESTA	3193.64125492
8	PALERMO	VILLA SANTA RITA	5921.73815991
9	VILLA CRESPO	VILLA CRESPO	1678.43987001
10	BALVANERA	RECOLETA	2524.39431436
11	CONSTITUCION	PALERMO	4954.44357682
12	BELGRANO	PALERMO	3198.43335978
13	MONSERRAT	BALVANERA	838.1102716
14	CABALLITO	FLORES	2501.9090588
15	RETIRO	CONSTITUCION	3010.3244841
16	PALERMO	NUÑEZ	5990.84908807
17	ALMAGRO	BALVANERA	2457.47318443
18	RECOLETA	RETIRO	2564.71692736
19	CABALLITO	PARQUE CHACABUCO	994.11990124
20	BELGRANO	PALERMO	3059.58477972
21	PARQUE AVELLANEDA	VILLA ORTUZAR	6158.92571526
22	SAAVEDRA	VILLA URQUIZA	1964.23355841
23	CABALLITO	CABALLITO	2063.62854103
24	VILLA URQUIZA	RECOLETA	7938.14795194
25	PUERTO MADERO	FLORES	9092.40626903
26	BELGRANO	RECOLETA	6706.03153273
27	PALERMO	PBA, VICENTE LÓPEZ	10198.71150432
28	RECOLETA	CABALLITO	5408.42823135
29	RECOLETA	PBA, COMUNA 14	3209.6864465
30	BALVANERA	BELGRANO	6096.25214252
31	PALERMO	CABALLITO	5199.55000065
32	ALMAGRO	CABALLITO	3278.51924269
33	BELGRANO	PALERMO	5243.98505993
34	CHACARITA	CABALLITO	4788.58942687
35	BELGRANO	BALVANERA	6088.72919197
36	ALMAGRO	CABALLITO	2142.51003972
37	VILLA URQUIZA	BALVANERA	8427.34561371
38	FLORES	BALVANERA	5587.19687439
39	ALMAGRO	PALERMO	5512.6651682
40	VILLA CRESPO	PALERMO	2719.60955506
41	PALERMO	BOCA	9990.81832455
42	MONTE CASTRO	FLORES	3738.17362951
43	FLORES	FLORES	9.88880231
44	COLEGIALES	MATADEROS	11507.71848856
45	VILLA GRAL. MITRE	VILLA DEL PARQUE	2177.56954265
46	SAN NICOLAS	PALERMO	6369.14097204
47	SAN CRISTOBAL	VILLA CRESPO	3529.91157732
48	VILLA DEL PARQUE	RECOLETA	7499.9854067
49	AGRONOMIA	BELGRANO	5164.83966115
50	PALERMO	VILLA CRESPO	1841.27277992
51	ALMAGRO	RECOLETA	1548.92095432
52	MONSERRAT	CABALLITO	3964.05620125
53	PALERMO	VILLA DEL PARQUE	6360.88478107
54	PATERNAL	CHACARITA	1742.07926498
55	COLEGIALES	BELGRANO	933.22218133
56	ALMAGRO	PBA, TRES DE FEBRERO	10452.60108351
57	NUÑEZ	VILLA PUEYRREDON	4501.58923223
58	COGHLAN	CABALLITO	6175.17023108
59	PALERMO	VILLA CRESPO	2580.71150759
60	ALMAGRO	CONSTITUCION	4192.90648423
61	BALVANERA	PALERMO	5183.86271094
