id_viaje	id_taxista	distancia	duracion	cantidad_pasajeros
1	499	4428	1101	3
2	715	2307	675	1
3	429	6229	1230	1
4	164	4514	1218	2
5	499	3513	995	2
6	695	2860	803	1
7	295	3194	688	1
8	829	5922	1023	1
9	88	1678	447	1
10	39	2524	637	2
11	234	4954	1299	1
12	785	3198	918	2
13	351	838	309	1
14	8	2502	514	1
15	373	3010	785	1
16	234	5991	1296	1
17	746	2457	857	2
18	395	2565	629	3
19	554	994	402	1
20	588	3060	870	2
21	420	6159	1460	2
22	234	1964	649	2
23	33	2064	570	1
24	509	7938	1700	1
25	373	9092	1399	1
26	881	6706	1203	1
27	8	10199	1506	2
28	509	5408	1049	1
29	258	3210	1191	1
30	664	6096	1523	1
31	509	5200	1322	1
32	420	3279	805	1
33	719	5244	1017	1
34	509	4789	1159	1
35	234	6089	1315	1
36	128	2143	738	1
37	509	8427	1765	1
38	664	5587	1164	1
39	482	5513	1752	2
40	258	2720	908	1
41	8	9991	1666	2
42	812	3738	775	1
43	723	10	979	1
44	478	11508	2137	2
45	518	2178	606	1
46	128	6369	1163	1
47	885	3530	1055	1
48	363	7500	1587	2
49	626	5165	744	2
50	723	1841	683	3
51	15	1549	539	1
52	30	3964	691	1
53	122	6361	1344	2
54	295	1742	346	2
55	808	933	317	3
56	862	10453	1620	2
57	785	4502	788	4
58	594	6175	1457	3
59	176	2581	612	2
60	594	4193	850	1
61	363	5184	1404	1
62	288	1840	398	2
63	808	6452	1453	1
64	15	2148	556	3
65	341	2341	532	2
66	808	6466	1477	2
67	538	7934	1717	3
68	331	4921	1285	1
69	381	6353	1437	2
70	420	6961	1494	1
71	883	3576	1174	2
72	381	3300	813	1
73	331	1980	623	1
74	331	4840	1107	1
75	753	2221	703	2
76	2	7652	1618	1
77	295	1630	447	1
78	769	826	269	1
79	878	4491	1035	2
80	420	1661	762	1
81	493	9	1076	2
82	420	5165	1345	1
83	692	4919	1275	1
84	692	1889	623	1
85	787	2848	879	1
86	504	895	229	4
87	692	1658	565	3
88	47	6584	958	2
89	122	4051	750	2
90	864	1095	387	2
91	293	3398	720	1
92	854	4246	967	1
93	794	5	555	1
94	167	7484	1277	1
95	424	5136	1271	1
96	446	4829	1223	2
97	299	1265	258	1
98	795	6359	1287	1
99	695	2504	667	2
100	223	3014	1030	3
101	804	3496	761	1
102	511	5696	1429	1
103	346	998	318	1
104	775	3407	972	1
105	58	2632	1059	1
106	295	3805	886	1
107	257	2233	659	2
108	695	4207	985	1
109	164	5169	916	1
110	878	3699	940	3
111	609	2464	679	2
112	665	1327	451	2
113	517	11417	1793	1
114	42	2520	544	1
115	818	41	1238	2
116	352	3232	1111	1
117	867	4315	1079	3
118	779	1761	2757	2
119	829	4193	780	1
120	625	2077	562	2
121	257	2495	896	1
122	94	21	276	2
123	625	7006	1415	1
124	448	5467	900	1
125	781	3664	941	1
126	457	1639	408	1
127	588	785	271	1
128	608	502	443	1
129	746	1908	721	2
130	395	5308	1140	1
131	387	7674	1359	1
132	456	7125	1767	1
133	812	6880	1461	2
134	664	21	0	1
135	506	71	450	1
136	456	8531	1565	1
137	87	2548	924	2
138	692	2189	470	1
139	567	10321	1184	1
140	239	1070	322	1
141	321	6979	1345	1
142	845	482	400	2
143	122	2977	741	1
144	167	2492	688	1
145	717	4057	1261	1
146	813	1090	387	2
147	717	1669	721	2
148	437	3609	1093	3
149	38	4630	1184	1
150	47	1739	499	2
151	661	18660	1714	1
152	437	2429	659	1
153	458	1622	274	1
154	589	852	1431	1
155	567	7479	1277	1
156	293	5727	1464	1
157	618	5	648	2
158	462	7626	1527	2
159	609	5726	1217	1
160	163	2156	512	2
161	703	1888	614	1
162	245	6	392	1
163	119	4213	963	1
164	63	2476	674	2
165	360	2386	659	2
166	125	3822	904	1
167	300	36	1072	1
168	174	5445	881	1
169	24	2581	1015	1
170	818	6401	1696	2
171	775	2402	545	1
172	39	7212	1600	1
173	85	7235	1647	1
174	554	1498	567	1
175	475	5579	1222	1
176	627	7069	1570	1
177	474	1963	470	1
178	833	2215	569	1
179	474	7707	1912	1
180	517	574	216	1
181	258	4401	589	1
182	55	830	180	1
183	693	1952	655	1
184	165	3822	769	1
185	24	5169	1024	1
186	695	8744	1292	1
187	164	2567	622	1
188	55	1731	524	1
189	258	16	473	2
190	362	3203	1000	1
191	8	2658	750	1
192	822	2103	669	2
193	769	974	353	2
194	457	4051	1034	1
195	420	2065	666	2
196	821	2584	671	2
197	420	1726	467	2
198	62	6716	1344	1
199	196	840	418	1
200	842	1264	816	1
201	55	2904	869	1
202	55	5347	1385	2
203	692	4686	1251	1
204	87	7006	1190	2
205	692	2882	754	1
206	787	2397	610	3
207	295	3497	841	1
208	424	1255	482	1
209	530	1941	652	1
210	47	6728	958	2
211	567	6977	1481	1
212	744	1199	378	2
