source,target,value
VILLA URQUIZA,VILLA URQUIZA,128
VILLA CRESPO,PALERMO,174
VILLA CRESPO,ALMAGRO,128
SAN NICOLAS,PALERMO,101
RECOLETA,RETIRO,112
PALERMO,RETIRO,104
PALERMO,PALERMO,709
PALERMO,CABALLITO,146
PALERMO,BELGRANO,126
PALERMO,BALVANERA,106
PALERMO,ALMAGRO,117
COLEGIALES,PALERMO,127
CABALLITO,FLORES,108
CABALLITO,CABALLITO,201
CABALLITO,ALMAGRO,113
BELGRANO,PALERMO,175
BELGRANO,BELGRANO,122
BALVANERA,SAN NICOLAS,139
BALVANERA,RECOLETA,117
BALVANERA,PALERMO,134
BALVANERA,BALVANERA,139
ALMAGRO,PALERMO,184
ALMAGRO,CABALLITO,110
