category	month	value
ClienteleFeminine	1	26
Locale	1	69
USA	1	7
AmerSud	1	0
Europe	1	20
MOrientAfrique	1	1
Asie	1	3
Business	1	78
Touristes	1	22
ResDirecte	1	70
ResAgents	1	20
EquipageAeriens	1	10
MoinsDe20	1	2
De20a35	1	25
De35a55	1	48
PlusDe55	1	25
Prix	1	163
Duree	1	1.65
Occupation	1	67
Foires	1	0
ClienteleFeminine	2	21
Locale	2	70
USA	2	6
AmerSud	2	0
Europe	2	15
MOrientAfrique	2	0
Asie	2	10
Business	2	80
Touristes	2	20
ResDirecte	2	70
ResAgents	2	18
EquipageAeriens	2	12
MoinsDe20	2	2
De20a35	2	27
De35a55	2	49
PlusDe55	2	22
Prix	2	167
Duree	2	1.71
Occupation	2	82
Foires	2	0
ClienteleFeminine	3	26
Locale	3	77
USA	3	3
AmerSud	3	0
Europe	3	14
MOrientAfrique	3	0
Asie	3	6
Business	3	85
Touristes	3	15
ResDirecte	3	75
ResAgents	3	19
EquipageAeriens	3	6
MoinsDe20	3	4
De20a35	3	37
De35a55	3	42
PlusDe55	3	17
Prix	3	166
Duree	3	1.65
Occupation	3	70
Foires	3	0
ClienteleFeminine	4	28
Locale	4	71
USA	4	6
AmerSud	4	0
Europe	4	15
MOrientAfrique	4	8
Asie	4	0
Business	4	86
Touristes	4	14
ResDirecte	4	74
ResAgents	4	17
EquipageAeriens	4	9
MoinsDe20	4	2
De20a35	4	35
De35a55	4	48
PlusDe55	4	15
Prix	4	174
Duree	4	1.91
Occupation	4	83
Foires	4	1
ClienteleFeminine	5	20
Locale	5	37
USA	5	23
AmerSud	5	8
Europe	5	23
MOrientAfrique	5	6
Asie	5	3
Business	5	85
Touristes	5	15
ResDirecte	5	69
ResAgents	5	27
EquipageAeriens	5	4
MoinsDe20	5	2
De20a35	5	25
De35a55	5	54
PlusDe55	5	19
Prix	5	152
Duree	5	1.9
Occupation	5	74
Foires	5	1
ClienteleFeminine	6	20
Locale	6	36
USA	6	14
AmerSud	6	6
Europe	6	27
MOrientAfrique	6	4
Asie	6	13
Business	6	87
Touristes	6	13
ResDirecte	6	68
ResAgents	6	27
EquipageAeriens	6	5
MoinsDe20	6	1
De20a35	6	25
De35a55	6	55
PlusDe55	6	19
Prix	6	155
Duree	6	2
Occupation	6	77
Foires	6	1
ClienteleFeminine	7	20
Locale	7	39
USA	7	19
AmerSud	7	6
Europe	7	22
MOrientAfrique	7	6
Asie	7	8
Business	7	70
Touristes	7	30
ResDirecte	7	74
ResAgents	7	19
EquipageAeriens	7	7
MoinsDe20	7	1
De20a35	7	27
De35a55	7	53
PlusDe55	7	19
Prix	7	145
Duree	7	1.54
Occupation	7	56
Foires	7	0
ClienteleFeminine	8	20
Locale	8	39
USA	8	14
AmerSud	8	4
Europe	8	30
MOrientAfrique	8	4
Asie	8	9
Business	8	76
Touristes	8	24
ResDirecte	8	75
ResAgents	8	19
EquipageAeriens	8	6
MoinsDe20	8	2
De20a35	8	28
De35a55	8	51
PlusDe55	8	19
Prix	8	170
Duree	8	1.6
Occupation	8	62
Foires	8	0
ClienteleFeminine	9	20
Locale	9	55
USA	9	9
AmerSud	9	2
Europe	9	27
MOrientAfrique	9	2
Asie	9	5
Business	9	87
Touristes	9	13
ResDirecte	9	68
ResAgents	9	26
EquipageAeriens	9	6
MoinsDe20	9	2
De20a35	9	24
De35a55	9	55
PlusDe55	9	19
Prix	9	157
Duree	9	1.73
Occupation	9	90
Foires	9	1
ClienteleFeminine	10	40
Locale	10	60
USA	10	6
AmerSud	10	12
Europe	10	19
MOrientAfrique	10	1
Asie	10	2
Business	10	85
Touristes	10	15
ResDirecte	10	68
ResAgents	10	27
EquipageAeriens	10	5
MoinsDe20	10	4
De20a35	10	30
De35a55	10	46
PlusDe55	10	20
Prix	10	174
Duree	10	1.82
Occupation	10	92
Foires	10	1
ClienteleFeminine	11	15
Locale	11	68
USA	11	8
AmerSud	11	0
Europe	11	19
MOrientAfrique	11	0
Asie	11	5
Business	11	87
Touristes	11	13
ResDirecte	11	64
ResAgents	11	21
EquipageAeriens	11	15
MoinsDe20	11	2
De20a35	11	24
De35a55	11	55
PlusDe55	11	19
Prix	11	165
Duree	11	1.66
Occupation	11	78
Foires	11	1
ClienteleFeminine	12	40
Locale	12	72
USA	12	8
AmerSud	12	0
Europe	12	17
MOrientAfrique	12	1
Asie	12	2
Business	12	80
Touristes	12	20
ResDirecte	12	75
ResAgents	12	15
EquipageAeriens	12	10
MoinsDe20	12	5
De20a35	12	30
De35a55	12	43
PlusDe55	12	22
Prix	12	156
Duree	12	1.44
Occupation	12	55
Foires	12	1
