date	dilmabr	eduardocampos40	silva_marina	AecioNeves	sum	p_dilmabr	p_eduardocampos40	p_silva_marina	p_AecioNeves
07/02/14	928	70	278	33	1309	70.89	5.35	21.24	2.52
07/03/14	882	57	233	43	1215	72.59	4.69	19.18	3.54
07/04/14	1154	71	262	37	1524	75.72	4.66	17.19	2.43
07/05/14	2523	77	343	34	2977	84.75	2.59	11.52	1.14
07/06/14	1245	115	266	75	1701	73.19	6.76	15.64	4.41
07/07/14	1695	117	336	58	2206	76.84	5.30	15.23	2.63
07/08/14	3652	112	415	91	4270	85.53	2.62	9.72	2.13
07/09/14	3672	156	611	115	4554	80.63	3.43	13.42	2.53
07/10/14	1835	146	407	77	2465	74.44	5.92	16.51	3.12
07/11/14	1365	133	333	57	1888	72.30	7.04	17.64	3.02
07/12/14	1501	105	342	78	2026	74.09	5.18	16.88	3.85
07/13/14	2298	91	373	66	2828	81.26	3.22	13.19	2.33
07/14/14	1461	188	388	2927	4964	29.43	3.79	7.82	58.96
07/15/14	1505	558	847	4267	7177	20.97	7.77	11.80	59.45
07/16/14	1318	360	815	1059	3552	37.11	10.14	22.94	29.81
07/17/14	1179	299	662	593	2733	43.14	10.94	24.22	21.70
07/18/14	1264	262	673	594	2793	45.26	9.38	24.10	21.27
07/19/14	1093	224	612	393	2322	47.07	9.65	26.36	16.93
07/20/14	1168	223	620	388	2399	48.69	9.30	25.84	16.17
07/21/14	1300	277	697	434	2708	48.01	10.23	25.74	16.03
07/22/14	1234	253	643	389	2519	48.99	10.04	25.53	15.44
07/23/14	1244	271	687	434	2636	47.19	10.28	26.06	16.46
07/24/14	1170	260	648	362	2440	47.95	10.66	26.56	14.84
07/25/14	940	178	473	249	1840	51.09	9.67	25.71	13.53
07/26/14	955	184	545	227	1911	49.97	9.63	28.52	11.88
07/27/14	918	205	577	295	1995	46.02	10.28	28.92	14.79
07/28/14	1025	268	604	273	2170	47.24	12.35	27.83	12.58
07/29/14	1058	239	671	264	2232	47.40	10.71	30.06	11.83
07/30/14	1084	283	636	284	2287	47.40	12.37	27.81	12.42
07/31/14	914	236	548	221	1919	47.63	12.30	28.56	11.52
08/01/14	1086	216	637	219	2158	50.32	10.01	29.52	10.15
08/02/14	912	200	525	190	1827	49.92	10.95	28.74	10.40
08/03/14	850	185	488	231	1754	48.46	10.55	27.82	13.17
08/04/14	908	242	501	292	1943	46.73	12.45	25.78	15.03
08/05/14	967	255	564	296	2082	46.45	12.25	27.09	14.22
08/06/14	892	236	556	315	1999	44.62	11.81	27.81	15.76
08/07/14	914	222	576	262	1974	46.30	11.25	29.18	13.27
08/08/14	863	194	572	232	1861	46.37	10.42	30.74	12.47
08/09/14	934	159	630	211	1934	48.29	8.22	32.57	10.91
08/10/14	822	169	479	241	1711	48.04	9.88	28.00	14.09
08/11/14	999	236	601	403	2239	44.62	10.54	26.84	18.00
08/12/14	987	301	588	515	2391	41.28	12.59	24.59	21.54
08/13/14	2038	3131	2748	1716	9633	21.16	32.50	28.53	17.81
08/14/14	1288	1090	1637	583	4598	28.01	23.71	35.60	12.68
08/15/14	1146	519	1392	364	3421	33.50	15.17	40.69	10.64
08/16/14	1103	440	1255	367	3165	34.85	13.90	39.65	11.60
08/17/14	1082	614	1344	391	3431	31.54	17.90	39.17	11.40
08/18/14	1310	513	1765	504	4092	32.01	12.54	43.13	12.32
08/19/14	1592	440	1794	610	4436	35.89	9.92	40.44	13.75
08/20/14	1221	364	1443	422	3450	35.39	10.55	41.83	12.23
08/21/14	1075	312	1490	443	3320	32.38	9.40	44.88	13.34
08/22/14	972	273	1215	339	2799	34.73	9.75	43.41	12.11
08/23/14	955	294	1270	332	2851	33.50	10.31	44.55	11.65
08/24/14	982	293	1120	295	2690	36.51	10.89	41.64	10.97
08/25/14	1086	317	1196	358	2957	36.73	10.72	40.45	12.11
08/26/14	1095	315	1366	388	3164	34.61	9.96	43.17	12.26
08/27/14	1909	427	4137	1447	7920	24.10	5.39	52.23	18.27
08/28/14	1119	367	2097	451	4034	27.74	9.10	51.98	11.18
08/29/14	1122	584	1673	388	3767	29.78	15.50	44.41	10.30
08/30/14	1045	478	2225	413	4161	25.11	11.49	53.47	9.93
08/31/14	1083	504	1711	351	3649	29.68	13.81	46.89	9.62
09/01/14	1434	655	2610	728	5427	26.42	12.07	48.09	13.41
09/02/14	1459	645	2462	649	5215	27.98	12.37	47.21	12.44
09/03/14	1359	595	1849	513	4316	31.49	13.79	42.84	11.89
09/04/14	1218	596	1761	435	4010	30.37	14.86	43.92	10.85
09/05/14	1050	508	1383	279	3220	32.61	15.78	42.95	8.66
09/06/14	891	438	1161	336	2826	31.53	15.50	41.08	11.89
09/07/14	950	457	1279	374	3060	31.05	14.93	41.80	12.22
09/08/14	1174	537	1391	394	3496	33.58	15.36	39.79	11.27
09/09/14	1141	515	1650	339	3645	31.30	14.13	45.27	9.30
09/10/14	1046	524	1258	419	3247	32.21	16.14	38.74	12.90
09/11/14	1113	507	1583	659	3862	28.82	13.13	40.99	17.06
09/12/14	1365	513	1382	524	3784	36.07	13.56	36.52	13.85
09/13/14	1294	494	1752	498	4038	32.05	12.23	43.39	12.33
09/14/14	1031	431	1342	386	3190	32.32	13.51	42.07	12.10
09/15/14	1240	536	1638	413	3827	32.40	14.01	42.80	10.79
09/16/14	1134	509	1526	377	3546	31.98	14.35	43.03	10.63
09/17/14	1243	567	1664	611	4085	30.43	13.88	40.73	14.96
09/18/14	1154	535	1425	419	3533	32.66	15.14	40.33	11.86
09/19/14	1088	475	1224	312	3099	35.11	15.33	39.50	10.07
09/20/14	1070	551	1273	330	3224	33.19	17.09	39.49	10.24
09/21/14	940	436	1135	319	2830	33.22	15.41	40.11	11.27
09/22/14	1387	547	1483	615	4032	34.40	13.57	36.78	15.25
09/23/14	1477	577	1689	831	4574	32.29	12.61	36.93	18.17
09/24/14	320	150	380	128	978	32.72	15.34	38.85	13.09
