date	candidato	seguidores
07/02/14	Dilma	928
07/03/14	Dilma	882
07/04/14	Dilma	1154
07/05/14	Dilma	2523
07/06/14	Dilma	1245
07/07/14	Dilma	1695
07/08/14	Dilma	3652
07/09/14	Dilma	3672
07/10/14	Dilma	1835
07/11/14	Dilma	1365
07/12/14	Dilma	1501
07/13/14	Dilma	2298
07/14/14	Dilma	1461
07/15/14	Dilma	1505
07/16/14	Dilma	1318
07/17/14	Dilma	1179
07/18/14	Dilma	1264
07/19/14	Dilma	1093
07/20/14	Dilma	1168
07/21/14	Dilma	1300
07/22/14	Dilma	1234
07/23/14	Dilma	1244
07/24/14	Dilma	1170
07/25/14	Dilma	940
07/26/14	Dilma	955
07/27/14	Dilma	918
07/28/14	Dilma	1025
07/29/14	Dilma	1058
07/30/14	Dilma	1084
07/31/14	Dilma	914
08/01/14	Dilma	1086
08/02/14	Dilma	912
08/03/14	Dilma	850
08/04/14	Dilma	908
08/05/14	Dilma	967
08/06/14	Dilma	892
08/07/14	Dilma	914
08/08/14	Dilma	863
08/09/14	Dilma	934
08/10/14	Dilma	822
08/11/14	Dilma	999
08/12/14	Dilma	987
08/13/14	Dilma	2038
08/14/14	Dilma	1288
08/15/14	Dilma	1146
08/16/14	Dilma	1103
08/17/14	Dilma	1082
08/18/14	Dilma	1310
08/19/14	Dilma	1592
08/20/14	Dilma	1221
08/21/14	Dilma	1075
08/22/14	Dilma	972
08/23/14	Dilma	955
08/24/14	Dilma	982
08/25/14	Dilma	1086
08/26/14	Dilma	1095
08/27/14	Dilma	1909
08/28/14	Dilma	1119
08/29/14	Dilma	1122
08/30/14	Dilma	1045
08/31/14	Dilma	1083
09/01/14	Dilma	1434
09/02/14	Dilma	1459
09/03/14	Dilma	1359
09/04/14	Dilma	1218
09/05/14	Dilma	1050
09/06/14	Dilma	891
09/07/14	Dilma	950
09/08/14	Dilma	1174
09/09/14	Dilma	1141
09/10/14	Dilma	1046
09/11/14	Dilma	1113
09/12/14	Dilma	1365
09/13/14	Dilma	1294
09/14/14	Dilma	1031
09/15/14	Dilma	1240
09/16/14	Dilma	1134
09/17/14	Dilma	1243
09/18/14	Dilma	1154
09/19/14	Dilma	1088
09/20/14	Dilma	1070
09/21/14	Dilma	940
09/22/14	Dilma	1387
09/23/14	Dilma	1477
09/24/14	Dilma	320
07/02/14	Eduardo Campos	70
07/03/14	Eduardo Campos	57
07/04/14	Eduardo Campos	71
07/05/14	Eduardo Campos	77
07/06/14	Eduardo Campos	115
07/07/14	Eduardo Campos	117
07/08/14	Eduardo Campos	112
07/09/14	Eduardo Campos	156
07/10/14	Eduardo Campos	146
07/11/14	Eduardo Campos	133
07/12/14	Eduardo Campos	105
07/13/14	Eduardo Campos	91
07/14/14	Eduardo Campos	188
07/15/14	Eduardo Campos	558
07/16/14	Eduardo Campos	360
07/17/14	Eduardo Campos	299
07/18/14	Eduardo Campos	262
07/19/14	Eduardo Campos	224
07/20/14	Eduardo Campos	223
07/21/14	Eduardo Campos	277
07/22/14	Eduardo Campos	253
07/23/14	Eduardo Campos	271
07/24/14	Eduardo Campos	260
07/25/14	Eduardo Campos	178
07/26/14	Eduardo Campos	184
07/27/14	Eduardo Campos	205
07/28/14	Eduardo Campos	268
07/29/14	Eduardo Campos	239
07/30/14	Eduardo Campos	283
07/31/14	Eduardo Campos	236
08/01/14	Eduardo Campos	216
08/02/14	Eduardo Campos	200
08/03/14	Eduardo Campos	185
08/04/14	Eduardo Campos	242
08/05/14	Eduardo Campos	255
08/06/14	Eduardo Campos	236
08/07/14	Eduardo Campos	222
08/08/14	Eduardo Campos	194
08/09/14	Eduardo Campos	159
08/10/14	Eduardo Campos	169
08/11/14	Eduardo Campos	236
08/12/14	Eduardo Campos	301
08/13/14	Eduardo Campos	3131
08/14/14	Eduardo Campos	1090
08/15/14	Eduardo Campos	519
08/16/14	Eduardo Campos	440
08/17/14	Eduardo Campos	614
08/18/14	Eduardo Campos	513
08/19/14	Eduardo Campos	440
08/20/14	Eduardo Campos	364
08/21/14	Eduardo Campos	312
08/22/14	Eduardo Campos	273
08/23/14	Eduardo Campos	294
08/24/14	Eduardo Campos	293
08/25/14	Eduardo Campos	317
08/26/14	Eduardo Campos	315
08/27/14	Eduardo Campos	427
08/28/14	Eduardo Campos	367
08/29/14	Eduardo Campos	584
08/30/14	Eduardo Campos	478
08/31/14	Eduardo Campos	504
09/01/14	Eduardo Campos	655
09/02/14	Eduardo Campos	645
09/03/14	Eduardo Campos	595
09/04/14	Eduardo Campos	596
09/05/14	Eduardo Campos	508
09/06/14	Eduardo Campos	438
09/07/14	Eduardo Campos	457
09/08/14	Eduardo Campos	537
09/09/14	Eduardo Campos	515
09/10/14	Eduardo Campos	524
09/11/14	Eduardo Campos	507
09/12/14	Eduardo Campos	513
09/13/14	Eduardo Campos	494
09/14/14	Eduardo Campos	431
09/15/14	Eduardo Campos	536
09/16/14	Eduardo Campos	509
