barrio	superficie
PALERMO	15.77
VILLA LUGANO	9.30
VILLA SOLDATI	8.66
FLORES	8.59
BARRACAS	7.96
BELGRANO	7.93
MATADEROS	7.40
CABALLITO	6.85
VILLA DEVOTO	6.40
RECOLETA	6.14
SAAVEDRA	5.54
VILLA URQUIZA	5.45
BOCA	5.03
PUERTO MADERO	5.03
NUEVA POMPEYA	4.97
PARQUE AVELLANEDA	4.73
RETIRO	4.53
LINIERS	4.37
NUÑEZ	4.35
BALVANERA	4.34
VILLA RIACHUELO	4.23
ALMAGRO	4.05
PARQUE CHACABUCO	3.83
PARQUE PATRICIOS	3.74
VILLA CRESPO	3.61
VILLA DEL PARQUE	3.40
VILLA PUEYRREDON	3.30
CHACARITA	3.12
MONTE CASTRO	2.63
BOEDO	2.61
VILLA LURO	2.57
VELEZ SARSFIELD	2.40
FLORESTA	2.32
COLEGIALES	2.29
SAN NICOLAS	2.29
PATERNAL	2.23
MONSERRAT	2.20
VILLA GRAL. MITRE	2.16
VILLA SANTA RITA	2.15
AGRONOMIA	2.12
CONSTITUCION	2.10
SAN CRISTOBAL	2.04
VILLA ORTUZAR	1.85
VERSALLES	1.41
PARQUE CHAS	1.39
VILLA REAL	1.33
COGHLAN	1.28
SAN TELMO	1.23
