PROVINCIA	JCC2010	ONE2010	TSP2009	ASI2010	TMM2011	MED2001	EDU2000	EDU2001	EDU2002	EDU2003	EDU2004	EDU2005	EDU2006	EDU2007	EDU2008	EDU2009	EDU2010	MID1999	MID2000	MID2001	MID2002	MID2003	MID2004	MID2005	MID2006	MID2007	MID2008	MID2009	MID2010	MID2011	MMD1999	MMD2000	MMD2001	MMD2002	MMD2003	MMD2004	MMD2005	MMD2006	MMD2007	MMD2008	MMD2009	MMD2010	MMD2011	IDH2009	DEP2001	DEP2010	POB2010	PBG2011	COP2011	REC2011	GPT2011	ICI2011	TPP2013	SDP2012	ELEC2011	PART2012	DIP1983	DIP1985	DIP1987	DIP1989	DIP1991	DIP1993	DIP1995	DIP1997	DIP1999	DIP2001	DIP2003	DIP2005	DIP2007	DIP2009	PAS2011	DIP2011	VEN1987	VEN2011	VEN1991	VEN1995	VEN1998	VEN2003	VEN2007
Buenos Aires	4.8	27.8	37.4	85.1	3.2	26.7	1122	1110	1049	1134	1437	2121	2761	3574	4977	6061	6819	16.6	15.1	15	15.8	16.3	13	13	12.5	13.6	12.4	12.5	12	11.8	19	17.2	17.1	18	18.1	14.9	14.7	14.4	15.6	14.1	14.3	13.6	13.4	0.818	59.2	55.1	15625084	801271	1470	2252	5244	31	7.98	7.6	10698384	58	15	12	15	11	17	19	19	10	13	18	26	26	25	18	13	7	35	47.6	41.4	53.4	41	40	44.8
Catamarca	12.6	54.1	36.9	84.8	7.6	20	1419	1332	1310	1385	1684	2529	3485	4485	6577	7344	8247	20.3	21	15.5	20.6	20.1	21.8	16.8	15.4	14.9	15.3	14.5	15.4	14	24.2	24	17.9	22.9	22.4	24.6	18.5	17.7	17.1	17.2	16	17.5	15.7	0.815	69.8	59	367828	10759	7823	1290	13997	55.7	8.43	12.2	257470	22	14	8	9	10	7	7	10	5	7	6	10	6	11	6	11	5	49.1	32	27.4	48.3	43.1	42.8	51.2
Chaco	7.1	51.2	46	73	8.6	17.6	978	912	936	1023	1307	1784	2291	3325	4521	5270	6402	29	21.9	24	26.7	27.7	21.3	19.9	18.9	21.2	18	17.8	14.7	11.4	34.2	26.7	29.5	32.5	34.6	25.1	23	23.5	25.4	21.9	21.2	17.8	14.1	0.794	73	59.5	1055259	37995	4894	1062	9617	50.2	4.53	13.8	757234	22	11	10	8	9	7	10	8	5	6	6	10	9	18	7	15	6	43.2	59.9	26.6	-6.3	45	45.6	39
Chubut	7.7	30.3	43.1	86.4	5.1	23.2	1222	1206	1347	1885	2587	3728	4378	5587	7205	8053	10606	17.9	15.8	13.1	17.8	15.1	11.8	11.7	11.5	11	10.4	9.4	9.8	10.2	20	18.5	15.1	20	17.2	13.5	13.2	12.9	12.7	11.5	11.4	11.7	12.3	0.833	59.8	51.6	509108	18221	3310	2479	13068	26.3	4.43	5.3	359304	9	12	8	12	10	10	5	8	5	5	8	8	7	8	7	7	6	33.4	31.9	-5.9	51	28.5	31.4	69
Ciudad de Buenos Aires	34.9	13.3	31.8	90.5	1.3	110.6	2157	2135	1993	2115	2384	3282	4972	5969	7586	9115	11102	10.7	9.4	9.6	10	10.3	8.7	8	8.3	8.4	7.7	8.5	7	8.8	12.5	10.7	10.9	11.4	12	10.1	9.4	9.7	9.8	9.1	9.9	8.2	10	0.876	51.8	48.7	2890151	302009	888	7482	9359	9.8	8.28	1.9	2467073	37	13	14	16	10	21	19	19	15	16	19	33	29	30	23	15	11		42.1			45.4	31.1	17.2
Cordoba	15.4	24.8	28.2	79.5	1.9	44.1	1181	1219	1051	1120	1297	1754	2233	2888	4191	4993	5938	15.3	15	16.2	14.8	14.3	12.7	11.9	11.6	12.7	12.1	10.7	11.1	10.8	18	17.6	19.2	17	16.6	14.4	13.9	13.5	14.9	14	12.3	12.7	12.1	0.846	59.4	55.1	3308876	114692	2797	2124	6965	41.3	9.1	9.8	2499708	43	13	10	11	8	13	11	9	8	13	22	21	14	23	23	15	8	44	37.4	48	41.3	33	45.8	29.3
Corrientes	1.1	44.5	41	77.7	5.3	23.8	857	801	788	855	1064	1725	1850	2415	3358	3793	4624	22.9	30.4	23.5	23.8	21.1	19.3	18.2	17.5	15.6	17.1	15.3	16.8	15.7	25.7	33.8	27.2	27.4	24	21.9	20.6	20	18.4	19.5	16.8	18.3	17.3	0.809	70.7	59.3	992595	32053	3905	803	7070	56.4	4.05	6.5	698984	28	12	8	13	10	11	9	10	5	9	6	11	31	32	30	8	6	38.8		37.4	-0.4	29.1	50.7	20.4
Entre Rios	5.1	27.9	37.2	77.8	5.4	20.6	1173	1040	1033	1088	1528	2004	2515	3352	4681	5599	6901	19.5	16.9	14.9	16.5	17.2	15.5	13.2	12.6	11.9	13.5	11.8	11.6	11	21.7	18.8	16.8	18.6	19.2	17.5	15.5	14.6	14.4	15.3	13.3	13.4	12.8	0.822	64.6	57.5	1235994	47562	4131	1582	8600	47.3	8.68	8.3	920439	12	13	9	10	11	5	6	7	3	6	9	7	8	12	10	8	7	35.7	47.2	40	37	34.4	23.4	39.4
Formosa	8.2	53.9	43.2	80.8	12.3	14.8	1000	1009	938	1000	1161	1676	2398	3512	4549	5673	6840	23.6	23	28.9	25.5	25	25.1	22.9	24.2	22.9	19.2	20.5	17.8	21.2	29.4	29.3	36.1	32.6	31.3	30.1	27.3	31.2	28.9	24.2	24.8	22.8	25.5	0.773	76.3	62.6	530162	15075	7143	680	12907	54.5	5.85	26.4	360307	23	10	11	6	9	10	4	7	3	6	11	7	7	9	2	9	4	41.2	70.2	37.3	45.8	60.6	64.7	71.2
Jujuy	8.9	38.5	41.9	85.8	11.5	18.7	1042	1075	921	1109	1416	1911	2546	3508	4741	5542	7029	23.4	23.1	18.4	20.6	19.2	17.8	16.1	17	15.2	14	11.5	13.4	12.9	27.6	27.8	23.1	24.6	23.1	21.9	19.8	19.7	17.8	16.9	14	15.5	14.6	0.803	68.1	57.1	673307	14750	4424	752	9297	49.9	4.85	24.5	441760	18	12	12	12	12	10	6	10	5	6	8	9	10	12	8	8	7	38.3	50.5	41.9	39.8	1.1	50.3	28
