Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017
1	13J	CAPITAL	VILLA AZALAIS	27594	28602	29627	31065	31918
1	12D	CAPITAL	JOSE IGNACIO DIAZ	19031	21122	23466	25343	26913
1	10L	CAPITAL	VILLA EL LIBERTADOR	21629	23700	25144	25906	26710
1	11A	CAPITAL	ALTO ALBERDI	23288	23087	23631	23149	23555
1	12B	CAPITAL	COLON	23755	23252	23471	22939	22935
1	7B	CAPITAL	ALTA CORDOBA	21765	21793	22364	22648	22752
1	10G	CAPITAL	OBSERVATORIO	20061	19872	21035	21058	21121
1	4	CAPITAL	NUEVA CORDOBA	18133	18305	19728	20287	21029
1	3	CAPITAL	SECCIONAL TERCERA	19027	18987	19883	19980	20676
1	12F	CAPITAL	JOSE HERNANDEZ	17414	17950	18912	19645	20222
1	8B	CAPITAL	PUEYRREDON	19272	19225	19647	19575	19927
1	13G	CAPITAL	PARQUE LICEO	11663	14254	15877	17986	18982
1	5C	CAPITAL	EMPALME	10665	15675	17173	17670	18384
1	14A	CAPITAL	ARGUELLO NORTE	11218	13415	15498	17290	18293
1	10	CAPITAL	BELLA VISTA	17191	17124	17496	17380	18191
1	4A	CAPITAL	PUEBLO LAS FLORES	15425	16459	17240	17256	17963
1	11J	CAPITAL	SANTA ANA	16901	16955	17400	17339	17627
1	13H	CAPITAL	PATRICIOS	17040	17351	17594	17310	17543
1	13A	CAPITAL	AYACUCHO	17010	17413	17868	16822	17047
1	7E	CAPITAL	MARQUES DE SOBREMONTE	13787	14704	15599	16154	16631
1	11E	CAPITAL	LOS PLATANOS	14304	14907	15491	15734	16250
1	1	CAPITAL	SECCIONAL PRIMERA	15602	15058	15806	15788	16095
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	11187	12552	13803	14962	16007
1	4B	CAPITAL	VILLA REVOL	14430	14841	15518	15600	15815
1	5G	CAPITAL	SAN VICENTE	17419	17037	16564	15859	15742
