bigram phrase,frequency
de la,31
a la,19
en la,19
creo que,18
de que,16
lo que,15
que se,15
que no,14
la argentina,12
es una,11
de una,11
de los,10
que la,10
no no,10
y que,10
en el,10
qué es,10
que es,10
no se,9
que tiene,9
la gente,9
lo mismo,9
el peronismo,9
no es,9
durán barba,8
es un,8
es que,8
y se,8
marcos peña,8
que está,7
que hay,7
y no,7
es la,7
todos los,7
y lo,7
como un,7
la política,7
por eso,7
un gran,6
y a,6
pero no,6
no creo,6
que estamos,6
de gobierno,6
es el,6
el país,6
no me,6
otro lado,6
se puede,6
una persona,6
con un,6
hoy el,5
no lo,5
por el,5
y el,5
que en,5
de un,5
los días,5
en su,5
es como,5
la historia,5
de su,5
se lo,5
y le,5
la provincia,5
el más,5
mauricio macri,5
de mauricio,5
es hoy,5
el poder,5
después de,5
pero lo,5
van a,5
la sensación,5
hay un,5
en una,5
que el,5
sobre todo,5
el otro,5
que eso,5
esta elección,5
me parece,5
tiene que,5
del otro,5
veo a,4
los 70,4
no veo,4
pobre del,4
pero también,4
se trata,4
súper k,4
la cámpora,4
trata de,4
posibilidad de,4
y eso,4
para que,4
que haya,4
pero bueno,4
todo en,4
va a,4
sergio massa,4
desde el,4
en un,4
está del,4
tiene más,4
que cristina,4
más pobre,4
del gabinete,4
hay que,4
vas a,4
un montón,4
por quién,4
camino que,4
parece que,4
y la,4
al final,4
del mundo,4
la liberación,4
jefe de,4
y creo,4
quién tiene,4
a mauricio,4
que fue,4
da la,4
por un,4
lo más,4
la familia,4
para escuchar,4
vamos a,4
porque no,4
los problemas,4
un poco,4
del poder,4
los que,4
fue un,4
eso es,4
el mundo,4
la campaña,4
que los,4
está claro,4
dos hijos,3
crees que,3
me da,3
muy bien,3
buenos aires,3
política argentina,3
un equipo,3
hace dos,3
encontrar cien,3
no nos,3
decir qué,3
está dando,3
que quieren,3
de buenos,3
gente que,3
pasa por,3
maría eugenia,3
dos años,3
que quede,3
ojalá que,3
nos parecía,3
es uno,3
muy claros,3
de otra,3
provincia de,3
es ser,3
el mismo,3
en eso,3
peronismo vas,3
como que,3
cambio de,3
cien respuestas,3
que tenga,3
por qué,3
con una,3
y al,3
o sea,3
un tiempo,3
más en,3
alguien que,3
su discurso,3
sino por,3
por ese,3
son los,3
tenés que,3
me cierra,3
poder el,3
si preguntás,3
gane porque,3
argentina y,3
la calle,3
ser parte,3
y por,3
la sociedad,3
gran líder,3
15 años,3
es cristina,3
en general,3
mauricio es,3
la misma,3
esa cultura,3
casa de,3
terminar de,3
a los,3
acá y,3
a lousteau,3
massa es,3
por hoy,3
hoy por,3
el presidente,3
no son,3
de lo,3
como la,3
por más,3
en esta,3
otro día,3
el cambio,3
tiene una,3
un oportunista,3
una gran,3
mismo decían,3
que te,3
a encontrar,3
y como,3
mucha confianza,3
sistema político,3
un buen,3
de todo,3
argentina no,3
argentina suicidándose,3
martín lousteau,3
una cierta,3
que más,3
son como,3
por ahí,3
hoy lo,3
decían de,3
ya está,3
habíamos sido,3
por ejemplo,3
con cristina,3
parte de,3
líder que,3
que por,3
el tema,3
todo el,3
sido muy,3
es algo,3
el que,3
uno de,3
a cristina,3
que ganaron,3
los votantes,3
distinto y,3
silla de,2
que mauricio,2
re bien,2
a las,2
le damos,2
días para,2
lo va,2
aportó muchísimo,2
podrán gobernar,2
mucha bola,2
las personas,2
escuchar música,2
en equipo,2
menem en,2
como usar,2
enamorados y,2
prensa más,2
una cosa,2
elección después,2
vueltas en,2
dicen que,2
sé si,2
fracasada de,2
quede embarazada,2
nos rendimos,2
siglo xxi,2
escenario de,2
hay una,2
suicidándose y,2
estar preso,2
esfuerzo por,2
cambiar la,2
resignación y,2
peronismo hoy,2
claro lo,2
años en,2
crecimientos de,2
han sido,2
ser menemista,2
ahí el,2
pregunta que,2
eso hay,2
lo invitó,2
que son,2
en nosotros,2
el estado,2
cultura del,2
tan importante,2
la silla,2
está muy,2
luchar contra,2
lo tiene,2
el trabajo,2
viene de,2
hicimos un,2
un visionario,2
lado y,2
obsesionado con,2
de apoyo,2
que al,2
o un,2
en sus,2
quedó embarazada,2
no los,2
pero él,2
ser jefe,2
todavía hay,2
somos muy,2
gente de,2
mi formación,2
generación nosotros,2
con ser,2
