trigram phrase,frequency
todos los días,5
del otro lado,4
que hay un,4
me parece que,4
por quién tiene,4
no veo a,4
se trata de,4
es una persona,4
pobre del gabinete,4
y creo que,4
a la gente,4
quién tiene más,4
el más pobre,4
no creo que,4
da la sensación,4
más pobre del,4
que está del,4
está del otro,4
en la calle,3
qué es hoy,3
el peronismo vas,3
veo a la,3
la argentina suicidándose,3
es uno de,3
de la cámpora,3
peronismo vas a,3
uno de los,3
hace dos años,3
de buenos aires,3
decir qué es,3
a encontrar cien,3
vas a encontrar,3
habíamos sido muy,3
hoy por hoy,3
la argentina no,3
provincia de buenos,3
no me cierra,3
no nos parecía,3
no no no,3
mismo decían de,3
en la provincia,3
no se trata,3
a la argentina,3
sido muy claros,3
la política argentina,3
sobre todo en,3
de la política,3
en la argentina,3
distinto y que,3
hoy el peronismo,3
creo que la,3
lo mismo decían,3
que no nos,3
que tiene una,3
que tiene que,3
un gran líder,3
casa de gobierno,3
el otro día,3
de la argentina,3
que es una,3
encontrar cien respuestas,3
es hoy el,3
la provincia de,3
lo que está,3
el sistema político,2
lo que los,2
de mucha confianza,2
nuevo votante que,2
es súper k,2
profundo que estamos,2
resignación y el,2
un visionario y,2
massa es un,2
preguntás qué es,2
conocidos pero lo,2
la cámpora han,2
se ordenaba el,2
el 2003 ganó,2
haya que darlo,2
muy compañeros seguimos,2
fracasada de una,2
detuvo la posibilidad,2
un buen momento,2
un contenido muy,2
el gobierno de,2
día creo fracasada,2
en vivir nuestra,2
tirando todo este,2
si preguntás qué,2
a la personalidad,2
más claro y,2
que tenga en,2
un tiempo distinto,2
que el peronismo,2
liderazgo de mauricio,2
una pequeña ventaja,2
como dos hijos,2
una cierta dignidad,2
lado de la,2
es hoy lo,2
que no había,2
la definiría así,2
nuestra propia aventura,2
dicho que no,2
argentina no se,2
cuenta de que,2
la cultura del,2
cristina gane porque,2
la resignación y,2
mínimo de apoyo,2
para escuchar música,2
que no tuvieron,2
vivir nuestra propia,2
está nos rendimos,2
liberación pasa por,2
a recordar a,2
qué es lo,2
después de estar,2
viviendo es que,2
cierra el escenario,2
mauricio es uno,2
creo fracasada de,2
en la historia,2
es cristina eso,2
y tirando todo,2
sociedad consigue un,2
poco conocidos pero,2
hicimos un montón,2
que recorrer y,2
el que está,2
esfuerzo por la,2
cultura perversa del,2
muy claros de,2
escuchar música de,2
ser peronista ser,2
de que cristina,2
entender que hay,2
vamos a estar,2
muy antiguo es,2
argentina suicidándose y,2
quedará en la,2
ministros kirchneristas pero,2
lo único que,2
nosotros creemos más,2
el cambio de,2
ya está nos,2
de todo te,2
el poder lo,2
eso es hoy,2
contemporáneas pero con,2
claros de que,2
escuchar para dialogar,2
en positivo es,2
pregunta que todavía,2
cultura del poder,2
que la gente,2
los que se,2
si van a,2
duhaldista ser kirchnerista,2
la sociedad consigue,2
que quede embarazada,2
no la definiría,2
un lado y,2
han sido tantas,2
a ser parte,2
la argentina y,2
estamos viviendo es,2
nos habían dicho,2
final no son,2
que terminar de,2
ser kirchnerista ser,2
seguimos muy enamorados,2
cristina eso es,2
que quieren un,2
desprestigio que tenga,2
que hoy el,2
sensación sobre todo,2
sido acompañarlo ayudarlo,2
un ex presidente,2
votante que hay,2
para escuchar para,2
tratamientos siete médicos,2
no creo en,2
muy enamorados y,2
simplemente está claro,2
a partir de,2
y por eso,2
jaime es un,2
de estar preso,2
cristina lo que,2
visionario y como,2
buen momento pero,2
durán barba sos,2
ex presidente por,2
historia argentina como,2
no son nada,2
escenario de que,2
montón de tratamientos,2
ser parte de,2
menemista ser duhaldista,2
suegra es súper,2
