word,frequency
cristina,25
ser,24
creo,22
mauricio,19
hoy,19
si,18
argentina,18
años,16
gente,16
hace,16
poder,15
mismo,13
gobierno,11
peronismo,11
presidente,10
cambio,10
gran,10
bien,10
vos,10
política,9
barba,9
así,9
peña,9
bueno,9
elección,9
dos,9
da,9
día,9
macri,9
puede,9
mundo,9
marcos,8
claro,8
después,8
durán,8
gabinete,8
lado,8
acá,8
sos,8
van,8
quién,8
ahí,8
país,8
menos,7
veo,7
cómo,7
lousteau,7
tiempo,7
massa,7
historia,7
cosas,7
sido,7
cosa,6
siempre,6
vivir,6
trabajo,6
cambiemos,6
político,6
tenés,6
tan,6
importante,6
persona,6
mucha,6
parece,6
martín,6
provincia,6
lilita,6
confianza,6
jefe,6
equipo,6
va,6
parte,6
ustedes,6
días,6
familia,6
juntos,6
todavía,6
ver,5
lógica,5
vamos,5
identidad,5
hizo,5
sensación,5
viene,5
kirchner,5
camino,5
dar,5
ganaron,5
amigos,5
cada,5
futuro,5
campaña,5
jaime,5
cultura,5
súper,5
kirchnerista,5
pobre,5
hacer,5
líder,5
volver,5
liderazgo,5
ojalá,5
vas,5
hijos,4
vez,4
decir,4
sergio,4
pasa,4
vocación,4
k,4
escuchar,4
cámpora,4
crisis,4
mayoría,4
sé,4
problemas,4
construir,4
discurso,4
randazzo,4
buenos,4
mayor,4
distinto,4
idea,4
suegra,4
final,4
15,4
liberación,4
posibilidad,4
70,4
generación,4
aventura,4
embarazada,4
terminar,4
momento,4
época,4
alguien,4
ahora,4
personas,4
general,4
parecía,4
encontrar,4
mal,4
luciana,4
menem,4
montón,4
cuenta,4
quiere,4
respuestas,4
moreno,4
dicen,4
nuevo,4
misma,4
trata,4
adelante,4
ayudarlo,4
filmus,3
invitó,3
gane,3
dando,3
ja,3
ejemplo,3
consignas,3
venga,3
difícil,3
cambiar,3
pública,3
principales,3
pregunta,3
sino,3
aportó,3
hablan,3
cien,3
llegó,3
club,3
joaquín,3
esperanza,3
libertad,3
cierra,3
acompañarlo,3
sociedad,3
lejos,3
ganamos,3
padre,3
romper,3
presidentes,3
crecer,3
miedo,3
muchas,3
nombres,3
oportunista,3
claros,3
votos,3
increíble,3
políticos,3
sistema,3
digo,3
12,3
silla,3
viviendo,3
maría,3
elecciones,3
ventaja,3
lugar,3
aires,3
dijo,3
función,3
kirchneristas,3
decimos,3
votantes,3
suicidándose,3
jugar,3
representa,3
