Rank	DBMS	DB model	book	Score
1	Oracle	Relational DBMS		1319.27
2	MySQL	Relational DBMS		1178.12
3	Microsoft SQL Server	Relational DBMS		1058.33
4	PostgreSQL	Relational DBMS	7 dbs in 7 weeks (2nd edition)	419.39
5	MongoDB	Document store	7 dbs in 7 weeks (2nd edition)	363.19
6	DB2	Relational DBMS		179.69
7	Redis	Key-value store	7 dbs in 7 weeks (2nd edition)	145.29
8	Elasticsearch	Search engine		142.33
9	Microsoft Access	Relational DBMS		136.8
10	Cassandra	Wide column store		123.39
11	SQLite	Relational DBMS		116.74
12	Teradata	Relational DBMS		78.63
13	Splunk	Search engine		76.9
14	MariaDB	Relational DBMS		73.13
15	Solr	Search engine		61.31
16	Hive	Relational DBMS		61.1
17	HBase	Wide column store	7 dbs in 7 weeks (2nd edition)	60.67
18	SAP Adaptive Server	Relational DBMS		58.57
19	FileMaker	Relational DBMS		56.04
20	Amazon DynamoDB	Multi-model Document store,Key-value store	7 dbs in 7 weeks (2nd edition)	54.47
21	SAP HANA	Relational DBMS		54.37
22	Neo4j	Graph DBMS	7 dbs in 7 weeks (2nd edition)	42.65
23	Couchbase	Document store		35.92
24	Memcached	Key-value store		30.56
25	Microsoft Azure SQL Database	Relational DBMS		26.27
26	Informix	Relational DBMS		26.24
27	Vertica	Relational DBMS		21.37
28	Microsoft Azure Cosmos DB	Multi-model Document store,Graph DBMS,Key-value store,Wide column store		20.26
29	Firebird	Relational DBMS		19.98
30	CouchDB	Document store	7 dbs in 7 weeks (2nd edition)	19.38
31	Netezza	Relational DBMS		17.86
32	Amazon Redshift	Relational DBMS		17.41
33	Google BigQuery	Relational DBMS		16.67
34	Spark SQL	Relational DBMS		14.67
35	Impala	Relational DBMS		14.64
36	InfluxDB	Time Series DBMS		12.98
37	MarkLogic	Multi-model Document store,Native XML DBMS,RDF store,Search engine		12.63
38	Greenplum	Relational DBMS		11.54
39	dBASE	Relational DBMS		10.67
40	Oracle Essbase	Relational DBMS		10.5
41	Hazelcast	Key-value store		9.24
42	Firebase Realtime Database	Document store		8.72
43	Datastax Enterprise	Multi-model Graph DBMS,Wide column store		8.16
44	Microsoft Azure SQL Data Warehouse	Relational DBMS		8.1
45	Sphinx	Search engine		7.55
46	Ehcache	Key-value store		6.79
47	Riak KV	Key-value store		6.7
48	Interbase	Relational DBMS		6.43
49	Realm	Relational DBMS		5.99
50	Amazon Aurora	Relational DBMS		5.91
51	OrientDB	Multi-model Document store,Graph DBMS,Key-value store		5.68
52	Ingres	Relational DBMS		5.68
53	H2	Relational DBMS		5.54
54	Aerospike	Key-value store		5.35
55	Microsoft Azure Search	Search engine		5
56	HyperSQL	Relational DBMS		4.9
57	Derby	Relational DBMS		4.89
58	SAP SQL Anywhere	Relational DBMS		4.73
59	RethinkDB	Document store		4.49
60	Kdb+	Multi-model Relational DBMS,Time Series DBMS		4.37
61	ArangoDB	Multi-model Document store,Graph DBMS,Key-value store		4.25
62	Jackrabbit	Content store		4.09
63	Google Cloud Datastore	Document store		4.05
64	Ignite	Multi-model Key-value store,Relational DBMS		4.01
65	SAP IQ	Relational DBMS		3.94
66	Microsoft Azure Table Storage	Wide column store		3.89
67	Accumulo	Wide column store		3.8
68	Cloudant	Document store		3.72
69	Algolia	Search engine		3.69
70	RavenDB	Document store		3.56
71	OpenEdge	Relational DBMS		3.53
72	Adabas	Multivalue DBMS		3.38
73	MemSQL	Relational DBMS		3.22
74	Amazon CloudSearch	Search engine		3.08
75	UniData,UniVerse	Multivalue DBMS		3.05
76	Google Cloud Firestore	Document store		2.97
77	MaxDB	Relational DBMS		2.94
78	Oracle NoSQL	Key-value store		2.92
79	Apache Drill	Multi-model Document store,Relational DBMS		2.92
80	InterSystems Caché	Multi-model Key-value store,Object oriented DBMS,Relational DBMS		2.85
