rank	dbms	database model	score
1	Oracle	Relational, Multi-model Relational DBMS,Document store,Graph DBMS,RDF store	1279.14
2	MySQL	Relational, Multi-model Relational DBMS,Document store	1198.25
3	Microsoft SQL Server	Relational, Multi-model Relational DBMS,Document store,Graph DBMS	1047.85
4	PostgreSQL	Relational, Multi-model Relational DBMS,Document store	469.81
5	MongoDB	Document	401.34
6	IBM Db2	Relational, Multi-model Relational DBMS,Document store,RDF store	177.2
7	Microsoft Access	Relational	146.2
8	Redis	Key-value, Multi-model Key-value store,Document store,Graph DBMS,Search engine,Time Series DBMS	146.12
9	Elasticsearch	Search engine, Multi-model Search engine,Document store	142.79
10	SQLite	Relational	124.87
11	Cassandra	Wide column	122.8
12	MariaDB	Relational, Multi-model Relational DBMS,Document store,Graph DBMS	84.31
13	Splunk	Search engine	83.1
14	Teradata	Relational	75.22
15	Hive	Relational	73
16	Solr	Search engine	60.01
17	HBase	Wide column	58.8
18	FileMaker	Relational	58.13
19	SAP Adaptive Server	Relational	56.03
20	SAP HANA	Relational, Multi-model Relational DBMS,Document store,Graph DBMS	55.51
21	Amazon DynamoDB	Multi-model Document store,Key-value store	54.49
22	Neo4j	Graph	48.58
23	Couchbase	Document	33.8
24	Memcached	Key-value	28.73
25	Microsoft Azure SQL Database	Relational, Multi-model Relational DBMS,Document store,Graph DBMS	27.93
26	Informix	Relational, Multi-model Relational DBMS,Document store	26.9
27	Microsoft Azure Cosmos DB	Multi-model Document store,Graph DBMS,Key-value store,Wide column store	24.83
28	Vertica	Relational, Multi-model Relational DBMS,Document store	22.07
29	Amazon Redshift	Relational	20.89
30	Firebird	Relational	20.17
31	Netezza	Relational	19.63
32	Google BigQuery	Relational	19.57
33	CouchDB	Document	18.63
34	Spark SQL	Relational	16.31
35	InfluxDB	Time Series	16.17
36	Impala	Relational, Multi-model Relational DBMS,Document store	14.82
37	MarkLogic	Multi-model Document store,Native XML DBMS,RDF store,Search engine	13.74
38	Greenplum	Relational, Multi-model Relational DBMS,Document store	12.35
39	dBASE	Relational	11.5
40	Oracle Essbase	Relational	10.8
41	Firebase Realtime Database	Document	10.3
42	Datastax Enterprise	Wide column, Multi-model Wide column store,Document store,Graph DBMS	9.33
43	Microsoft Azure SQL Data Warehouse	Relational	8.47
44	Hazelcast	Key-value	8.02
45	Sphinx	Search engine	7.23
46	Realm	Relational	6.97
47	Aerospike	Key-value	6.73
48	H2	Relational	6.56
49	Ehcache	Key-value	6.46
50	Interbase	Relational	6.45
51	OrientDB	Multi-model Document store,Graph DBMS,Key-value store	6.13
52	Riak KV	Key-value	5.81
53	Amazon Aurora	Relational, Multi-model Relational DBMS,Document store	5.81
54	Kdb+	Time Series, Multi-model Time Series DBMS,Relational DBMS	5.6
55	Microsoft Azure Search	Search engine	5.54
56	Ingres	Relational	5.38
57	Ignite	Multi-model Key-value store,Relational DBMS	5.18
58	Derby	Relational	5.14
59	HyperSQL	Relational	4.96
60	SAP SQL Anywhere	Relational	4.84
61	SAP IQ	Relational	4.62
62	Microsoft Azure Table Storage	Wide column	4.52
63	Google Cloud Datastore	Document	4.32
64	ArangoDB	Multi-model Document store,Graph DBMS,Key-value store	4.26
65	RethinkDB	Document	4.18
66	Google Cloud Firestore	Document	4.17
67	Accumulo	Wide column	4.13
68	Jackrabbit	Content	3.97
69	MaxDB	Relational	3.96
70	Algolia	Search engine	3.82
71	Presto	Relational	3.78
72	Adabas	Multivalue	3.78
