employee_id,department,salary,new_hire,job_level
1,Sales,103263.6355,No,Salaried
2,Engineering,80708.64104,No,Hourly
4,Engineering,60737.04786,Yes,Hourly
5,Engineering,99116.32328,Yes,Salaried
7,Engineering,51021.64386,No,Hourly
8,Engineering,98399.87194,No,Salaried
10,Engineering,57106.19622,Yes,Hourly
11,Engineering,55065.02797,No,Hourly
12,Engineering,77158.03415,No,Hourly
13,Engineering,48364.61591,No,Hourly
14,Engineering,60944.84791,Yes,Hourly
15,Engineering,59161.46819,No,Hourly
16,Engineering,79324.22957,Yes,Hourly
18,Engineering,77148.76442,No,Hourly
19,Engineering,90410.6727,No,Salaried
20,Engineering,70755.81595,No,Hourly
21,Engineering,49553.539,No,Hourly
22,Engineering,50266.19855,No,Hourly
23,Sales,69598.26208,No,Hourly
24,Engineering,68483.49055,No,Hourly
26,Engineering,72281.0312,No,Hourly
27,Sales,67126.68175,No,Hourly
28,Engineering,78843.21045,No,Hourly
30,Engineering,104444.0974,No,Salaried
31,Engineering,49481.70642,No,Hourly
32,Engineering,94147.28329,No,Salaried
33,Engineering,64901.39323,No,Hourly
35,Sales,71113.65688,Yes,Hourly
36,Engineering,56000.87776,Yes,Hourly
38,Sales,67304.80595,No,Hourly
39,Engineering,53240.6044,No,Hourly
40,Engineering,59104.5609,Yes,Hourly
41,Engineering,74578.68224,No,Hourly
42,Sales,82124.85599,No,Salaried
45,Engineering,98787.23581,No,Salaried
46,Engineering,47445.70409,No,Hourly
47,Sales,58583.13062,No,Hourly
49,Sales,69286.62958,No,Hourly
51,Engineering,64277.94343,No,Hourly
52,Sales,68734.0118,Yes,Hourly
53,Engineering,73416.88275,No,Hourly
54,Engineering,55818.90933,Yes,Hourly
55,Engineering,54506.23049,Yes,Hourly
56,Sales,131067.5929,No,Manager
57,Engineering,58822.03841,No,Hourly
58,Engineering,75409.8366,No,Hourly
60,Sales,50763.08733,No,Hourly
61,Engineering,57299.30235,Yes,Hourly
62,Sales,82881.87396,No,Salaried
63,Engineering,121240.6923,No,Manager
64,Engineering,78375.83878,No,Hourly
65,Engineering,69745.67878,No,Hourly
68,Sales,56939.63704,No,Hourly
70,Engineering,77168.16201,No,Hourly
72,Sales,83765.31995,No,Salaried
73,Engineering,82919.55914,No,Salaried
74,Sales,107643.619,No,Manager
75,Engineering,58219.71594,No,Hourly
76,Engineering,86872.23522,No,Salaried
77,Engineering,92539.25399,Yes,Salaried
78,Engineering,74719.10675,Yes,Hourly
79,Engineering,52725.34443,No,Hourly
80,Engineering,73525.27375,No,Hourly
81,Sales,82283.84572,Yes,Salaried
83,Engineering,85396.65335,No,Salaried
84,Engineering,71739.17991,Yes,Hourly
85,Engineering,76400.94401,No,Hourly
86,Engineering,50973.26937,No,Hourly
88,Engineering,72473.04715,No,Hourly
90,Engineering,78323.22419,Yes,Hourly
91,Sales,72079.66615,No,Hourly
94,Engineering,133493.9205,No,Manager
95,Engineering,60609.478,No,Hourly
96,Engineering,48373.89991,No,Hourly
97,Engineering,63647.61495,Yes,Hourly
98,Engineering,59560.49338,No,Hourly
100,Sales,52709.58743,No,Hourly
101,Engineering,79542.92109,No,Hourly
102,Engineering,67832.66866,No,Hourly
103,Finance,99313.0163,No,Salaried
104,Engineering,130559.4155,No,Manager
105,Engineering,54881.20647,No,Hourly
