titulo	nombre	reparticion	sigla	sexo
Sr	Andres Gustavo Ballotta	Administración Gubernamental de Ingresos Públicos Ley Nº 2603	AGIP	M
Sra	Lorena Flores	Administrativa y Legal Dirección General Técnica	DGTALMDHYHGC	F
Sr	Renzo Morosi	Agencia de Protección Ambiental Ley Nº 2.628	APRA	M
Sr	Diego Carlos Calegari	Agencia de Sistemas de Información (ASI) Ley Nº 2.689	ASINF	M
Sr	Matias Lanusse	Agencia Gubernamental de Control Ley Nº 2624	AGC	M
Dr	Gabriel Armando Battistella	Ambulatoria y Comunitaria Subsecretaría Atención Primaria	SSAPAC	M
Sr	Leonardo Gabriel Ruiz	Comisión para la Plena Participación e Inclusión de las Personas con Discapacidad COPIDIS Ley N° 447	COPIDIS	M
Sr	Guillermo Patricio Madero	Comité de Seguridad en el Fútbol de la CABA Ley Nº 5.847	CPYSED	M
Sra	Florencia Battiti	Cons. Gest. Pque. de la Mem.y del Momun. Víc del Terr. Estado	CGPMMVTE	F
Sra	Victoria Kaufman	Consejo Asesor del Plan Urbano Ambiental	CAPUAM	F
Sra	Isabella Karina Leguizamon	Consejo de los Derechos de Niñas Niños y Adolescentes	CDNNYA	F
Sr	Claudio Damian Presman	Consejo Económico y Social de la Ciudad de Buenos Aires	CEYSCABA	M
Sra	Julieta Miragaya	Coordinación de Enlace Electoral	CEE	F
Sr	Claudio Fabian Tapia	Coordinación Ecológica Área Metropolitana Sociedad del Estado	CEAMSE	M
Sr	Maximiliano COSTANTINIS	Coordinación General Servicios	CGSERV	M
Sr	Santiago Lopez Medrano	Corporación Buenos Aires Sur S.E. Ley N°470	CBAS	M
Sr	Ezequiel Capelli	Corporación Mercado Central de Buenos Aires	MC	M
Sra	Silvia Nelida Viola	Creatividad y Producción Dirección General Arte	DGACP	F
Sr	Félix Gabriel Calviño	DIR Adjunta de Gestión Administrativa  HGACA	DGAHGACA	M
Sr	Pablo Nicolas Buero	DIR Adjunta de Gestión Administrativa  HGACD	DGAHGACD	M
Cdor	Fernando Pablo Mazza	DIR Adjunta de Gestión Administrativa  HGADS	DGAHGADS	M
Sr	Marcelo Fakih	DIR Adjunta de Gestión Administrativa  HGAIP	DGAHGAIP	M
Sr	FEDERICO LUIS AZPIRI	DIR Adjunta de Gestión Administrativa  HGAJAF	DGAHGAJAF	M
Sr	Gonzalo Daniel Ponce	DIR Adjunta de Gestión Administrativa  HGAP	DGAHGAP	M
Sr	SANTIAGO MARIA GARCIA QUIROGA	DIR Adjunta de Gestión Administrativa  HGARM	DGAHGARM	M
Cdor	Jose Combale	DIR Adjunta de Gestión Administrativa  HGAT	DGAHGAT	M
Lic	Daniel Vivona	DIR Adjunta de Gestión Administrativa  HGAVS	DGAHGAVS	M
Lic	Ariel Mario Goldman	DIR Adjunta de Gestión Administrativa HGAZ	DGAHGAZ	M
Sr	Braian Cunningham	Dirección General  Centro Cultural Recoleta	CCR	M
Sra	Gabriela Ricardes	Dirección General  Complejo Teatral Ciudad de Buenos Aires	CTBA	F
Sra	Virginia Fredes	Dirección General  Programas de Cooperación Federal	DGPCF	F
Lic	Maria Belen Carjuzaa	Dirección General Abastecimiento de Salud	DGABS	F
Sra	Maria Belen Blasco	Dirección General Abordaje Comunitario	DGABCO	F
Sra	Veronica Traverso	Dirección General Actos y Agenda de Gobierno	DGAAG	F
Sr	MatÃ­as Vitale	Dirección General Administración de Bienes	DGADB	M
Sra	Barbara Moramarco Terrarossa	Dirección General Administración de Infracciones	DGAI	F
Sr	Demian Flavio Goldstein	Dirección General Administración de Medicina del Trabajo	DGAMT	M
Sr	Joaquin Peire	Dirección General Administración de Recursos	DGAR	M
Sra	Maria Agustina Tufino	Dirección General Administración de Recursos Humanos	DGARHS	F
Lic	CECILIA MARIA KLAPPENBACH	Dirección General Administración y Desarrollo de Recursos Humanos	DGAYDRH	F
Cdor	Barbara Ramirez Navarro	Dirección General Administración y Liquidación de Haberes	DGALH	F
Sra	Emilse Carmen Filippo	Dirección General Administrativa Contable y Presupuesto	DGADCYP	F
Sr	Alejandro Daniel Puglia	Dirección General Adquisiciones y Contrataciones	DGAYCON	M
Sr	Remo Francisco Jose Lanzoni	Dirección General Alto Rendimiento y Legado	DGARL	M
Ing	Magdalena Aybar	Dirección General Alumbrado	DGALUM	F
Dr	Manuel Esteban Balestretti	Dirección General Análisis Fiscal	DGANFA	M
Sr	Maximiliano Scocozza	Dirección General Analisis y Desarrollo	DGAND	M
Sra	Delia Teresa Viviana Sisro	Dirección General Análisis y Relevamiento de Información	DGARIN	F
Sr	Anibal Del Olmo	Dirección General Antropología Urbana	DGAUR	M
