Title	Source	Date	Category	Group
Los incendios en Córdoba siguen sin control y las lluvias recién traerían alivio el viernes por la noche	Clarín	Thu, 24 Sep 2020 11:41:50 GMT	Noticias destacadas	1
Bomberos siguen combatiendo distintos focos en las sierras	Cadena 3	Thu, 24 Sep 2020 11:41:50 GMT	Noticias destacadas	1
Lucha sin tregua: continúan los incendios en las Sierras	Cadena 3	Thu, 24 Sep 2020 11:41:50 GMT	Noticias destacadas	1
En llamas: dos enormes incendios serranos siguen activos	La Voz del Interior	Thu, 24 Sep 2020 11:41:50 GMT	Noticias destacadas	1
Incendios en Córdoba: uno por uno, qué focos permanecen activos y cuáles controlados	La Voz del Interior	Thu, 24 Sep 2020 11:41:50 GMT	Noticias destacadas	1
La Corte Suprema confirmó las condenas por la Tragedia de Once	infobae	Thu, 24 Sep 2020 19:11:21 GMT	Noticias destacadas	2
Miguel Pesce quedó en el centro de las críticas del Frente de Todos por los problemas con la venta de dólares	Clarín	Thu, 24 Sep 2020 20:48:45 GMT	Noticias destacadas	3
El dólar libre alcanzó un nuevo récord de cotización y baja el contado con liqui	infobae	Thu, 24 Sep 2020 20:48:45 GMT	Noticias destacadas	3
Dólar hoy: a cuánto cerró este jueves 24 de septiembre	ámbito.com	Thu, 24 Sep 2020 20:48:45 GMT	Noticias destacadas	3
No existe la posibilidad de un corralito o corralón	ámbito.com	Thu, 24 Sep 2020 20:48:45 GMT	Noticias destacadas	3
El dólar blue ganó $ 2 mientras el contado con liqui se desplomó más de 5%	El Cronista Comercial	Thu, 24 Sep 2020 20:48:45 GMT	Noticias destacadas	3
El Ministerio de Salud dijo que hay una “federalización de la pandemia” de coronavirus en Argentina	Télam	Wed, 23 Sep 2020 23:53:05 GMT	Noticias destacadas	4
El Gobierno informó 424 nuevas muertes por coronavirus, pero sólo 42 se produjeron ayer	infobae	Wed, 23 Sep 2020 23:53:05 GMT	Noticias destacadas	4
Coronavirus en Argentina: se registraron 424 muertos y 12.625 casos en las últimas 24 horas | El reporte...	Página 12	Wed, 23 Sep 2020 23:53:05 GMT	Noticias destacadas	4
Coronavirus en Argentina: 424 nuevas muertes y récord de contagios en 24 horas, 12.625	MDZ Online	Wed, 23 Sep 2020 23:53:05 GMT	Noticias destacadas	4
Tercer día seguido con más de 400 muertes	El Patagónico	Wed, 23 Sep 2020 23:53:05 GMT	Noticias destacadas	4
IFE 4: quiénes no cobrarían el beneficio en octubre	FILO	Thu, 24 Sep 2020 01:10:37 GMT	Noticias destacadas	5
El IFE de octubre tendrá más limitaciones que las entregas anteriores	La 100	Thu, 24 Sep 2020 01:10:37 GMT	Noticias destacadas	5
