date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Fri Jun 02 13:18:53 +0000 2023	hronecloud	"Revolutionize your HR game with the power of big data! In this must-read article for HR professionals, Karan Jain explores how people analytics is changing the game to boost performance and engagement.

Don't miss out, Read here: https://t.co/Zx0pSD7WVU 

#HROne #PeopleAnalytics"	0	0	https://twitter.com/hronecloud/status/1664622614831304704	False	1655	793
Fri Jun 02 13:08:01 +0000 2023	ChrisHLACE	Bit of a shout out for the great People and Workforce Analytics whitepaper we released at the beginning of March. It's got some great insight on common challenges faced by people analytics experts - https://t.co/FT6AtLxk95 https://t.co/wFRnoGI7ws	0	0	https://twitter.com/ChrisHLACE/status/1664619882527301635	False	2877	1404
Fri Jun 02 12:50:54 +0000 2023	superweirdpm	"@DavidAbu_ Tbh the quotes and comments dey muzz me.
Some of you claim to ""work with data"" and don't know the power of data??? Lmaoo make I no talk.

If you know what people analytics means, you people will immediately after with this tweet. I think there's a need for us to start putting ..."	0	0	https://twitter.com/superweirdpm/status/1664615574402473986	False	463	281
Fri Jun 02 12:03:01 +0000 2023	InfoNestBlog	"Unlock the power of data analysis! Learn how Google uses people analytics to optimize talent management and retain top performers. #PeopleAnalytics #TalentManagement #RetentionStrategies 

https://t.co/nVYgdjbIQb https://t.co/KAPXdArZ2G"	0	0	https://twitter.com/InfoNestBlog/status/1664603522245992448	False	20	168
Fri Jun 02 11:44:14 +0000 2023	traciespon	RT @MKY1979: Hi all! I’m not ready to be loud about this on LinkedIn, but I’m looking for my next career move and would love any support/co…	0	3	https://twitter.com/traciespon/status/1664598798184726529	False	2809	1201
Fri Jun 02 11:30:00 +0000 2023	AppliediT_es	"Do you know the 5 benefits generated by the combination of Human Resources 👷‍♀️👷‍♂️ and Digitization 💻 in Industry 4.0? 

Today on the AppliedIT blog, Patrick Svensson, HR &amp; People Analytics, shares an article highlighting the benefits of this combination.

https://t.co/jcxuk1anT0"	0	0	https://twitter.com/AppliediT_es/status/1664595213413744642	False	6	1
Fri Jun 02 11:11:55 +0000 2023	igmenezes	RT @DutchHRMNetwork: The Hull University Business School is seeking candidates with experience in teaching and research in People Analytics…	0	1	https://twitter.com/igmenezes/status/1664590662203834369	False	70	957
Fri Jun 02 11:11:35 +0000 2023	LyfestyleRyze	"HR Analytics Is Broken—Here’s How To Fix It: Ryan Wong is an engineer-turned-CEO of Visier, a people analytics company. You might think as the head of a workforce analytics company, I’d be excited to learn that ""Human Resources Analytics Manager"" is near… https://t.co/IqheygMykj"	0	0	https://twitter.com/LyfestyleRyze/status/1664590581899870209	False	634	449
Fri Jun 02 10:21:34 +0000 2023	DutchHRMNetwork	"The Hull University Business School is seeking candidates with experience in teaching and research in People Analytics and OB/HRM for the position of Senior Lecturer (Associate Professor). Application deadline: 6th June 2023.
https://t.co/CyXCXPbFS7"	1	1	https://twitter.com/DutchHRMNetwork/status/1664577992327147520	False	432	161
Fri Jun 02 05:37:14 +0000 2023	SassouAkollor	I just completed People analytics and reporting with @edXOnline! https://t.co/iUTgdSas2z	1	0	https://twitter.com/SassouAkollor/status/1664506438993969152	False	12	88
Fri Jun 02 04:39:10 +0000 2023	mojitozz	"RT @HRCurator: RT @Phil_Mafunga @eakboston Thx4RT fr @HRCurator 
Why the #FutureofHR is Rooted in Skills and #PeopleAnalytics https://t.co/…"	0	1	https://twitter.com/mojitozz/status/1664491823417417728	False	1312	2185
Fri Jun 02 03:03:29 +0000 2023	_strclaire	RT @MKY1979: Hi all! I’m not ready to be loud about this on LinkedIn, but I’m looking for my next career move and would love any support/co…	0	3	https://twitter.com/_strclaire/status/1664467745394552832	False	9284	3423
Fri Jun 02 00:14:34 +0000 2023	hrtechwizard	"2. People Analytics

People analytics competencies are non-negotiable and we can use the insights from this data to:

-Improve the employee experience
-Attract and keep the best employees
-Promote the value of HR in our organizations"	0	0	https://twitter.com/hrtechwizard/status/1664425235788206081	False	310	472
Thu Jun 01 23:30:00 +0000 2023	HRCurator	"RT @Phil_Mafunga @eakboston Thx4RT fr @HRCurator 
Why the #FutureofHR is Rooted in Skills and #PeopleAnalytics https://t.co/IbjYwHAfd5… @Gloat_com @david_green_uk #HR #HCM #HRM #HumanResources #HRAnalytics #OrgDev"	2	1	https://twitter.com/HRCurator/status/1664414020084932609	False	33348	112
Thu Jun 01 23:10:31 +0000 2023	VacanciesinUkr1	"People Analytics Data Governance and Stewardship Leader in
 
 Budapest,

 Hungary
https://t.co/roSIow7Biv"	0	0	https://twitter.com/VacanciesinUkr1/status/1664409116524027906	False	7231	6389
Thu Jun 01 20:29:23 +0000 2023	leopoldk	RT @payanalytics: #PeopleAnalytics tools have revolutionized the world of #HR. But how do we make sure we're keeping bias out of these tool…	0	1	https://twitter.com/leopoldk/status/1664368566294966274	False	387	2127
Thu Jun 01 19:43:20 +0000 2023	shalugangwar3	"Data fuel insights for employee success.

Our People Analytics principal shares how Salesforce uses @Tableau to visualize key metrics.

Take a peek at the dashboard on the latest #SFonSF. https://t.co/olWmymDA6l https://t.co/WbRI0Lo7O2"	0	0	https://twitter.com/shalugangwar3/status/1664356976766210048	False	6	18
