Marca temporal	Identidad de Género	Edad	Máximo nivel de formación	¿Qué carrera de grado estudiaste?	¿En qué tipo de universidad estudiaste tu carrera de grado?	País en el que trabajas	Provincia donde trabajas	Trabajo	Rubro de la empresa	¿Cuántos empleados tiene la empresa?	Origen del capital	¿Cuántas personas integran el área de RRHH?	¿En qué puesto trabajás?	Tipo de contratación	¿Cómo es tu jornada laboral?	¿Cuál es tu función principal en RRHH?	¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?)	¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año)	¿Hace cuántos años estás en tu puesto actual? (0 para menos de un año)	¿Cuántos años de experiencia tenés en RRHH?	¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones)	¿Qué beneficios tenés?	¿Recibís bonos?	¿Tuviste ajustes por inflación en 2021?	¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2021?	Mes del último ajuste	¿Trabajás en proyectos independientes además de tu empleo?	¿Qué sistema de gestión de RRHH usan en tu empresa?	¿Cómo se llama el área en tu empresa?	¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?	¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?	¿Qué tan satisfecho estás con tu empresa?	¿Estás buscando trabajo?	¿Qué beneficios te gustaría tener?	¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?	Definí a RRHH con una sola palabra	¿Te identificás como LGBTIQ+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?	En tu empresa puedes ser como realmente eres (por ej.: expresar abiertamente tu personalidad, tu identidad de género, orientación sexual, etc.).	¿Qué porcentaje aproximado del management de tu empresa son mujeres? (Entiéndase posiciones de Jefatura, de Gerencia, o de Dirección)	Es importante incorporar el lenguaje inclusivo en la organización.	¿Tenés alguna discapacidad?	¿En tu organización existe una línea segura o políticas definidas para actuar frente a situaciones de acoso o discriminación?	¿Sufriste alguna situación de acoso, abuso o de discriminación en algún trabajo?	¿Estás trabajando desde tu casa?	¿Cómo están planeando el regreso a las oficinas?	¿En qué mes está planificado el retorno de la mayoría de los empleados?	¿Cómo fue la decisión del esquema de teletrabajo a realizar?	Cantidad de días que se aplicará teletrabajo	Las nuevas contrataciones, ¿bajo qué modalidad ingresaron?	¿Qué tan satisfecho estás con la decisión de retornar a la oficina?	¿Cómo valorarías la gestión de tu empresa durante la pandemia del COVID?	¿Cómo estás registrado/a fiscalmente?	¿Hace cuántos años trabajás como freelance?	¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19)	¿Exportás tus servicios?	Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?	¿Aceptás pagos en cuotas?	¿Trabajás con otros freelancers de tu mismo rubro?	¿Tu servicio principal está relacionado con búsqueda y selección?	¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?	¿Trabajás a riesgo?	¿Cuál es el coeficiente que cobrás por tus servicios?	El coeficiente lo calculás sobre:	¿Ofrecés garantía?	¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere)	¿Cuál es el valor hora promedio que ofrecés? (moneda local)
22/10/2021 10:45:51	Mujer cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	101 - 250	Nacional	7	Analista	Indeterminado	Full time	Reclutamiento y selección	0	0	0	0	67000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Abono de internet, Home office, Idiomas, Préstamos	Menos de un sueldo	No tuve ajustes	0		No	No tenemos sistema de gestión	Recursos Humanos	No	0%	5	No estoy buscando cambiar	1 semana más de vacaciones.	Si pensaba tener hijos en algún futuro. 	Acompañamiento. 	Si	Totalmente de acuerdo	30%	Totalmente en desacuerdo	No tengo ninguna discapacidad	No se	Si	Si	En evaluación	No esta definido	De la empresa	A elección de cada empleado	Teletrabajo	Algo insatisfecho	5															
22/10/2021 10:49:45	Mujer cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Agricultura, plantaciones, otros sectores rurales	101 - 250	Nacional	3	Analista	Indeterminado	Full time	Administración personal, liquidación de sueldos	0	0	0	7	135000	Medicina prepaga / Plan de salud, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office	No recibo bono	No tuve ajustes	0	Julio	Si, en emprendimiento relacionado con RRHH	Bejerman	Recursos Humanos	No	0%	3	No,  pero escucho ofertas	Descuentos convenios empresas, bonos por objetivos		Acompañamiento																														
22/10/2021 10:51:25	Mujer cis	46 - 50	Universitario completo	Administración de Empresas	Universidad Pública	Argentina	Córdoba	Relación de Dependencia	Educación	51 - 100	Nacional	1	Responsable	Indeterminado	Full time	Relaciones laborales	2	7	3	1	90000	Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo	No recibo bono	1 solo	20	Septiembre	Si, en emprendimiento no relacionado con RRHH	Enlatado propio																																						
22/10/2021 10:51:40	Mujer cis	31 - 35	Terciario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	101 - 250	Nacional	7	Talent Acquisition	Por tiempo indefinido	Full time	Reclutamiento y selección	0	2	2	8	70000	Medicina prepaga / Plan de salud, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Préstamos	Menos de un sueldo	2 ajustes	40	Octubre	No	No tenemos sistema de gestión	Recursos Humanos	No	10%	4	No,  pero escucho ofertas	Remoto, capacitaciones	No recuerdo 	Soporte	No	De acuerdo	20%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	No	Si	En evaluación	No esta definido	De la empresa	No aplica	Teletrabajo	No aplica / Prefiero no responder	3															
22/10/2021 10:58:22	Hombre cis	25 - 30	Universitario en curso	Administración de Empresas	Universidad Pública	Argentina	Córdoba	Relación de Dependencia	Otros	1 - 50	Nacional	2	Administrativo	Indeterminado	Full time	Administración de personal	0	1	1	4	60000	No tengo beneficios adicionales	No recibo bono	3 o más ajustes	27	Septiembre	No	Browix	Administración	No	0%	4	No,  pero escucho ofertas	Prepaga incluida	Con qué personaje de ficción te identificas	Necesario	No	Totalmente de acuerdo	0%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	Si	No	Presencial 100%	No aplica	No aplica	No aplica	Presencial	No aplica / Prefiero no responder																
28/10/2021 5:08:53	Hombre cis	25 - 30	Universitario completo	Ingeniería Industrial	Universidad Privada	Chile		Relación de Dependencia	Otros	10.001 o más	Multinacional	4000	Analista	Indeterminado	Full time	People analytics	0	0	0	0	1700000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Home office	Un sueldo	1 solo	3	Octubre	No	No tenemos sistema de gestión																																						
22/10/2021 11:05:59	Mujer cis	18 - 25	Universitario en curso	Administración de Empresas	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Servicios de consultoría	101 - 250	Nacional	7	Analista	Indeterminado	Full time	Reclutamiento y selección	0	1	1	2	72000	Medicina prepaga / Plan de salud, Licencias extendidas, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Reintegros en capacitación, Aplicación de descuentos	Menos de un sueldo	1 solo	30	Abril	No	No tenemos sistema de gestión	Recursos Humanos	No	0%	4	No estoy buscando cambiar	Dia de cumpleaños y semana libre de fiestas.		EMPATIA	No	De acuerdo	30%	De acuerdo	No tengo ninguna discapacidad	No	No	Si	Mixto	No esta definido	No aplica	A elección de cada empleado	Teletrabajo	Muy instatisfecho	5															
22/10/2021 11:10:49	Mujer cis	31 - 35	Universitario completo	Psicología	Universidad Pública	Argentina	Córdoba	Freelance																																												tengo un contrato mixto rel dependencia y  freelance	2	Casa	Si	Payoneer	No	Si	Si	Si	No	1900	Remuneración mensual del ingresante	No ofrezco garantía		
22/10/2021 11:13:47	Mujer cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Servicios profesionales	2.501 - 5.000	Multinacional	100	Analista	Indeterminado	Full time	Administración de personal	0	6	3	9	130000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley)	No recibo bono	2 ajustes	30	Julio	Si, en proyectos ad honorem	Workday	Recursos Humanos	Si	40%	4	No,  pero escucho ofertas	Más vacaciones		innovación	No	Totalmente de acuerdo	70%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	Si	En evaluación	No esta definido	De la empresa	3 días	Teletrabajo	Algo satisfecho	4															
22/10/2021 11:15:55	Mujer cis	36 - 40	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Relación de Dependencia	Alimentación, bebidas	1.001 - 2.500	Multinacional	20	Jefe	Indeterminado	Full time	Generalista	3	13	6	17	170000	Medicina prepaga / Plan de salud, Comedor / Almuerzos	Un sueldo	2 ajustes	25	Agosto	No	RH Pro	Recursos Humanos	No	0%	3	Sí, activamente	dias libres	tu top five de series	servicio	No	Ni de acuerdo ni en desacuerdo	10%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	Voy rotando entre la oficina y el teletrabajo	En evaluación	No esta definido	De la empresa	No aplica	Mixta	Algo satisfecho	3															
22/10/2021 11:16:09	Mujer cis	36 - 40	Diplomado de posgrado completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Freelance																																												Monotributista	1	Oficina del cliente 	No	No exporto servicios 	No	No	No						HR Generalista 	1800
29/10/2021 20:03:21	Hombre cis	25 - 30	Universitario completo	Ingeniería Industrial	Universidad Privada	Perú		Relación de Dependencia	Alimentación, bebidas	5.001 - 10.000	Nacional	150	Supervisor	Indeterminado	Full time	People analytics	0	1	0	1	7500	Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Seguro de vida (adicionales a los de ley)	Tres sueldos o más	No tuve ajustes	18	Junio	No	SAP / SuccessFactors	Recursos Humanos	Si	10%	5	No,  pero escucho ofertas	Más salario	Tienes novia ? 		No	Totalmente de acuerdo	50%	Totalmente de acuerdo	No tengo ninguna discapacidad	Si	Si	Si	Mixto	Enero 2022	De la empresa	4 días	Teletrabajo	Algo satisfecho	5															
22/10/2021 11:17:50	Hombre cis	31 - 35	Universitario completo	Administración de Empresas	Universidad Pública	Argentina	Santa Fe	Relación de Dependencia	Servicios de consultoría	501 - 1.000	Multinacional	9	Gerente	Indeterminado	Full time	Compensaciones y beneficios	3	9	5	9	280000	Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Abono de celular, Charter / Servicio de transporte, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas	Un sueldo	3 o más ajustes	51	Octubre	No	Enlatado propio	Capital Humano	No	10%	4	No,  pero escucho ofertas	Gift de supermercado, Gimnacio		Automotivación	No	Ni de acuerdo ni en desacuerdo	40%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Mixto	Ya volvimos 100%	De la empresa	2 días	Mixta	Muy satisfecho	5															
