id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
754575236856053576,Piso en el corazón de Palermo,32969364,Florencia,,Palermo,-34.5889447,-58.4116842,Entire home/apt,21635,7,2,2023-03-08,0.81,1,93,2,
52511,San Telmo Apartment (Buenos Aires),242939,Gri,,San Nicolas,-34.60767,-58.37257,Entire home/apt,14495,4,0,,,1,365,0,
10310216,New house in Palermo Viejo,4986026,Heloise,,Palermo,-34.59531,-58.42229,Entire home/apt,9642,5,19,2022-12-05,0.22,16,319,5,
46337035,Dueño alquila departamento 2 ambientes en Recoleta,336309260,Pablo,,Retiro,-34.5931,-58.38649,Entire home/apt,10000,6,0,,,1,270,0,
53357436,Hermoso departamento en Retiro. Cerca de Todo,42201748,Martin,,Retiro,-34.59667,-58.37542,Entire home/apt,9940,2,1,2022-02-18,0.07,1,328,0,
22577506,Depto Emiliano,165968024,Emiliano,,Recoleta,-34.5875,-58.4013,Entire home/apt,18071,2,2,2018-11-04,0.03,1,271,0,123456
54167886,Beautiful design apartment in the heart of Palermo,50244919,Mariano,,Palermo,-34.58612,-58.4371,Entire home/apt,14938,2,7,2023-03-26,0.91,1,311,7,
28247369,"Sofá cama /pieza 
Departamento compartido Belgrano",213351772,Jesica,,Belgrano,-34.56043,-58.46722,Private room,3143,1,9,2022-11-21,0.16,1,0,5,
50907057,te sentirás como en casa,411633535,Marcela,,Nuñez,-34.55422,-58.46013,Entire home/apt,18994,3,35,2023-02-28,2.07,1,179,25,
48185602,"Luminoso departamento, excelente ubicaciòn",118324284,Gilda,,Monserrat,-34.61076,-58.38055,Entire home/apt,3000,3,0,,,1,0,0,
856494346732713007,Excelente departamento!,169563066,Silvio,,Villa Real,-34.621932928284,-58.52874180034462,Entire home/apt,4970,1,0,,,2,355,0,
24988696,Cozy Studio Buenos Aires,39794906,Anastasia,,Caballito,-34.628139,-58.450283,Entire home/apt,5092,2,78,2023-03-18,1.33,1,343,20,
853518178886357967,Departamento Villa urquiza excelente ubicacion,10657436,Ana,,Villa Urquiza,-34.578992961656425,-58.48407756568356,Entire home/apt,8283,7,0,,,2,353,0,
644785039170558857,Departamento completo en Puerto madero. Piso Alto,76713877,Pilar,,Puerto Madero,-34.60484,-58.36436,Entire home/apt,20708,3,0,,,4,297,0,
723724007099469556,Beuatiful Studio in Recoleta.,146223959,Maire,,Recoleta,-34.5932,-58.40061,Entire home/apt,6388,3,20,2023-03-26,3.33,2,75,20,
758466564920381189,Stylish Spacious Studio w/Park view Palermo Chico,132838002,Pablo,,Palermo,-34.5823776,-58.4081248,Entire home/apt,12010,5,0,,,99,74,0,
641931156089197011,Hermoso departamento en Palermo,124122469,Joaquin,,Recoleta,-34.59231,-58.40514,Entire home/apt,6775,3,30,2023-03-10,3.05,4,155,30,
728753256614543102,Amazing cozy apartment in Villa Crespo,297965086,Daniel,,Villa Crespo,-34.60009,-58.43863,Entire home/apt,7041,3,0,,,1,238,0,
726794899098871494,El mejor lugar para tus dias de descanso,459557096,Nomad,,San Telmo,-34.61664,-58.37264,Entire home/apt,4541,1,25,2023-03-16,4.34,53,295,25,
853533498780131276,Habitación doble n4,504111641,Rolando Nahuel,,Balvanera,-34.600937,-58.4015964,Private room,3727,1,0,,,7,352,0,
796372049955245024,Confortable depto en Belgrano,68543549,Tatiana,,Belgrano,-34.56415995662538,-58.467405224932726,Entire home/apt,6000,3,2,2023-01-18,0.81,1,271,2,
40562464,Space  art & sex,314262251,Jessie,,San Nicolas,-34.60588,-58.39158,Entire home/apt,31061,1,0,,,1,177,0,
767344737076359653,Habitación en Esplendor Buenos Aires,267809896,Reservas Esplendor By Wyndham,,San Nicolas,-34.5988153,-58.37431119999999,Private room,35795,1,0,,,1,362,0,
9502714,New Palermo Soho Apartment with Swimming Pool,49248460,Andrea,,Palermo,-34.58627,-58.42489,Entire home/apt,12184,3,157,2023-03-26,1.78,1,302,26,
821119949120225017,Ancon Studio,18203411,Cintia,,Palermo,-34.5758745,-58.4317153,Entire home/apt,6836,8,2,2023-03-26,1.71,16,357,2,
677372818458201216,"Hermoso Studio, balcon, piscina, parrilla, laundry",471086727,Live,,Recoleta,-34.5978846,-58.4115396,Entire home/apt,7101,2,5,2023-03-12,1.56,1,77,5,27350846943
33304558,Bs as relax,206484895,Veronica,,Almagro,-34.59881,-58.41268,Entire home/apt,8283,5,0,,,2,358,0,
722598017046354368,Cómodo y Luminoso departamento en Recoleta,92325617,Javi,,Palermo,-34.58772,-58.41074,Entire home/apt,5887,4,8,2023-03-02,1.59,13,170,8,
53212703,"3 apartments in the same bldng, Palermo Soho",7986525,Matias,,Palermo,-34.59196,-58.42645,Entire home/apt,45468,3,1,2022-05-29,0.10,29,70,1,
