Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"Hurray!
Our official sponsor for the fifth edition of the Employability Fitness Program (EFP) is @peopleHum

@peopleHum is an AI Driven People Software offering services such as  Hire (ATS), Engagement, Performance Management, Learning, People Analytics and with their https://t.co/iZoWwg6VRu",2022-07-08 11:41:25,en,,2.0,2.0,,CareerLife Nigeria,CareerLife Nigeria is a social initiative that helps young graduates and Professionals achieve measurable career growth.We add VALUE careerlifenigeria@gmail.com,2749.0,895.0,493.0,12223.0,32.0,False,,,@careerlifeng
RT @DD_NaNa_: People Analytics https://t.co/CTJznvMSFB,2022-07-08 11:26:00,en,,0.0,2.0,,fafa.👩🏻‍💻,Senior Customer Insights Director @datafying I tweet mostly about #DataScience with #Coffee,134183.0,56540.0,16439.0,25925.0,746.0,False,,,@DD_FaFa_
RT @DD_NaNa_: People Analytics https://t.co/CTJznvMSFB,2022-07-08 11:25:27,en,,0.0,2.0,,nana🦄,👩🏻‍💻Code with Coffee | Turning data into actionable insights | Sharing some of my readings | No DM💣,127096.0,43607.0,12909.0,27283.0,677.0,False,,,@DD_NaNa_
People Analytics https://t.co/CTJznvMSFB,2022-07-08 11:22:34,en,,5.0,2.0,,nana🦄,👩🏻‍💻Code with Coffee | Turning data into actionable insights | Sharing some of my readings | No DM💣,127096.0,43607.0,12909.0,27283.0,677.0,False,,,@DD_NaNa_
"RT @fsoglian: #IntelligenzaArtificiale
People Analytics: la gestione delle Risorse Umane sfruttando i #bigdata.
🔍 L'approfondimento su @dat…",2022-07-08 10:39:34,it,,0.0,2.0,,Stefano Martinuzzi,,5178.0,7400.0,61.0,41.0,48.0,False,,,@Stefyts64
"RT @datamagazine_it: People Analytics: come gestire le risorse umane sfruttando i big data
https://t.co/NBBrXFhuA7",2022-07-08 10:36:40,it,,0.0,6.0,,Stefano Martinuzzi,,5178.0,7400.0,61.0,41.0,48.0,False,,,@Stefyts64
"#IntelligenzaArtificiale
People Analytics: la gestione delle Risorse Umane sfruttando i #bigdata.
🔍 L'approfondimento su @datamagazine_it 👇 
https://t.co/oYxSwuSXDX",2022-07-08 10:26:51,it,,4.0,2.0,,Francesca Soglian,Communication Professional | #Antifragile nel DNA | Scrivo su https://t.co/SFHRKjeGpv,11160.0,12071.0,455.0,401.0,121.0,False,,,@fsoglian
"RT @PaulNaish78: Book Review:

Handbook of Regression Modeling in People Analytics: With Examples in R and Python

https://t.co/VYtbBHfSVV…",2022-07-08 10:14:34,en,,0.0,5.0,,"CRC Press Data Science, Stats, and Math Books","Information about Chapman & Hall/@CRCPress #DataScience, #Statistics, and #Math books and authors. #RStats",2491.0,1153.0,1403.0,4133.0,87.0,False,,,@CRC_MathStats
"RT @datamagazine_it: People Analytics: come gestire le risorse umane sfruttando i big data
https://t.co/NBBrXFhuA7",2022-07-08 10:14:01,it,,0.0,6.0,,Rachele Lombardi,Social Media Team @ComunediTrieste Instagram: @LombRacx Passioni: Cantante a tempo perso Sport: #Tennis,6458.0,5181.0,823.0,977.0,25.0,False,,,@LombRacx
"At Activ8 Intelligence, we are looking for a new Marketing Manager to design and deliver a marketing strategy to help us grow in the fast-moving and rapidly evolving world of people analytics.

To find out more and how to apply click here: 
https://t.co/RyndnSCN6u https://t.co/kZItfLDG6p",2022-07-08 10:00:10,en,,0.0,0.0,,Activ8 Intelligence,"Our award-winning #peopleanalytics product, illumin8HR, helps your end users make informed decisions from accessible insights.",498.0,200.0,661.0,278.0,0.0,False,,,@Activ8_Intel
