fecha	carrera
19-06-2003	Ingeniería en Informática
28-06-2012	Ingeniería Industrial
07-08-2007	Ingeniería Industrial
20-12-2011	Lic.en Administración y Sistemas
14-07-1993	Ingeniería Industrial
01-12-1972	Licenciatura en Oceanografía
02-07-1991	Ingeniería Química
18-07-2012	Ingeniería Industrial
24-05-1994	Ingeniería Electrónica
04-04-2002	Ingeniería Industrial
17-07-2014	Ingeniería Industrial
19-07-1995	Ingeniería Electrónica
29-08-2012	Ingeniería en Informática
04-05-2001	Ingeniería Industrial
12-08-2015	Ingeniería Química
27-09-2013	Ingeniería Industrial
30-08-2011	Ingeniería en Informática
25-07-2011	Ingeniería Industrial
05-05-2010	Ingeniería en Informática
29-06-1994	Ingeniería Industrial
22-07-1992	Ingeniería Electrónica
20-07-2015	Ingeniería Industrial
28-04-2015	Ingeniería Química
18-02-1999	Licenciatura en Oceanografía
01-06-1992	Ingeniería Industrial
13-09-2011	Ingeniería en Petróleo
08-03-2007	Ingeniería Química
26-07-2012	Ingeniería Industrial
01-12-1973	Ingeniería Industrial
01-06-2001	Ingeniería Industrial
21-08-1997	Ingeniería Industrial
01-12-1982	Ingeniería Industrial
01-12-1979	Ingeniería Industrial
16-02-2010	Lic.en Administración y Sistemas
13-05-1997	Ingeniería Industrial
21-05-1990	Ingeniería Industrial
21-12-2006	Lic.en Administración y Sistemas
15-03-2004	Ingeniería Química
11-07-2006	Ingeniería Química
20-11-2009	Ingeniería Industrial
21-05-2010	Ingeniería Industrial
19-12-2014	Lic.en Administración y Sistemas
22-04-2010	Ingeniería Industrial
18-07-2001	Ingeniería Industrial
01-09-2005	Ingeniería Industrial
17-07-1992	Licenciatura en Informática
01-09-2000	Ingeniería Industrial
27-07-2001	Ingeniería Industrial
22-05-2003	Ingeniería Industrial
01-12-1977	Ingeniería Industrial
13-08-2003	Ingeniería Industrial
15-12-1989	Ingeniería en Armas
16-08-2000	Ingeniería en Petróleo
08-06-2006	Ingeniería Mecánica
15-09-2006	Ingeniería Mecánica
24-07-1997	Ingeniería Mecánica
10-09-2009	Lic.en Administración y Sistemas
01-12-1979	Ingeniería Electrónica
02-06-1994	Ingeniería Industrial
25-04-2016	Ingeniería Química
19-12-2012	Lic.en Administración y Sistemas
05-02-2007	Ingeniería Industrial
01-12-1973	Ingeniería Industrial
16-07-1998	Ingeniería Industrial
18-04-2001	Ingeniería en Petróleo
10-03-1992	Ingeniería Electrónica
29-05-2003	Ingeniería Mecánica
10-08-1995	Ingeniería Electrónica
27-12-2010	Ingeniería Industrial
01-12-1971	Ingeniería Industrial
21-12-2009	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
18-07-2000	Ingeniería Electrónica
13-08-2012	Ingeniería Industrial
22-02-2016	Ingeniería en Petróleo
10-03-2004	Ingeniería en Petróleo
25-08-2008	Ingeniería Química
14-08-1991	Licenciatura en Oceanografía
22-12-2008	Lic.en Administración y Sistemas
08-02-2014	Ingeniería en Petróleo
07-07-1987	Licenciatura en Análisis de Sistemas
01-03-1969	Ingeniería Electrónica
14-08-1996	Ingeniería Electrónica
30-07-1997	Ingeniería Electrónica
30-08-2011	Ingeniería Industrial
22-12-1988	Ingeniería Industrial
30-07-1997	Ingeniería Electrónica
22-09-2009	Ingeniería Electrónica
01-05-1987	Licenciatura en Oceanografía
08-08-2014	Ingeniería Química
21-12-1996	Ingeniería Química
15-07-2002	Ingeniería Química
22-12-1993	Licenciatura en Informática
14-04-2014	Ingeniería Industrial
27-03-1995	Ingeniería en Petróleo
01-12-1967	Licenciatura en Oceanografía
10-08-1998	Ingeniería Industrial
11-09-1978	Ingeniería Industrial
21-12-2012	Lic.en Administración y Sistemas
08-08-2012	Ingeniería Industrial
04-07-2007	Ingeniería Química
14-07-1992	Ingeniería Electrónica
14-05-2012	Ingeniería en Petróleo
06-08-1996	Ingeniería Electrónica
05-05-1994	Ingeniería Industrial
01-03-1981	Ingeniería Química
17-04-2015	Ingeniería Mecánica
31-03-2016	Ingeniería Mecánica
24-07-1992	Ingeniería Electrónica
15-03-1990	Ingeniería Electrónica
13-08-2003	Ingeniería Industrial
29-04-1998	Ingeniería Industrial
12-08-2014	Ingeniería Mecánica
22-07-1997	Ingeniería Industrial
30-08-2011	Ingeniería Industrial
11-02-2009	Ingeniería Mecánica
02-07-1996	Ingeniería Industrial
21-08-1997	Ingeniería Electrónica
10-03-1992	Ingeniería Electrónica
05-05-2003	Ingeniería Industrial
17-08-2010	Ingeniería Industrial
05-02-2007	Ingeniería Industrial
28-12-2012	Ingeniería Industrial
09-10-2015	Ingeniería Naval
05-08-2002	Ingeniería Industrial
27-08-1996	Ingeniería Electrónica
21-07-1999	Ingeniería Electrónica
19-12-2013	Ingeniería Química
10-12-2014	Lic.en Administración y Sistemas
18-08-2015	Ingeniería Electrónica
14-02-2008	Ingeniería en Informática
26-07-1999	Ingeniería Industrial
26-07-2013	Ingeniería Química
25-07-1989	Ingeniería Industrial
15-07-2002	Ingeniería Industrial
15-02-2011	Lic.en Administración y Sistemas
14-02-1992	Ingeniería Industrial
09-08-2016	Ingeniería Mecánica
28-03-2000	Ingeniería Química
11-08-2004	Ingeniería Industrial
19-02-1990	Ingeniería Naval
01-09-2005	Ingeniería Industrial
22-06-2000	Ingeniería en Informática
19-08-2014	Ingeniería Electrónica
27-12-1994	Ingeniería Electrónica
22-12-2001	Ingeniería Química
16-09-2016	Ingeniería Industrial
20-07-2012	Ingeniería Industrial
27-05-2016	Ingeniería en Informática
13-06-2011	Ingeniería Industrial
07-08-2007	Ingeniería Electrónica
28-08-2009	Ingeniería Mecánica
01-12-1979	Ingeniería Industrial
09-04-2012	Ingeniería Mecánica
05-08-2003	Ingeniería Industrial
26-08-1999	Ingeniería en Informática
24-06-2013	Ingeniería en Petróleo
01-03-1980	Ingeniería Industrial
26-03-1996	Ingeniería Industrial
21-12-2006	Lic.en Administración y Sistemas
07-05-2007	Lic.en Administración y Sistemas
16-02-2010	Lic.en Administración y Sistemas
01-12-1976	Ingeniería Electrónica
13-12-2010	Lic.en Administración y Sistemas
29-06-1999	Ingeniería Industrial
28-07-2014	Ingeniería Industrial
13-09-2016	Ingeniería Química
05-07-2012	Ingeniería Mecánica
01-03-1977	Ingeniería Electrónica
03-07-1997	Ingeniería Industrial
22-12-2008	Lic.en Administración y Sistemas
18-12-2007	Ingeniería Industrial
16-08-2000	Ingeniería Industrial
26-08-2013	Ingeniería en Informática
01-07-1991	Licenciatura en Oceanografía
01-07-1982	Ingeniería Industrial
28-07-2010	Ingeniería Industrial
22-07-1993	Ingeniería Industrial
14-08-1998	Ingeniería Química
01-12-1977	Ingeniería Industrial
25-02-1998	Ingeniería Electrónica
13-08-2003	Ingeniería Industrial
01-04-1971	Ingeniería Industrial
03-04-2000	Ingeniería Industrial
01-12-1980	Ingeniería Electrónica
23-08-2012	Ingeniería Industrial
01-12-1970	Ingeniería Electrónica
28-12-2007	Ingeniería Industrial
22-04-2010	Ingeniería Industrial
23-06-2015	Ingeniería Mecánica
31-07-2002	Ingeniería en Informática
07-07-1987	Licenciatura en Análisis de Sistemas
30-08-2011	Ingeniería en Informática
20-02-2007	Ingeniería Industrial
22-07-1996	Ingeniería Industrial
06-07-1999	Ingeniería Industrial
01-06-1974	Ingeniería Industrial
19-06-2003	Ingeniería en Informática
07-08-2013	Ingeniería Industrial
01-12-1980	Ingeniería Industrial
26-07-2012	Ingeniería Industrial
28-07-2008	Ingeniería en Petróleo
24-09-2001	Ingeniería Industrial
13-08-2003	Ingeniería Industrial
27-07-2004	Ingeniería Industrial
21-12-2006	Lic.en Administración y Sistemas
02-07-1987	Ingeniería Mecánica
11-08-2008	Ingeniería Electrónica
01-05-1974	Ingeniería Industrial
14-08-2014	Ingeniería Electrónica
13-11-2000	Ingeniería Electrónica
24-07-2000	Ingeniería Mecánica
05-08-2002	Ingeniería Mecánica
11-07-2016	Ingeniería Industrial
01-12-1979	Ingeniería Eléctrica
01-12-1979	Ingeniería Mecánica
26-05-2009	Ingeniería Industrial
30-08-2011	Ingeniería en Informática
17-05-2011	Lic.en Administración y Sistemas
01-01-1981	Ingeniería Eléctrica
01-12-1980	Ingeniería Industrial
02-08-2007	Ingeniería en Informática
01-08-1968	Ingeniería Industrial
15-08-2001	Ingeniería en Informática
17-02-2014	Ingeniería Electrónica
31-05-1996	Ingeniería Industrial
31-07-1996	Ingeniería Industrial
28-03-2001	Ingeniería Industrial
23-04-2013	Ingeniería Industrial
24-02-1989	Ingeniería Industrial
24-02-2014	Ingeniería Eléctrica
01-03-1982	Ingeniería Naval
16-12-2011	Ingeniería Mecánica
25-08-2003	Ingeniería Mecánica
26-04-1993	Ingeniería Electrónica
26-07-2001	Ingeniería Industrial
15-08-1997	Ingeniería Electrónica
28-08-2009	Ingeniería Mecánica
23-12-1996	Ingeniería Química
11-07-2000	Ingeniería Industrial
01-08-1978	Ingeniería en Armas
01-04-1978	Ingeniería Electrónica
21-08-1997	Ingeniería Electrónica
01-04-1971	Ingeniería Electrónica
10-07-1993	Ingeniería Electrónica
28-08-2007	Ingeniería Industrial
29-12-2005	Ingeniería Química
26-05-2015	Ingeniería Industrial
05-08-1991	Ingeniería Mecánica
22-12-1998	Ingeniería Industrial
07-10-1992	Ingeniería Mecánica
01-12-1969	Ingeniería Electrónica
17-05-1993	Ingeniería Electrónica
21-08-2007	Ingeniería Industrial
31-08-2010	Ingeniería Electrónica
03-08-2001	Ingeniería Electrónica
25-03-1992	Ingeniería Industrial
06-04-1998	Ingeniería Industrial
05-05-1994	Ingeniería Industrial
04-08-1998	Ingeniería en Informática
28-06-1994	Ingeniería Industrial
23-02-2015	Ingeniería Mecánica
01-08-2001	Ingeniería Industrial
19-07-1993	Ingeniería Industrial
26-12-2000	Ingeniería Química
30-08-2012	Ingeniería en Informática
07-07-1995	Ingeniería Industrial
22-07-1993	Ingeniería Industrial
05-06-1996	Ingeniería Industrial
22-12-1998	Ingeniería Industrial
01-12-1977	Ingeniería Electrónica
15-08-2009	Ingeniería Electrónica
19-04-2007	Ingeniería Industrial
27-12-2010	Ingeniería Industrial
01-05-1979	Ingeniería Naval
10-02-2004	Ingeniería Electrónica
24-06-1994	Ingeniería Industrial
11-08-2016	Ingeniería Industrial
01-12-1969	Ingeniería Industrial
01-04-1968	Ingeniería Electrónica
24-03-1993	Ingeniería Industrial
02-09-2005	Ingeniería Industrial
01-12-1973	Ingeniería Electrónica
30-04-2013	Ingeniería Industrial
18-09-2014	Ingeniería Industrial
15-02-2007	Lic.en Administración y Sistemas
10-08-1995	Ingeniería Mecánica
01-03-1980	Ingeniería Mecánica
24-09-1984	Ingeniería Mecánica
08-06-1999	Ingeniería Electrónica
01-03-1983	Ingeniería Industrial
26-07-2005	Ingeniería Industrial
01-03-1974	Ingeniería Industrial
10-04-2014	Ingeniería Industrial
30-07-2015	Ingeniería en Informática
22-05-1998	Ingeniería Industrial
05-07-2002	Ingeniería Industrial
21-08-2007	Ingeniería Industrial
12-07-1989	Ingeniería Eléctrica
30-08-2005	Ingeniería Industrial
23-03-2005	Ingeniería Industrial
31-07-2002	Ingeniería Industrial
21-06-1984	Ingeniería Industrial
10-08-1998	Ingeniería Industrial
25-03-1991	Ingeniería Electrónica
22-11-2004	Ingeniería Electrónica
02-12-1986	Licenciatura en Análisis de Sistemas
17-08-1988	Ingeniería Naval
20-09-2011	Ingeniería Industrial
10-08-2010	Ingeniería Mecánica
22-02-2013	Lic.en Administración y Sistemas
01-08-1995	Ingeniería Industrial
01-12-1969	Ingeniería Electrónica
28-08-2009	Ingeniería Industrial
20-09-2013	Ingeniería Industrial
27-03-2012	Ingeniería Industrial
20-03-1990	Ingeniería Electrónica
14-08-2014	Ingeniería Industrial
29-08-2008	Ingeniería Mecánica
13-07-2015	Ingeniería Mecánica
04-09-2003	Ingeniería Industrial
12-05-2015	Ingeniería Electrónica
01-08-1992	Ingeniería Industrial
04-07-1994	Ingeniería Química
31-08-2011	Ingeniería en Petróleo
05-12-2011	Ingeniería Eléctrica
21-07-2008	Ingeniería Electrónica
19-12-2007	Lic.en Administración y Sistemas
13-08-2015	Ingeniería en Petróleo
19-07-2008	Ingeniería Electrónica
29-04-2008	Ingeniería Industrial
12-08-2010	Ingeniería Industrial
01-05-1978	Ingeniería Electrónica
01-12-1978	Ingeniería Electrónica
04-03-2013	Ingeniería en Petróleo
05-08-2015	Ingeniería Mecánica
14-05-1990	Ingeniería Industrial
13-03-2009	Ingeniería Química
21-03-2014	Ingeniería Industrial
01-04-1982	Ingeniería Industrial
01-04-1982	Ingeniería Mecánica
26-05-2010	Lic.en Administración y Sistemas
21-07-2006	Ingeniería Industrial
01-03-1974	Ingeniería Electrónica
28-12-1970	Licenciatura en Hidrografía
01-04-1984	Ingeniería Electrónica
01-07-1983	Ingeniería Industrial
20-11-2009	Ingeniería Industrial
03-08-2016	Ingeniería Química
26-05-2009	Ingeniería Industrial
01-08-1986	Licenciatura en Oceanografía
14-07-1993	Ingeniería Química
23-07-2004	Ingeniería Electrónica
01-04-1966	Ingeniería Industrial
19-12-1996	Ingeniería Mecánica
01-12-1971	Ingeniería Industrial
04-08-2011	Ingeniería Química
04-07-2003	Ingeniería Industrial
31-07-2002	Ingeniería Industrial
13-06-2001	Ingeniería Electrónica
30-03-2004	Ingeniería en Informática
02-09-1996	Ingeniería Electrónica
30-08-2013	Ingeniería Industrial
24-08-1987	Licenciatura en Análisis de Sistemas
05-05-1987	Ingeniería Industrial
29-06-2004	Ingeniería Química
06-10-2006	Ingeniería Electrónica
02-07-1996	Ingeniería Industrial
07-08-2015	Ingeniería Industrial
19-08-2008	Ingeniería Química
25-08-2005	Ingeniería Industrial
21-02-2013	Ingeniería Industrial
20-12-2013	Ingeniería Industrial
29-08-2013	Ingeniería en Informática
05-03-2003	Ingeniería Industrial
01-12-1980	Ingeniería Química
09-09-1985	Ingeniería Eléctrica
07-09-1995	Ingeniería Química
29-08-2008	Ingeniería Industrial
05-05-2003	Ingeniería Electrónica
31-07-2002	Ingeniería en Informática
30-07-2010	Ingeniería Química
01-03-1982	Ingeniería Química
29-05-2002	Ingeniería Industrial
