fecha	escrituras	montos	promedio
1/4/2009	3716	1037207138	279119.251345533
1/5/2009	3664	9957726496	2717720.11353712
1/6/2009	4280	1294522591	302458.549299065
1/7/2009	4217	1225766701	290672.682238558
1/8/2009	5331	1884925977	353578.311198649
1/9/2009	4937	1628847186	329926.511241645
1/10/2009	4918	1429834764	290735.006913379
1/11/2009	5149	1612316570	313131.980967178
1/12/2009	6754	2127450566	314991.200177672
1/1/2010	3431	1286936497	375090.788982804
1/2/2010	3328	1273102625	382542.856069712
1/3/2010	4931	1678727940	340443.711214764
1/4/2010	4802	1615584102	336439.837984173
1/4/2011	4750	1862292035	392061.481052632
1/5/2011	5515	2164226297	392425.439165911
1/6/2011	5747	2305005518	401079.783887246
1/7/2011	5542	2266610435	408987.808552869
1/8/2011	5809	2552308713	439371.443105526
1/9/2011	6121	2626858233	429155.078091815
1/10/2011	5595	2475589393	442464.592135836
1/11/2011	6134	2762512718	450360.730029345
1/12/2011	6330	2904715407	458880.790995261
1/1/2012	3320	1660515541	500155.283433735
1/2/2012	3063	1341889531	438096.48416585
1/3/2012	4679	2232845465	477205.698867279
1/4/2012	3554	1532532817	431213.510692178
1/5/2012	4667	2143174972	459218.978358689
1/6/2012	4760	2413997408	507142.312605042
1/7/2012	4015	1748838755	435576.277708593
1/8/2012	3776	1587926542	420531.393538136
1/9/2012	3254	1483726464	455970.025814382
1/10/2012	3594	1673660279	465681.769337785
1/11/2012	3472	1559162972	449067.676267281
1/12/2012	4477	2078250108	464205.965601966
1/1/2013	2043	1028187012	503273.133627019
1/2/2013	1717	8495475041	4947859.66278393
1/3/2013	2730	1311620108	480446.926007326
1/4/2013	2737	1368501101	500000.402265254
1/5/2013	3424	1727225382	504446.665303738
1/6/2013	2634	1516122819	575597.121867882
1/7/2013	3121	1566553008	501939.445049664
1/8/2013	3044	1708641117	561314.42739816
1/9/2013	3237	2643926739	816783.051899907
1/10/2013	3525	1881946654	533885.575602837
1/11/2013	3319	2212363256	666575.25037662
1/12/2013	4380	1926667774	439878.487214612
1/1/2014	2030	2681165789	1320771.32463054
1/2/2014	1996	1591446629	797317.950400802
1/3/2014	2223	1738802291	782187.265407108
1/4/2014	2681	1605095742	598692.928757926
1/5/2014	2901	2002967023	690440.200965184
1/6/2014	3154	2198900399	697178.312935954
1/7/2014	3114	2441537134	784051.745022479
1/8/2014	2762	2617467305	947671.001086169
1/9/2014	3102	2093569921	674909.710186976
1/10/2014	3126	3246862668	1038663.68138196
1/11/2014	2717	2407802738	886199.020242915
1/12/2014	3889	6024524504	1549119.18333762
1/1/2015	1733	1618470256	933912.438545874
1/2/2015	1629	1408029774	864352.224677716
1/3/2015	2750	2440250680	887363.883636364
1/4/2015	2851	2643926739	927368.200280604
1/5/2015	3131	2967999726	947939.867773874
1/6/2015	3365	4038151392	1200044.99019317
1/7/2015	4090	3982687703	973762.274572127
1/8/2015	2935	3395581907	1156927.39591141
1/9/2015	3533	3837117111	1086079.00113218
1/10/2015	3519	3494362119	992998.612958227
1/11/2015	3457	4448954638	1286940.88458201
1/12/2015	4399	6263557607	1423859.42418732
1/1/2016	1898	2686403865	1415386.65173867
1/2/2016	1919	2668567965	1390603.42105263
1/3/2016	3138	4494641665	1432326.85309114
1/4/2016	3347	4516468758	1349408.05437705
1/5/2016	3649	5835562187	1599222.30391888
1/6/2016	3646	5815666622	1595081.35545804
1/7/2016	3567	5681301170	1592739.32436221
1/8/2016	4222	8650296339	2048862.23093321
1/9/2016	4208	6982359964	1659306.07517823
1/10/2016	4152	7839602507	1888150.89284682
1/11/2016	5016	9513200000	1896570.97288676
1/12/2016	6210	12700584289	2045182.65517391
1/1/2017	3425	7900029316	2306577.90251387
1/2/2017	3012	7657890525	2542460.33373506
1/3/2017	4509	9269710821	2055824.08978931
1/4/2017	4040	8945450779	2214220.48974752
1/5/2017	5098	11368918377	2230074.22068851
1/6/2017	5145	11751225834	2284008.90845287
1/7/2017	5310	12345895812	2325027.45982298
1/8/2017	6019	14012871560	2328106.25678352
1/9/2017	6011	14242713683	2369441.63750291
1/10/2017	6151	14856059830	2415226.7647098
1/11/2017	6757	16460934264	2436130.57042326
1/12/2017	7850	20022082704	2550583.78389299
1/1/2018	4484	12902624166	2877480.85779215
1/2/2018	4036	11762793429	2914468.14403865
1/3/2018	6075	17845211785	2937483.4213679
1/4/2018	5977	17839435288	2984680.48992304
1/5/2018	5892	20084424970	3408761.8754277
1/6/2018	4588	18613271097	4056946.62095684
1/7/2018	4403	16191435762	3677364.47011583
1/8/2018	4549	17175000000	3775555.0670477
