colación	año	fecha	titulo	cant
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Naval	1
54	2018	2018-07-01	Bioingeniero	1
54	2018	2018-07-01	Bioingeniero	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Bioingeniero	1
54	2018	2018-07-01	Ingeniero Mecánico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Bioingeniero	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero Eléctrico	1
54	2018	2018-07-01	Ingeniero Mecánico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Bioingeniero	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero Mecánico	1
54	2018	2018-07-01	Ingeniero Mecánico	1
54	2018	2018-07-01	Ingeniero Mecánico	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero en Informática	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Químico	1
54	2018	2018-07-01	Ingeniero en Petróleo	1
54	2018	2018-07-01	Lic.en Administración y Sistemas	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
54	2018	2018-07-01	Ingeniero Industrial	1
