colacion	titulo	promedio
49	Lic.en Administración y Sistemas	9.42
51	Ingeniero Industrial	9.35
52	Ingeniero en Petróleo	9.23
51	Lic.en Administración y Sistemas	9.2
50	Ingeniero Químico	9.19
53	Ingeniero Químico	9.18
49	Ingeniero en Informática	9.14
51	Lic.en Administración y Sistemas	9.12
49	Ingeniero Electrónico	9.12
50	Ingeniero Mecánico	9.1
49	Ingeniero Industrial	9.02
48	Lic.en Administración y Sistemas	9.02
53	Lic.en Administración y Sistemas	9
51	Ingeniero Químico	8.99
50	Lic.en Administración y Sistemas	8.95
53	Lic.en Administración y Sistemas	8.9
53	Ingeniero Mecánico	8.9
48	Ingeniero Químico	8.89
54	Ingeniero en Informática	8.88
50	Ingeniero Industrial	8.83
49	Lic.en Administración y Sistemas	8.82
55	Ingeniero Químico	8.81
51	Lic.en Administración y Sistemas	8.81
55	Ingeniero Industrial	8.8
48	Ingeniero Mecánico	8.8
55	Ingeniero en Petróleo	8.77
48	Ingeniero Industrial	8.76
49	Ingeniero Químico	8.74
48	Lic.en Administración y Sistemas	8.74
55	Lic.en Administración y Sistemas	8.73
54	Bioingeniero	8.73
48	Ingeniero en Informática	8.73
48	Ingeniero Industrial	8.72
49	Ingeniero Industrial	8.71
53	Ingeniero Químico	8.7
49	Ingeniero Electrónico	8.7
54	Bioingeniero	8.69
55	Ingeniero Electrónico	8.68
50	Ingeniero Químico	8.68
52	Lic.en Administración y Sistemas	8.67
49	Ingeniero Químico	8.67
48	Lic.en Administración y Sistemas	8.66
53	Ingeniero Electrónico	8.65
49	Ingeniero Industrial	8.65
47	Ingeniero Industrial	8.65
50	Ingeniero Industrial	8.64
50	Ingeniero Industrial	8.64
51	Ingeniero Químico	8.63
49	Ingeniero Industrial	8.63
54	Ingeniero en Petróleo	8.62
47	Ingeniero Químico	8.59
55	Ingeniero Industrial	8.58
53	Ingeniero en Informática	8.58
52	Ingeniero Químico	8.58
50	Ingeniero Electrónico	8.58
54	Lic.en Administración y Sistemas	8.57
48	Ingeniero Electricista	8.57
48	Ingeniero Industrial	8.57
51	Ingeniero Electrónico	8.56
51	Ingeniero Mecánico	8.55
51	Lic.en Administración y Sistemas	8.55
50	Ingeniero Químico	8.55
53	Lic.en Administración y Sistemas	8.54
52	Lic.en Administración y Sistemas	8.52
47	Ingeniero Mecánico	8.52
53	Lic.en Administración y Sistemas	8.5
52	Ingeniero en Petróleo	8.5
49	Ingeniero Mecánico	8.5
55	Lic.en Administración y Sistemas	8.49
52	Ingeniero Químico	8.49
52	Lic.en Administración y Sistemas	8.49
50	Lic.en Administración y Sistemas	8.48
52	Ingeniero Industrial	8.47
48	Ingeniero Industrial	8.47
47	Ingeniero Industrial	8.47
52	Ingeniero Electrónico	8.44
50	Ingeniero Industrial	8.44
48	Ingeniero Industrial	8.44
49	Lic.en Administración y Sistemas	8.43
54	Lic.en Administración y Sistemas	8.42
54	Ingeniero Industrial	8.42
50	Ingeniero Industrial	8.42
50	Lic.en Administración y Sistemas	8.42
48	Ingeniero en Petróleo	8.4
55	Bioingeniero	8.39
50	Ingeniero Electrónico	8.39
48	Ingeniero Químico	8.39
48	Lic.en Administración y Sistemas	8.39
49	Ingeniero Industrial	8.38
55	Ingeniero Industrial	8.36
52	Ingeniero Mecánico	8.36
51	Lic.en Administración y Sistemas	8.36
48	Ingeniero Industrial	8.36
51	Ingeniero Electrónico	8.35
55	Ingeniero Químico	8.34
54	Ingeniero en Informática	8.34
50	Ingeniero Electrónico	8.34
50	Ingeniero en Informática	8.34
52	Lic.en Administración y Sistemas	8.33
52	Ingeniero en Informática	8.32
51	Ingeniero Mecánico	8.32
54	Ingeniero Químico	8.31
49	Ingeniero Industrial	8.31
55	Lic.en Administración y Sistemas	8.3
54	Ingeniero en Petróleo	8.3
52	Lic.en Administración y Sistemas	8.3
48	Ingeniero Industrial	8.3
54	Ingeniero Industrial	8.29
52	Lic.en Administración y Sistemas	8.29
51	Lic.en Administración y Sistemas	8.29
54	Ingeniero Mecánico	8.28
54	Lic.en Administración y Sistemas	8.28
55	Ingeniero en Informática	8.27
54	Ingeniero Industrial	8.27
51	Lic.en Administración y Sistemas	8.27
50	Ingeniero Electrónico	8.27
48	Ingeniero en Informática	8.26
53	Ingeniero Químico	8.25
50	Ingeniero Industrial	8.25
55	Ingeniero en Informática	8.24
52	Ingeniero en Petróleo	8.24
55	Ingeniero Electrónico	8.23
52	Ingeniero Electrónico	8.23
50	Ingeniero Electrónico	8.23
48	Lic.en Administración y Sistemas	8.23
48	Ingeniero Industrial	8.23
55	Bioingeniero	8.22
55	Ingeniero en Petróleo	8.22
49	Ingeniero Industrial	8.22
48	Ingeniero Industrial	8.21
51	Lic.en Administración y Sistemas	8.2
48	Ingeniero Químico	8.2
47	Ingeniero Industrial	8.2
55	Ingeniero en Informática	8.19
53	Ingeniero Químico	8.19
53	Ingeniero en Informática	8.19
51	Ingeniero Mecánico	8.19
55	Ingeniero Químico	8.18
49	Ingeniero en Informática	8.18
55	Ingeniero Químico	8.17
53	Ingeniero Químico	8.16
53	Ingeniero Naval	8.16
53	Ingeniero Industrial	8.16
53	Lic.en Administración y Sistemas	8.16
52	Ingeniero Industrial	8.16
48	Ingeniero Químico	8.16
54	Ingeniero Industrial	8.15
52	Ingeniero en Informática	8.15
52	Ingeniero Químico	8.15
55	Bioingeniero	8.14
54	Lic.en Administración y Sistemas	8.14
51	Lic.en Administración y Sistemas	8.14
52	Ingeniero Químico	8.13
49	Ingeniero en Informática	8.13
49	Ingeniero en Petróleo	8.13
55	Ingeniero Químico	8.11
55	Ingeniero Electrónico	8.11
50	Ingeniero Electrónico	8.11
48	Ingeniero Industrial	8.11
53	Ingeniero Industrial	8.09
51	Ingeniero Industrial	8.09
51	Ingeniero Mecánico	8.09
49	Ingeniero Electrónico	8.09
55	Ingeniero Mecánico	8.08
53	Lic.en Administración y Sistemas	8.08
49	Ingeniero en Informática	8.08
48	Ingeniero Electrónico	8.08
55	Bioingeniero	8.07
55	Lic.en Administración y Sistemas	8.07
54	Ingeniero en Informática	8.07
51	Ingeniero en Petróleo	8.07
51	Ingeniero Mecánico	8.07
47	Ingeniero Industrial	8.07
55	Ingeniero Industrial	8.06
48	Ingeniero en Petróleo	8.06
48	Ingeniero Electrónico	8.06
52	Ingeniero Industrial	8.05
49	Ingeniero Industrial	8.05
51	Ingeniero Electrónico	8.04
48	Ingeniero Industrial	8.04
53	Ingeniero en Informática	8.03
55	Lic.en Administración y Sistemas	8.02
51	Ingeniero Industrial	8.02
49	Ingeniero Mecánico	8.02
49	Ingeniero Industrial	8.02
54	Ingeniero Mecánico	8.01
51	Lic.en Administración y Sistemas	8.01
48	Ingeniero Electrónico	8.01
48	Ingeniero Químico	8.01
53	Ingeniero Mecánico	8
51	Ingeniero Electrónico	8
51	Ingeniero Químico	8
55	Lic.en Administración y Sistemas	7.99
55	Ingeniero Industrial	7.99
54	Ingeniero Industrial	7.99
54	Ingeniero Industrial	7.99
52	Ingeniero Industrial	7.99
52	Lic.en Administración y Sistemas	7.99
51	Lic.en Administración y Sistemas	7.99
55	Ingeniero en Petróleo	7.98
49	Ingeniero Industrial	7.98
50	Ingeniero Químico	7.97
55	Bioingeniero	7.96
55	Lic.en Administración y Sistemas	7.96
52	Ingeniero Químico	7.96
50	Ingeniero en Informática	7.96
50	Ingeniero Químico	7.96
50	Ingeniero Electrónico	7.96
49	Ingeniero Industrial	7.96
48	Ingeniero Industrial	7.96
52	Ingeniero Industrial	7.95
54	Ingeniero Industrial	7.94
51	Ingeniero en Informática	7.94
47	Ingeniero Industrial	7.94
55	Lic.en Administración y Sistemas	7.93
52	Ingeniero Electrónico	7.93
49	Ingeniero Industrial	7.93
54	Lic.en Administración y Sistemas	7.92
54	Lic.en Administración y Sistemas	7.92
49	Lic.en Administración y Sistemas	7.92
54	Ingeniero Industrial	7.91
54	Ingeniero Químico	7.91
51	Ingeniero Químico	7.91
48	Ingeniero Mecánico	7.91
51	Ingeniero Industrial	7.9
51	Ingeniero Industrial	7.9
51	Ingeniero en Informática	7.9
49	Ingeniero Químico	7.9
52	Lic.en Administración y Sistemas	7.89
49	Ingeniero Industrial	7.89
55	Ingeniero en Informática	7.88
51	Ingeniero Industrial	7.88
50	Ingeniero Mecánico	7.88
52	Ingeniero Electrónico	7.87
48	Lic.en Administración y Sistemas	7.87
54	Lic.en Administración y Sistemas	7.86
54	Ingeniero Industrial	7.86
53	Ingeniero Industrial	7.86
50	Ingeniero Químico	7.86
49	Lic.en Administración y Sistemas	7.86
55	Lic.en Administración y Sistemas	7.85
54	Ingeniero en Informática	7.85
53	Lic.en Administración y Sistemas	7.85
53	Lic.en Administración y Sistemas	7.85
51	Ingeniero Mecánico	7.85
51	Ingeniero Industrial	7.85
47	Ingeniero Químico	7.85
54	Ingeniero Industrial	7.84
52	Ingeniero Industrial	7.84
52	Ingeniero Industrial	7.84
49	Ingeniero Electrónico	7.84
49	Ingeniero Industrial	7.84
48	Ingeniero Industrial	7.84
54	Ingeniero Industrial	7.83
51	Ingeniero Mecánico	7.83
51	Ingeniero Industrial	7.83
53	Lic.en Administración y Sistemas	7.82
51	Ingeniero Mecánico	7.82
48	Lic.en Administración y Sistemas	7.82
48	Ingeniero Industrial	7.82
47	Ingeniero Industrial	7.81
52	Lic.en Administración y Sistemas	7.8
50	Ingeniero Industrial	7.8
53	Ingeniero Químico	7.79
48	Lic.en Administración y Sistemas	7.79
55	Ingeniero Electrónico	7.78
53	Ingeniero Químico	7.78
53	Ingeniero Industrial	7.78
52	Ingeniero Industrial	7.78
52	Ingeniero Industrial	7.78
48	Ingeniero Industrial	7.78
48	Ingeniero en Informática	7.78
55	Ingeniero Químico	7.77
50	Ingeniero en Petróleo	7.77
48	Ingeniero Mecánico	7.77
55	Ingeniero en Informática	7.76
54	Ingeniero en Informática	7.76
55	Ingeniero Mecánico	7.75
55	Ingeniero Industrial	7.75
54	Lic.en Administración y Sistemas	7.75
50	Lic.en Administración y Sistemas	7.75
