lat	lon	cant
-34.5752175	-58.4728126	13726
-34.5753198	-58.4731695	7210
-34.5754269	-58.4724558	2690
-34.5760632	-58.4753553	2452
-34.5755292	-58.4728126	1980
-34.5759853	-58.4753553	1663
-34.5760177	-58.4753664	1009
-34.5760113	-58.4753441	857
-34.6408512	-58.4012547	824
-34.5759983	-58.4753664	703
-34.5760371	-58.4753999	652
-34.576036	-58.475327	618
-34.5760345	-58.4753284	608
-34.5760388	-58.4753305	517
-34.5760366	-58.4753249	482
-34.5760308	-58.4753441	477
-34.6408632	-58.4012561	355
-34.6408562	-58.4012753	335
-34.5759984	-58.475333	327
-34.5760377	-58.4752661	325
-34.5760372	-58.4753664	312
-34.6408821	-58.4012975	292
-34.5760364	-58.4753305	279
-34.5759855	-58.4753218	278
-34.6408737	-58.401261	272
-34.5760189	-58.475327	242
-34.5760402	-58.4753333	242
-34.5760374	-58.475333	241
-34.5760502	-58.4753682	236
-34.5760503	-58.4753441	235
-34.5760117	-58.4753445	204
-34.5761156	-58.4752661	180
-34.5759597	-58.4752661	179
-34.5760112	-58.4753776	174
-34.6408434	-58.4013014	171
-34.5759724	-58.4753441	167
-34.5759788	-58.4753664	160
-34.5759986	-58.4752995	154
-34.5760122	-58.4753438	149
-34.5760241	-58.4753887	144
-34.576046	-58.4753452	140
-34.6408614	-58.4012582	140
-34.5759922	-58.4752772	132
-34.5760046	-58.4753887	132
-34.6408432	-58.4012975	131
-34.5759919	-58.4753441	130
-34.5760351	-58.4753472	121
-34.5761412	-58.4753553	119
-34.5760049	-58.4753218	118
-34.5760128	-58.4753438	118
