League	Year	Team	GP	GS	MPG	FG%	3P%	FT%	RPG	APG	SPG	BPG	PPG
NBA -Regular season	2002	San Antonio Spurs	69	5	20.7	0.438	0.345	0.737	2.3	2	1.4	0.2	7.6
NBA -Regular season	2003	San Antonio Spurs	77	38	29.4	0.418	0.359	0.802	4.5	3.8	1.8	0.2	12.8
NBA -Regular season	2004	San Antonio Spurs	74	74	29.6	0.471	0.376	0.803	4.4	3.9	1.6	0.4	16
NBA -Regular season	2005	San Antonio Spurs	65	56	27.9	0.462	0.382	0.778	3.5	3.6	1.6	0.4	15.1
NBA -Regular season	2006	San Antonio Spurs	75	36	27.5	0.464	0.396	0.86	4.4	3.5	1.5	0.4	16.5
NBA -Regular season	2007	San Antonio Spurs	74	23	31	0.46	0.401	0.86	4.8	4.5	1.5	0.4	19.5
NBA -Regular season	2008	San Antonio Spurs	44	7	26.8	0.454	0.33	0.884	4.5	3.6	1.5	0.4	15.5
NBA -Regular season	2009	San Antonio Spurs	75	21	28.7	0.441	0.377	0.87	3.8	4.9	1.4	0.3	16.5
NBA -Regular season	2010	San Antonio Spurs	80	79	30.3	0.433	0.349	0.871	3.7	4.9	1.5	0.4	17.4
NBA -Regular season	2011	San Antonio Spurs	34	7	23.3	0.526	0.413	0.871	3.4	4.4	0.7	0.4	12.9
NBA -Regular season	2012	San Antonio Spurs	60	0	23.2	0.425	0.353	0.796	3.4	4.6	1.3	0.2	11.8
NBA -Regular season	2013	San Antonio Spurs	68	3	22.8	0.469	0.349	0.851	3	4.3	1	0.3	12.3
NBA -Regular season	2014	San Antonio Spurs	70	0	22.7	0.426	0.345	0.721	3	4.2	1	0.3	10.5
NBA -Regular season	2015	San Antonio Spurs	58	0	19.6	0.453	0.391	0.813	2.5	3.1	1.1	0.2	9.6
NBA -Regular season	2016	San Antonio Spurs	69	0	18.7	0.39	0.392	0.804	2.3	2.7	1.2	0.2	7.5
NBA -Regular season	2017	San Antonio Spurs	65	0	20	0.434	0.333	0.84	2.2	2.5	0.7	0.2	8.9
NBA – Playoffs	2003	San Antonio Spurs	24	0	27.5	0.386	0.384	0.757	3.8	2.9	1.7	0.4	9.4
NBA – Playoffs	2004	San Antonio Spurs	10	0	28	0.447	0.286	0.818	5.3	3.1	1.7	0.1	13
NBA – Playoffs	2005	San Antonio Spurs	23	15	33.6	0.507	0.438	0.795	5.8	4.2	1.2	0.3	20.8
NBA – Playoffs	2006	San Antonio Spurs	13	11	32.8	0.484	0.333	0.839	4.5	3	1.5	0.5	18.4
NBA – Playoffs	2007	San Antonio Spurs	20	0	30.1	0.401	0.384	0.836	5.5	3.7	1.7	0.2	16.7
NBA – Playoffs	2008	San Antonio Spurs	17	6	32.9	0.422	0.373	0.896	3.8	3.9	0.6	0.3	17.8
NBA – Playoffs	2010	San Antonio Spurs	10	10	35.2	0.414	0.333	0.866	3.7	6	2.6	0.2	19.4
NBA – Playoffs	2011	San Antonio Spurs	5	5	34.8	0.443	0.321	0.78	4	4.2	2.6	0.6	20.6
NBA – Playoffs	2012	San Antonio Spurs	14	2	27.9	0.448	0.338	0.857	3.5	4	0.7	0.3	14.4
NBA – Playoffs	2013	San Antonio Spurs	21	3	26.7	0.399	0.302	0.738	3.7	5	1.1	0.3	11.5
NBA – Playoffs	2014	San Antonio Spurs	23	0	25.5	0.439	0.39	0.862	3.3	4.1	1.6	0.1	14.3
NBA – Playoffs	2015	San Antonio Spurs	7	0	18.7	0.349	0.364	0.783	3.4	4.6	0.6	0.9	8
NBA – Playoffs	2016	San Antonio Spurs	10	0	19.2	0.426	0.429	0.783	2.7	2.5	0.8	0.3	6.7
NBA – Playoffs	2017	San Antonio Spurs	16	1	17.8	0.412	0.225	0.739	2.4	2.4	1	0.1	6.6
NBA – Playoffs	2018	San Antonio Spurs	5	0	21.4	0.405	0.333	0.818	3	3.2	1.4	0.2	9
EuroLeague	2000	Kinder Bologna	22	20	29.7	0.445	0.291	0.778	4.1	2	2.9	0.3	15.2
EuroLeague	2001	Kinder Bologna	22	22	28.4	0.45	0.34	0.778	3.8	3	2.5	0.3	15.9
