country	expect	inf_mort	mat_mort	health_spend	mort	gun_deaths	homicides	prison_pop	military_spend	peace_index	years_school	upper_edu	edu_spend	pisa_avg	edu_salary	adults_edu	voter_turnout	accountability	corruption	gini	elasticity	gender_eq	women_seats
Australia	82.1	3.3	5	3996.86	302.9	1.02	1.1	144	1.9500718016	1.329	12.8	87	10347	512.3333333333	56335	48	93.23	1.37	1.87	0.337	0.25	0.11	30.5
Belgium	80.5	3.8	9	4419.03	358.6	1.83	1.6	105	0.9179129815	1.368	NaN	82	12135	509.6666666667	43219	44	89.37	1.39	1.55	0.268	NaN	0.063	42.4
Canada	81.5	4.8	7	4602.49	318	2.05	1.6	118	0.9693750983	1.287	12.3	93	NaN	522	63557	58	68.28	1.43	1.82	0.322	0.23	0.129	28.2
France	82.1	3.5	10	4288.19	313.2	2.65	1	114	2.0999427101	1.742	11.1	85	10450	499.6666666667	31229	44	55.4	1.22	1.27	0.294	0.32	0.088	25.7
Germany	81	3.3	7	4883.69	365.1	1.01	0.8	76	1.1737664827	1.379	12.9	87	11363	515.3333333333	60449	28	71.53	1.46	1.83	0.292	0.24	0.041	36.9
Greece	80.7	2.9	8	2408.65	365	1.71	1.7	111	2.6033579078	1.878	10.2	82	NaN	465.6666666667	22460	39	63.6	0.56	-0.2	0.343	NaN	0.146	21
Italy	82.3	2.9	4	3182.91	303.6	1.27	0.9	88	1.3135260409	1.669	10.1	74	8744	489.6666666667	30262	24	75.19	0.98	-0.11	0.325	0.33	0.068	30.1
Japan	83.2	2.2	7	3648.72	244.2	0	0.3	48	0.9914280969	1.322	11.5	NaN	11671	540.3333333333	41036	37	52.66	1.04	1.73	0.33	NaN	0.133	11.6
Korea	81.3	2.9	11	2411.12	302.1	0	0.9	101	2.6437010596	1.701	11.8	98	9569	542.6666666667	44193	68	58.03	0.68	0.49	0.302	NaN	0.125	16.3
Netherlands	81.2	3.7	8	5219.03	355.2	0.42	0.9	82	1.1789463756	1.432	11.9	85	12211	518.6666666667	45228	44	74.56	1.58	2	0.283	NaN	0.062	36.9
Portugal	80.5	3.4	10	2642.403	343.3	1.43	1.2	135	1.8519377668	1.344	8.2	65	7952	488	33740	31	55.84	1.11	0.88	0.342	NaN	0.111	31.3
Spain	82.5	3.1	7	2998.09	323.1	0.61	0.8	144	1.176089309	1.451	9.6	66	9040	489.3333333333	39468	41	69.84	1	0.53	0.346	NaN	0.095	38
United Kingdom	81	4.1	8	3289.25	358.8	0.22	1	132	1.9465509428	1.685	12.3	86	12084	502.3333333333	NaN	49	66.12	1.3	1.73	0.358	0.37	0.117	23.5
United States	78.7	6.1	17	8745.26	412.8	10.54	4.7	707	3.3210237524	2.038	12.9	90	15494	492	53799	46	42.5	1.05	1.32	0.394	0.41	0.28	19.4
