screen_name	date	fav	retweet	text
CFKArgentina	Fri May 10 01:16:39 +0000 2019	0	2483	"RT @UniCiudadanaAR: .@CFKArgentina: ""Es necesario un contrato social de los argentinos y las argentinas"".<br><br>#Sinceramente https://t.co/jOCns…"
CFKArgentina	Fri May 10 00:51:29 +0000 2019	42114	8730	Muchas gracias a todos y todas las que se acercaron hoy a la Feria del Libro para la presentación de #Sinceramente y a los miles que siguieron la transmisión a través de las redes y de la tele. Los y las quiero mucho ❤ https://t.co/crbSqvm1HK
CFKArgentina	Fri May 10 00:18:03 +0000 2019	22768	6947	Es necesario un contrato social de ciudadanía responsable. Involucra a todos: u empresario, un dirigente sindical, un intelectual, un operario, un cooperativista y el que tienen un plan de trabajo. Que el compromiso sea de todos.<br><br>#Sinceramente https://t.co/wl8d8qoSyF
CFKArgentina	Thu May 09 22:54:19 +0000 2019	17432	6503	En vivo desde la Feria del Libro donde presentamos el libro #Sinceramente https://t.co/isCF6ZAhZ3
CFKArgentina	Thu May 09 15:00:13 +0000 2019	24472	5637	Toda mi solidaridad con el diputado Héctor Olivares, con su familia y con la de Miguel Yadón. Exigimos el inmediato esclarecimiento del hecho.
CFKArgentina	Tue May 07 15:16:42 +0000 2019	46020	16140	Eva Perón… Única e irrepetible. Trascendió a sus detractores, al odio y a la muerte porque su amor y su entrega por los humildes la pusieron para siempre en el corazón del pueblo y en la historia de la Nación. <br>Siempre... siempre el amor vence al odio y la mentira❤️#Evita100Años https://t.co/4cJqex1qXs
CFKArgentina	Mon Apr 29 18:19:26 +0000 2019	21498	12507	Esto también está pasando ahora... https://t.co/QUhZx2mBhB
CFKArgentina	Thu Apr 25 12:12:21 +0000 2019	15588	7402	Entrevista al Papa Francisco del programa español Salvados y un fragmento imperdible sobre medios de comunicación y periodismo. https://t.co/PfAzvYvQIC
CFKArgentina	Tue Apr 23 13:16:17 +0000 2019	36330	9999	Y esta... es la tapa.<br>https://t.co/CT6VSFGZa9 https://t.co/0gWXbBiSZs
CFKArgentina	Tue Apr 23 13:02:43 +0000 2019	0	2282	RT @megustaleerarg: 🔴 ANTICIPO | Llega el libro más inesperado del año: Sinceramente, de Cristina Fernández de Kirchner: https://t.co/1xil4…
CFKArgentina	Sun Apr 21 00:13:38 +0000 2019	61344	8622	Quiero agradecer todos y cada uno de los mensajes que me hicieron llegar ayer. Gracias por todo el cariño y la fuerza que me brindaron.
CFKArgentina	Thu Apr 11 16:59:26 +0000 2019	36905	16542	En el mundo al revés, las noticas falsas circulan libremente y aquellos que revelan la verdad son perseguidos y encarcelados. El derecho a la información de los ciudadanos y ciudadanas, bien gracias. #Assange
CFKArgentina	Tue Apr 02 12:37:42 +0000 2019	25945	10091	2 de abril.<br><br>Día del veterano y de los caídos en la Guerra de Malvinas.<br><br>#MalvinasArgentinas 🇦🇷 https://t.co/xSc26xIAvu
CFKArgentina	Mon Apr 01 11:10:54 +0000 2019	8530	3104	Quienes asumimos el compromiso político de defender a las grandes mayorías y a los intereses nacionales sabemos que eso conlleva enormes costos personales, pero cuando los hijos o hijas no eligieron nuestra vida deben permanecer por fuera de cualquier maniobra persecutoria.
CFKArgentina	Mon Apr 01 11:09:23 +0000 2019	5458	2002	Por todo esto es que solicitamos que se autorice a Florencia a permanecer en Cuba hasta que sea dada de alta y que, para eliminar todo tipo de suspicacia, se requiera a través de la Embajada Argentina un informe detallado sobre su estado de salud. https://t.co/tDxE0098PB
CFKArgentina	Mon Apr 01 11:09:23 +0000 2019	3021	1531	A diferencia del fiscal Stornelli, en estos años de persecución Florencia cumplió con todos los requerimientos judiciales que le fueron impuestos y, de ninguna manera, su tratamiento puede ser tomado como una obstrucción a dichos procesos judiciales. https://t.co/ddr8JiDgjP
CFKArgentina	Mon Apr 01 11:06:32 +0000 2019	2376	1191	Esto no lo decimos solamente nosotros, sino que también lo señala el fiscal de manera contundente en su dictamen: “no se ha dispuesto ningún acto procesal que requiera contar con su presencia”. https://t.co/c94smHOhHv
CFKArgentina	Mon Apr 01 11:06:31 +0000 2019	2257	1106	Además, no existe ningún acto procesal que requiera la presencia física de Florencia de manera inmediata, mucho menos si para ello debe interrumpir un tratamiento o someterse a un viaje que los médicos le piden expresamente que no realice. https://t.co/5nFOfr9p6v
CFKArgentina	Mon Apr 01 11:06:30 +0000 2019	2515	1286	El estado de salud de Florencia y la recomendación médica de no viajar se encuentra debidamente certificado en el resumen de su Historia Clínica que expidió el CIMEQ y fue ratificado por el Cuerpo Médico Forense, a solicitud de este mismo Tribunal. https://t.co/DaOytXvmwA
CFKArgentina	Mon Apr 01 11:02:48 +0000 2019	12392	5019	Hoy hicimos una presentación en los tribunales para solicitar que se revoque la muy grave y absurda resolución que obliga a mi hija Florencia a interrumpir el tratamiento médico que está realizando en Cuba y regresar al país este jueves. <br>https://t.co/D5rNXm7LbR
CFKArgentina	Sun Mar 31 19:02:42 +0000 2019	21976	5804	Como pude decirle al presidente Alfonsín cuando le realizamos el homenaje en vida en el 2008: “Es usted el símbolo del retorno a la democracia en la República Argentina. Por eso, quiero darle las gracias”. <br><br>Hoy, a 10 años de su fallecimiento, nuevamente #GraciasAlfonsin https://t.co/N1K1d9lTdw
CFKArgentina	Sun Mar 24 22:10:00 +0000 2019	9560	3572	El espionaje político que se vive en nuestro país es francamente intolerable.<br>https://t.co/XGGHYFShJZ
CFKArgentina	Sun Mar 24 16:24:57 +0000 2019	16229	5880	Memoria, Verdad, Justicia, Democracia y Unidad para frenar este saqueo a los argentinos y las argentinas.<br><br>#24DeMarzo #DíaDeLaMemoria
CFKArgentina	Sun Mar 24 16:24:56 +0000 2019	29522	10864	24 de marzo de 1976 – 24 de marzo de 2019.<br>Ayer y hoy: ajuste de salarios y jubilaciones, destrucción de la industria nacional, aumento de la pobreza, timba financiera y persecución a opositores políticos.<br>Mismas políticas, mismos resultados.
CFKArgentina	Thu Mar 21 15:32:56 +0000 2019	16184	3453	A todos los argentinos y argentinas que me hicieron llegar su afecto y su fuerza, muchísimas gracias de corazón. Y finalmente, a las autoridades de la República de Cuba... gracias infinitas por toda su solidaridad.
CFKArgentina	Thu Mar 21 15:32:23 +0000 2019	8913	2127	Para los médicos y auxiliares que trabajan en el CIMEQ de La Habana, todo mi reconocimiento y agradecimiento. Especialmente al Dr. Roberto Castellanos Gutiérrez y al Dr. Charles Hall Smith, por su capacidad pero sobre todo por su humanidad.
CFKArgentina	Thu Mar 21 15:31:26 +0000 2019	3910	1436	Aunque en realidad, sabiendo cómo funciona el tándem Partido judicial - Medios de comunicación, ni bien se presente el certificado en mesa de entradas, sólo es una cuestión de tiempo su filtración a los medios y su difusión masiva. Así está hoy la Argentina.
CFKArgentina	Thu Mar 21 15:31:25 +0000 2019	4279	1479	Piensa que de este modo terminará el circo de violencia sobre ella y su estado de salud... No se... La verdad es que me hubiera gustado no tener que hacerlo, pero es tanto el odio y la violencia que ejercen contra su persona, que tal vez tenga razón.
CFKArgentina	Thu Mar 21 15:30:37 +0000 2019	4487	1873	El viernes, en Tribunales, presentaremos el resumen de la historia clínica de Florencia donde se detallan los diagnósticos médicos sobre su salud. Fue ella, en virtud de las mentiras y falsedades publicadas en estos días, quien me pidió que se conozcan públicamente. https://t.co/pBn32xSwh7
CFKArgentina	Thu Mar 21 15:30:34 +0000 2019	15823	4645	En una hora parto desde La Habana hacia Buenos Aires. La foto que ves es la del CIMEQ, el centro de referencia de salud en Cuba, en el que Florencia continúa con sus análisis y su tratamiento ambulatorio. https://t.co/7A3QLCRpUG
CFKArgentina	Thu Mar 14 10:00:01 +0000 2019	42865	17641	Quiero compartir con ustedes lo que nos está pasando. https://t.co/kGszGfzbzb
CFKArgentina	Fri Mar 08 19:34:08 +0000 2019	24729	6619	Parafraseando a una publicidad muy vieja de cigarrillos, en este día podemos decirle al colectivo feminista argentino: han recorrido un largo camino muchachas. La profundización del cambio cultural logrado demandará más fuerza y unidad… No lo duden ni un instante.<br><br>#8M2019
CFKArgentina	Thu Mar 07 19:40:47 +0000 2019	13009	5540	Sólo durante las dictaduras se expuso tan claramente un sistema donde los opositores al régimen no tienen ni derechos ni garantías constitucionales y los oficialistas toda la impunidad política, judicial y mediática.
CFKArgentina	Thu Mar 07 19:40:15 +0000 2019	8755	3563	Hoy Stornelli decidió no presentarse a prestar declaración indagatoria en el proceso judicial en el que está acusado, junto a otros, de formar parte de una asociación ilícita por extorsión y espionaje ilegal en la causa de las fotocopias de los cuadernos, en la que él es fiscal.
