screen_name	date	fav	retweet	text
mauriciomacri	Fri May 10 14:19:58 +0000 2019	3190	1138	En vivo: el Presidente inaugura el Viaducto Mitre junto a María Eugenia Vidal y Horacio Rodríguez Larreta. Hace 100 años no se construía un viaducto en la ciudad. https://t.co/Tl5cVv0RnJ
mauriciomacri	Thu May 09 15:19:57 +0000 2019	9780	3030	Palabras del Presidente https://t.co/t7xnHmVgUs
mauriciomacri	Thu May 09 14:59:20 +0000 2019	1448	502	Palabras del Presidente https://t.co/b0mOCa4Qz7
mauriciomacri	Wed May 08 15:32:03 +0000 2019	11257	2339	Hoy es el día de Nuestra Señora de Luján, patrona de nuestro país. Quiero saludar especialmente a todos los argentinos que la veneran y con fe se encomiendan a ella. https://t.co/gIYxpW0YjJ
mauriciomacri	Wed May 08 12:42:13 +0000 2019	3812	1321	En vivo desde Tolosa: el Presidente recorre el nuevo taller de mantenimiento de la línea de trenes Roca. Todos los ramales eléctricos de la línea ya cuentan con frenos automáticos. https://t.co/gwu8iDKf2q
mauriciomacri	Mon May 06 14:40:04 +0000 2019	4277	902	En el inicio de Ramadán quiero saludar hoy a toda la comunidad islámica en Argentina. Mis mejores deseos para que cada una de las buenas obras sea bendecida y multiplicada en beneficio de todos. #RamadanMubarak
mauriciomacri	Sun May 05 15:44:22 +0000 2019	4599	1328	Estoy convencido de que en lo más profundo de la mente de cada argentino ese dilema ya fue respondido. https://t.co/XgumlSdE3c
mauriciomacri	Sun May 05 15:44:22 +0000 2019	6389	1866	¿Somos de los que creemos que las cosas son fáciles y buscamos resultados inmediatos aunque sean falsos; o somos de los que sabemos que hacer algo, por pequeño o grande que sea, es complejo, pero que eso nos hará mejores, más poderosos y más libres?
mauriciomacri	Sun May 05 15:44:22 +0000 2019	5524	1864	LA DISYUNTIVA. Todos conocemos las circunstancias que vivimos, sabemos de qué pasado venimos. Este momento es una oportunidad inmensa. Podemos definirnos mucho más allá de la política, de la gestión, de la economía. Es una oportunidad para declarar qué clase de persona somos.
mauriciomacri	Sun May 05 15:44:21 +0000 2019	3621	1167	Pero ahora, ahí está el Viaducto. En pocos meses ningún vecino recordará las peripecias que vivió. Sus propiedades serán apreciadas, la gente viajará más rápido y las dificultades que atravesaron serán olvidadas. Ese cambio es el que permitirá después hacer otros aún más grandes.
mauriciomacri	Sun May 05 15:44:21 +0000 2019	3065	996	Seamos sinceros: hacer el Viaducto fue una pesadilla para todos los vecinos. Tuvieron que soportar el movimiento de máquinas, ruidos, polvo, calles cortadas; tuvieron que dar rodeos por los desvíos y eso los obligaba a levantarse más temprano para ir a trabajar o a la escuela.
mauriciomacri	Sun May 05 15:44:21 +0000 2019	3399	1102	HACER LAS COSAS BIEN. En estos días vamos a inaugurar junto a la Ciudad de Buenos Aires el Viaducto Mitre. Una obra monumental que va a permitir a los trenes que atraviesan la Ciudad cruzar elevados como sucede en todas las grandes ciudades del mundo.
mauriciomacri	Sun May 05 15:44:20 +0000 2019	3213	1028	Hacer algo de verdad, cualquier cosa que sea, a cualquier escala, en tu vida diaria, en tu casa, en una ciudad, en un país, definitivamente es difícil. Y cuanto más grande es lo que querés hacer, más determinación y confianza se necesita.
mauriciomacri	Sun May 05 15:44:20 +0000 2019	3634	1223	¿Qué quedó de hacer las cosas así? Un país con millones de personas que no tienen ni cloacas. No hablamos de 5G o de trenes super rápidos, el camino fácil después de 80 años dejó un país que no tiene ni cloacas.
mauriciomacri	Sun May 05 15:44:20 +0000 2019	4204	1435	Como pasó en Argentina, es fácil pintar la fachada de un edificio para inaugurarlo usando la Cadena Nacional y dejarlo todo podrido por adentro. Es fácil, lo vimos durante años y vivimos hasta ahora sus consecuencias.
