palabra	frecuencia
tenemos	24
argentinos	17
estamos	16
cambio	14
vamos	13
argentina	11
años	9
cosas	9
momento	9
camino	8
haciendo	8
miedo	8
seguir	8
tener	8
hacer	7
va	7
dificil	6
gobierno	6
mundo	6
presupuesto	6
rapido	6
situacion	6
tiempo	6
trabajo	6
van	6
cada	5
corrupción	5
crisis	5
enfrentar	5
equipo	5
fondo	5
muchas	5
problemas	5
sabemos	5
toca	5
verdad	5
avanzar	4
calidad	4
capacidad	4
crecer	4
crecimiento	4
cualquier	4
cuentas	4
decadas	4
distinto	4
duda	4
dudas	4
escuchar	4
esfuerzo	4
facil	4
futuro	4
gente	4
les	4
medidas	4
meses	4
necesitan	4
otro	4
personas	4
pobreza	4
politica	4
problema	4
queremos	4
realidad	4
saben	4
todas	4
arriba	3
cambiar	3
cambios	3
consensos	3
convivir	3
decisiones	3
desarrollo	3
economía	3
elecciones	3
encontrar	3
equilibrio	3
hicimos	3
inflacion	3
juntos	3
llegar	3
lograr	3
manera	3
momentos	3
pasando	3
plata	3
plazo	3
poder	3
posible	3
primero	3
programas	3
salir	3
sea	3
siglo	3
tengamos	3
terminar	3
tienen	3
tomar	3
ultima	3
vida	3
vivir	3
volver	3
alcance	2
alimentos	2
año	2
aporte	2
asignación	2
aumento	2
avances	2
cantidad	2
capaces	2
cargo	2
cinco	2
conciencia	2
congreso	2
construir	2
convicción	2
corazón	2
corto	2
creen	2
creo	2
cuadernos	2
cuesta	2
cuidando	2
dificultades	2
dimos	2
distintos	2
dolares	2
emergencia	2
empezar	2
encantaria	2
energia	2
era	2
esfuerzos	2
esten	2
estoy	2
estructurales	2
expuestos	2
familias	2
feliz	2
frente	2
fuimos	2
gastar	2
generacion	2
generar	2
gracias	2
grande	2
haber	2
haya	2
he	2
industrias	2
lleno	2
lleva	2
madurar	2
mala	2
mayoria	2
mercado	2
mes	2
miles	2
ministro	2
necesita	2
necesito	2
oportunidad	2
oposicion	2
otras	2
paises	2
paso	2
pedimos	2
pedir	2
pensando	2
pensar	2
permanente	2
podamos	2
podemos	2
poner	2
posibilidades	2
prestaban	2
proceso	2
profesores	2
raiz	2
reciben	2
recibimos	2
recorrer	2
refiero	2
reforzar	2
respeto	2
respuesta	2
rio	2
rutas	2
seguimos	2
sepan	2
sequia	2
siendo	2
sociales	2
somos	2
ultimos	2
unidos	2
universal	2
universitarios	2
verdadero	2
viviendo	2
