Rank	State	Full coverage	Minimum coverage	Difference	incremento	grupo
1	Michigan	8723	5282	3441	1.7	3
2	Rhode Island	3847	1589	2258	1.4	2
3	Louisiana	3525	1329	2196	1.7	3
4	Kentucky	3418	1338	2079	1.6	2
5	Florida	3370	2565	805	0.3	2
6	Nevada	3190	1295	1895	1.5	2
7	Colorado	3164	1075	2089	1.9	3
8	New Jersey	3013	1182	1831	1.5	2
9	Washington D.C.	2793	1260	1533	1.2	2
10	New York	2752	1323	1429	1.1	2
11	Arizona	2699	980	1719	1.8	3
12	Oklahoma	2659	742	1916	2.6	3
13	Connecticut	2619	1192	1428	1.2	2
14	Georgia	2619	1114	1505	1.4	2
15	Texas	2594	890	1704	1.9	3
16	Missouri	2584	874	1710	2.0	3
17	Utah	2538	1105	1433	1.3	2
18	Montana	2525	641	1884	2.9	1
19	Delaware	2513	1316	1197	0.9	2
20	Maryland	2431	1180	1251	1.1	2
21	South Dakota	2338	420	1917	4.6	1
22	Illinois	2313	878	1435	1.6	2
23	Minnesota	2271	983	1289	1.3	2
24	Arkansas	2213	677	1536	2.3	3
25	Mississippi	2208	749	1459	1.9	3
26	Oregon	2205	1136	1070	0.9	2
27	New Mexico	2194	699	1495	2.1	3
28	Kansas	2190	654	1535	2.3	3
29	West Virginia	2131	685	1447	2.1	3
30	Wyoming	2118	485	1632	3.4	1
31	Alabama	2078	736	1342	1.8	3
32	Nebraska	2038	599	1439	2.4	3
33	Pennsylvania	2018	615	1403	2.3	3
34	South Carolina	2013	854	1158	1.4	2
35	New Hampshire	2004	643	1361	2.1	3
36	North Dakota	1979	528	1451	2.7	3
37	Massachusetts	1866	646	1219	1.9	3
38	Tennessee	1821	577	1243	2.2	3
39	California	1804	574	1230	2.1	3
40	Idaho	1777	606	1171	1.9	3
41	Vermont	1769	552	1217	2.2	3
42	Washington	1691	706	985	1.4	2
43	Ohio	1688	561	1127	2.0	3
44	Wisconsin	1590	486	1104	2.3	3
45	Alaska	1502	485	1016	2.1	3
46	Virginia	1498	607	891	1.5	2
47	Indiana	1489	498	991	2.0	3
48	Iowa	1482	357	1124	3.1	1
49	North Carolina	1434	542	892	1.6	2
50	Hawaii	1340	475	865	1.8	3
51	Maine	1268	489	779	1.6	2
