id	title	url	views	module	num
1	Data Visualization for Storytelling and Discovery (Introduction to the course)	https://youtu.be/n__IUXcwaCM	3116	0	0
2	Data Visualization for Storytelling and Discovery: Module 1 video, part 1: What Visualization Is	https://youtu.be/USQOIcZUzFI	5785	1	1
3	Data Visualization for Storytelling and Discovery: Module 1 video, part 2: Elements of Visualization	https://youtu.be/Y_fyspMAAnw	4310	1	2
4	Data Visualization for Storytelling and Discovery: Module 1 video, part 3: Identifying Encodings	https://youtu.be/XTHRzmvSa6c	3553	1	3
5	Data Visualization for Storytelling and Discovery: Module 1 video, part 4: The Core Principles	https://youtu.be/wQrISe2n0hs	3135	1	4
6	Data Visualization for Storytelling and Discovery: Module 1 video, part 5: What Comes Next	https://youtu.be/_GaLlMSDaxQ	2456	1	5
7	Data Visualization for Storytelling and Discovery: Module 2 video, part 1	https://youtu.be/R9l3Q1ictQs	2394	2	1
8	Data Visualization for Storytelling and Discovery: Module 2 video, part 2	https://youtu.be/918IPpzWmMI	1849	2	2
9	Data Visualization for Storytelling and Discovery: Module 2 video, part 3	https://youtu.be/BTrRbS_-Ohg	1798	2	3
10	Data Visualization for Storytelling and Discovery: Module 2 video, part 4 - Making maps with iNZight	https://youtu.be/A_0e6SewtTM	1544	2	4
11	Data Visualization for Storytelling and Discovery: Module 3 video, part 1 - Choosing Encoding	https://youtu.be/DZ8rpfkE_2c	1361	3	1
12	Data Visualization for Storytelling and Discovery: Module 3 video, part 2 - The Encoding Hierarchy	https://youtu.be/QgEzmIeuhXo	1162	3	2
13	Data Visualization for Storytelling and Discovery: Module 3 video, part 3 - Design for Understanding	https://youtu.be/2S89cvOYWas	1192	3	3
14	Data Visualization for Storytelling and Discovery: Module 3 video, part 4 - Words	https://youtu.be/viVOsIfN6x4	1071	3	4
15	Data Visualization for Storytelling and Discovery: Module 4 video, part 1 - Books	https://youtu.be/PnXPhuJ5zeg	830	4	1
16	Data Visualization for Storytelling and Discovery: Module 4 video, part 2 – Resources	https://youtu.be/YDinjqanxl0	710	4	2
17	Data Visualization for Storytelling and Discovery: Final Thoughts	https://youtu.be/XHoha09jJ8U	644	4	3
