screen_name	date	fav	retweet	text
NardaLepes	Sat Jul 28 15:03:21 +0000 2018	2195	152	103) congelar 2: descongela lento, es la clave. En heladera es lo ideal. Asi cuidás la textura. No descongeles en bacha bajo el agua... por favorrrr!
NardaLepes	Sat Jul 28 14:59:02 +0000 2018	939	50	102) congelar 1:  en tandas chicas , dividido, asi se congela mas rapido (queda mejor todo) no bloques gigantes.
NardaLepes	Fri Jul 27 22:22:11 +0000 2018	4155	238	101) se buen cliente de la verduleria, carniceria, pescaderia. Se fiel. Dale feed back , reconocele el buen producto y avisale cuando es medio medio. Establece vinculo, te va a cuidar.
NardaLepes	Fri Jul 27 20:33:45 +0000 2018	5160	1087	100) si queres saber si estas comiendo bien, funciona mucho con niños ( que les gusta el temita ).  Tu caca tiene que flotar. Si va al fondo, falta equilibrio, mas frutas y mas verduras.
NardaLepes	Fri Jul 27 00:23:21 +0000 2018	2675	219	99) conoce las comidas de los otros, vecinos, provincias, paises, u otras culturas. Acercate a las colectividades y proba todo que puedas. Siempre vas a aprender, inspirarte y cocinar mejor.
NardaLepes	Wed Jul 25 18:22:51 +0000 2018	3706	320	98) milanesas al horno. Para que no sean una suela blanca y seca; calentás bien la placa de horno sin nada, pones las milas con un poquito de aceite en la parte baja del horno , pocos minutos x lado.
NardaLepes	Tue Jul 24 23:57:49 +0000 2018	5694	722	97) cuando domines una receta, enseñasela a alguien. Eso es hacer el bien. Comparti. Pasala.
NardaLepes	Tue Jul 24 23:19:13 +0000 2018	1440	84	96) la mayoria de los hornos mienten. Manejate con bajo, medio y fuerte. No con numeros. (Exepto en pasteleria... ya sabes)
NardaLepes	Tue Jul 24 23:12:16 +0000 2018	970	62	95)hace tus vinagretas en un frasco. Tapa y sacudi a lo loco.  Si esta muy densa, chorrito de agua fria.
NardaLepes	Tue Jul 24 23:06:23 +0000 2018	1069	60	94) entra al nivel 2 confiado. Aprende a hacer pickles y conservas. Despues te crees mil.
NardaLepes	Tue Jul 24 22:32:22 +0000 2018	1827	89	93) el extracto de tomate es una pequeña bomba de sabor que necesita solo expandirse y equilibrarse. No dejes que muera en la puerta de tu heladera. Sacala a pasear en salsas, guisos, estofados, etc.
NardaLepes	Tue Jul 24 21:07:57 +0000 2018	5618	470	92) cuando armas un sandwich las fetas no van planas o dobladas, van plegadas, con volumen . Verificado x la Nasa.
NardaLepes	Tue Jul 24 20:16:28 +0000 2018	1216	79	91) usa yogurt natural para vinagretas, ensaladas, salsas y para cocinar. Bien con lo inspirado en mediterráneo o medio oriente... etc
NardaLepes	Tue Jul 24 19:14:02 +0000 2018	2980	221	90) la panceta va a la sarten fria, fuego bajo, tranqui. Desgrasa y se pone crocante.
NardaLepes	Tue Jul 24 18:25:34 +0000 2018	1814	242	89) si los fuegos de tu cocina estan amarillos, llama al gasista.
NardaLepes	Tue Jul 24 18:21:35 +0000 2018	1703	108	88) cuando volves de hacer las compras lava frutas y verduras. Todo listo para comer y usar siempre.
NardaLepes	Tue Jul 24 12:07:03 +0000 2018	3047	239	87) cualquier liquido o aceite que ponemos en sartén o wok,  va por los bordes, no directo al centro.
NardaLepes	Tue Jul 24 12:04:36 +0000 2018	2757	206	86) si tus hojas se ven medio muertas, bol con agua bien fria por 10 minutos. Vuelven a la vida.
NardaLepes	Tue Jul 24 12:03:06 +0000 2018	2270	183	85) la tabla va paradita en un lugar aireado. Sacala de abajo de la bacha. Toma olor y junta humedad.
NardaLepes	Tue Jul 24 12:01:21 +0000 2018	1290	80	84) set de cuchillos basico. Uno grande, un chiquito con buena punta, uno con serrucho. Afilados obvio.
NardaLepes	Tue Jul 24 11:47:28 +0000 2018	5261	631	83) si freis en poco aceite, el resultado es comida aceitosa. Cuanto mas aceite en la sarten u olla, menos en la comida.
NardaLepes	Tue Jul 24 03:09:50 +0000 2018	1982	130	82) si vas a cocinar pescado en la sartén o plancha, corta los filets del ancho de tu espátula. Asi podes dar vuelta sin romperlos.
NardaLepes	Tue Jul 24 03:08:27 +0000 2018	1666	119	81) marinar suma mil puntos. Puede ser unos minutos (queso)  o una hora (pescado)  una noche (pollo o carne). Experimenta.
NardaLepes	Tue Jul 24 02:20:17 +0000 2018	4375	346	80) la pasta sale de la olla al dente y va a la sartén, con  salsa o manteca, o ajo aceite , etc. Y se le agrega 1 cucharon de agua de cocción. Con un chorrito no hacemos nada. Y a mover a lo loco.
NardaLepes	Tue Jul 24 01:54:44 +0000 2018	2146	157	79) en la licuadora , siempre líquidos primero, sólidos después.
NardaLepes	Tue Jul 24 01:47:33 +0000 2018	3728	456	78) tene limones , siempre.
NardaLepes	Tue Jul 24 01:45:32 +0000 2018	6297	566	77) si queres el mejor tostado del mundo, hacelo en sarten o plancha de hierro con oliva o manteca. Bien dorado de ambos lados. De nada.
NardaLepes	Tue Jul 24 01:40:35 +0000 2018	2331	184	76) si vas a hacer un buen bife, va a haber humo. Quiere decir que hay calor suficiente, que va a dorar. Nada mas triste que un churrasquito gris.  El quiere celeste..., o el durazno y la pelusa....
NardaLepes	Mon Jul 23 19:52:42 +0000 2018	2414	135	75) si vas a caramelizar cebolla, hace el doble y guarda. La vas a usar seguro. Y te ahorras un horita de tiempo. Salsas, tarta, rellenos, estofado, empanadas, ...
NardaLepes	Mon Jul 23 19:48:05 +0000 2018	1095	70	74) si compras azúcar mascabo (que tiende a apelmazarse) agregale un poco de azucar blanca asi no se pegotea.
