screen_name	date	fav	retweet	text
NardaLepes	Tue Jul 24 23:57:49 +0000 2018	3553	416	97) cuando domines una receta, enseñasela a alguien. Eso es hacer el bien. Comparti. Pasala.
NardaLepes	Tue Jul 24 23:19:13 +0000 2018	810	47	96) la mayoria de los hornos mienten. Manejate con bajo, medio y fuerte. No con numeros. (Exepto en pasteleria... ya sabes)
NardaLepes	Tue Jul 24 23:12:16 +0000 2018	465	31	95)hace tus vinagretas en un frasco. Tapa y sacudi a lo loco.  Si esta muy densa, chorrito de agua fria.
NardaLepes	Tue Jul 24 23:06:23 +0000 2018	604	33	94) entra al nivel 2 confiado. Aprende a hacer pickles y conservas. Despues te crees mil.
NardaLepes	Tue Jul 24 22:32:22 +0000 2018	1129	50	93) el extracto de tomate es una pequeña bomba de sabor que necesita solo expandirse y equilibrarse. No dejes que m… https://t.co/yfQlxAPwou
NardaLepes	Tue Jul 24 21:07:57 +0000 2018	3759	285	92) cuando armas un sandwich las fetas no van planas o dobladas, van plegadas, con volumen . Verificado x la Nasa.
NardaLepes	Tue Jul 24 20:16:28 +0000 2018	763	42	91) usa yogurt natural para vinagretas, ensaladas, salsas y para cocinar. Bien con lo inspirado en mediterráneo o medio oriente... etc
NardaLepes	Tue Jul 24 19:14:02 +0000 2018	2099	141	90) la panceta va a la sarten fria, fuego bajo, tranqui. Desgrasa y se pone crocante.
NardaLepes	Tue Jul 24 18:25:34 +0000 2018	1170	166	89) si los fuegos de tu cocina estan amarillos, llama al gasista.
NardaLepes	Tue Jul 24 18:21:35 +0000 2018	1148	61	88) cuando volves de hacer las compras lava frutas y verduras. Todo listo para comer y usar siempre.
NardaLepes	Tue Jul 24 12:07:03 +0000 2018	2134	163	87) cualquier liquido o aceite que ponemos en sartén o wok,  va por los bordes, no directo al centro.
NardaLepes	Tue Jul 24 12:04:36 +0000 2018	1895	149	86) si tus hojas se ven medio muertas, bol con agua bien fria por 10 minutos. Vuelven a la vida.
NardaLepes	Tue Jul 24 12:03:06 +0000 2018	1570	127	85) la tabla va paradita en un lugar aireado. Sacala de abajo de la bacha. Toma olor y junta humedad.
NardaLepes	Tue Jul 24 12:01:21 +0000 2018	857	50	84) set de cuchillos basico. Uno grande, un chiquito con buena punta, uno con serrucho. Afilados obvio.
NardaLepes	Tue Jul 24 11:47:28 +0000 2018	3741	436	83) si freis en poco aceite, el resultado es comida aceitosa. Cuanto mas aceite en la sarten u olla, menos en la comida.
NardaLepes	Tue Jul 24 03:09:50 +0000 2018	1484	93	82) si vas a cocinar pescado en la sartén o plancha, corta los filets del ancho de tu espátula. Asi podes dar vuelta sin romperlos.
NardaLepes	Tue Jul 24 03:08:27 +0000 2018	1188	81	81) marinar suma mil puntos. Puede ser unos minutos (queso)  o una hora (pescado)  una noche (pollo o carne). Experimenta.
NardaLepes	Tue Jul 24 02:20:17 +0000 2018	3457	258	80) la pasta sale de la olla al dente y va a la sartén, con  salsa o manteca, o ajo aceite , etc. Y se le agrega 1… https://t.co/x6QQMFZlI6
NardaLepes	Tue Jul 24 01:54:44 +0000 2018	1557	108	79) en la licuadora , siempre líquidos primero, sólidos después.
NardaLepes	Tue Jul 24 01:47:33 +0000 2018	2917	350	78) tene limones , siempre.
NardaLepes	Tue Jul 24 01:45:32 +0000 2018	5012	430	77) si queres el mejor tostado del mundo, hacelo en sarten o plancha de hierro con oliva o manteca. Bien dorado de ambos lados. De nada.
NardaLepes	Tue Jul 24 01:40:35 +0000 2018	1848	142	76) si vas a hacer un buen bife, va a haber humo. Quiere decir que hay calor suficiente, que va a dorar. Nada mas t… https://t.co/Wc95JneLqm
NardaLepes	Mon Jul 23 19:52:42 +0000 2018	1954	104	75) si vas a caramelizar cebolla, hace el doble y guarda. La vas a usar seguro. Y te ahorras un horita de tiempo. S… https://t.co/hmoDnozJoM
NardaLepes	Mon Jul 23 19:48:05 +0000 2018	775	42	74) si compras azúcar mascabo (que tiende a apelmazarse) agregale un poco de azucar blanca asi no se pegotea.
