Title	Source	Date	url	Category	Size
Trump busca poner fin a la ciudadanía de los hijos de extranjeros	LA NACION (Argentina)	Wed, 31 Oct 2018 05:36:17 GMT	https://www.lanacion.com.ar/2186913-trump-busca-poner-fin-a-la-ciudadania-de-los-hijos-de-extranjeros	Internacional	1824
La galería de la épica clasificación de River a la final de la Copa Libertadores en Brasil	Infobae.com	Wed, 31 Oct 2018 14:30:41 GMT	https://www.infobae.com/deportes-2/fotos-100/2018/10/31/la-galeria-de-la-epica-clasificacion-de-river-a-la-final-de-la-copa-libertadores-en-brasil/	Destacadas	1805
Copa Libertadores: Gremio reclamará el resultado del partido con River ante la Conmebol	Clarín.com	Wed, 31 Oct 2018 12:52:43 GMT	https://www.clarin.com/deportes/futbol/gremio-reclamara-resultado-partido-river-conmebol_0_gwhZHh7ky.html	Deportes	1804
El procesador de la nueva iPad Pro revoluciona el concepto de tableta	iprofesional.com	Wed, 31 Oct 2018 12:22:52 GMT	https://www.iprofesional.com/tecnologia/280611-computadora-tableta-apple-El-procesador-de-la-nueva-iPad-Pro-revoluciona-el-concepto-de-tableta	Ciencia y Tecnología	861
El truco matemático de Naty Jota para recordar siempre la edad de Maradona	Infobae.com	Wed, 31 Oct 2018 12:11:42 GMT	https://www.infobae.com/teleshow/infoshow/2018/10/31/el-truco-matematico-de-naty-jota-para-recordar-siempre-la-edad-de-maradona/	Deportes	699
Boca buscará contra Palmeiras ser el otro finalista	Télam	Wed, 31 Oct 2018 11:57:00 GMT	http://www.telam.com.ar/notas/201810/301566-boca-visita-a-palmeiras-en-busca-de-la-final-de-la-libertadores-donde-ya-espera-river.html	Deportes	646
Jair Bolsonaro: gesto a los evangélicos y anuncio de nuevo ministerios	Clarín.com	Wed, 31 Oct 2018 12:34:00 GMT	https://www.clarin.com/mundo/jair-bolsonaro-gesto-evangelicos-anuncio-nuevo-ministerios_0_MABAo7eO1.html	Internacional	437
Internas y reclamos del PJ tensan el trámite final del Presupuesto	Infobae.com	Wed, 31 Oct 2018 06:42:36 GMT	https://www.infobae.com/politica/2018/10/31/internas-y-reclamos-del-pj-tensan-el-tramite-final-del-presupuesto/	Nacional	260
CyberMonday: 25 ofertas destacadas de la segunda jornada	Clarín.com	Tue, 30 Oct 2018 14:11:47 GMT	https://www.clarin.com/sociedad/cybermonday-25-ofertas-destacadas-segunda-jornada_0_cgMKe31MJ.html	Economía	240
Todo sobre el rodaje de la biopic de Freddie Mercury: peleas, polémicas y la palabra de los protagonistas	LA NACION (Argentina)	Wed, 31 Oct 2018 03:50:42 GMT	https://www.lanacion.com.ar/2183206-entre-homenaje-solemne-polemica-se-estrena-biopic	Entretenimiento	240
