fecha	tema	cantidad
2019-04-28	santa fe	60
2019-04-28	paso	47
2019-04-28	españa	42
2019-04-28	elecciones	39
2019-04-28	bielsa	38
2019-04-28	argentina	26
2019-04-28	gol	25
2019-04-28	superliga	25
2019-04-29	paro	80
2019-04-29	dólar	61
2019-04-29	santa fe	41
2019-04-29	día del trabajador	39
2019-04-29	cristina	38
2019-04-29	banco central	37
2019-04-29	macri	36
2019-04-29	córdoba	35
2019-04-30	paro	132
2019-04-30	venezuela	126
2019-04-30	maduro	80
2019-04-30	guaidó	60
2019-04-30	macri	60
2019-04-30	día del trabajador	43
2019-04-30	showmatch	41
2019-04-30	lópez	41
2019-04-30	militares	40
2019-04-30	argentina	40
2019-05-01	venezuela	72
2019-05-01	día del trabajador	61
2019-05-01	messi	54
2019-05-01	maduro	44
2019-05-01	guaidó	35
2019-05-01	paro	35
2019-05-01	macri	32
2019-05-01	barcelona	28
2019-05-01	casillas	27
2019-05-02	venezuela	43
2019-05-02	argentina	34
2019-05-02	maduro	29
2019-05-02	messi	27
2019-05-02	día del trabajador	25
2019-05-02	ser	25
2019-05-02	dólar	21
2019-05-02	córdoba	18
2019-05-02	boca	17
2019-05-02	central	16
