id	monto_contrato	area_responsable
34	3183200000	Ministerio De Desarrollo Urbano Y Transporte
42	2227408083	Ministerio De Desarrollo Urbano Y Transporte
43	2136614835	Ministerio De Desarrollo Urbano Y Transporte
33	1640500000	Ministerio De Desarrollo Urbano Y Transporte
67	1585394079	Ministerio De Desarrollo Urbano Y Transporte
32	1547000000	Ministerio De Desarrollo Urbano Y Transporte
1194	1223091076	Instituto De La Vivienda (Ivc)
1193	1025489287	Instituto De La Vivienda (Ivc)
1192	772501139	Instituto De La Vivienda (Ivc)
1191	690258594	Instituto De La Vivienda (Ivc)
22	508091151	Ministerio De Desarrollo Urbano Y Transporte
40	313660000	Ministerio De Desarrollo Urbano Y Transporte
450	296735562	Ministerio De Salud
1182	294708798	Instituto De La Vivienda (Ivc)
27	283389377	Ministerio De Desarrollo Urbano Y Transporte
1123	276500000	Ministerio De Ambiente Y Espacio Público
1119	251000000	Ministerio De Ambiente Y Espacio Público
48	229538623	Ministerio De Desarrollo Urbano Y Transporte
1187	228882850	Instituto De La Vivienda (Ivc)
1185	217712474	Instituto De La Vivienda (Ivc)
1180	217504266	Instituto De La Vivienda (Ivc)
1186	210593221	Instituto De La Vivienda (Ivc)
1184	201540000	Instituto De La Vivienda (Ivc)
19	194988604	Ministerio De Desarrollo Urbano Y Transporte
3025	185641917	Instituto De La Vivienda (Ivc)
7	179192366	Ministerio De Desarrollo Urbano Y Transporte
13	174609630	Ministerio De Desarrollo Urbano Y Transporte
54	174350000	Ministerio De Desarrollo Urbano Y Transporte
1201	169618970	Ministerio De Educación
13314	168789875	Ministerio De Educación
20	168646366	Ministerio De Desarrollo Urbano Y Transporte
10	166503404	Ministerio De Desarrollo Urbano Y Transporte
8	163279322	Ministerio De Desarrollo Urbano Y Transporte
77	160977932	Ministerio De Desarrollo Urbano Y Transporte
11	160833300	Ministerio De Desarrollo Urbano Y Transporte
16	154853715	Ministerio De Desarrollo Urbano Y Transporte
1178	153208672	Instituto De La Vivienda (Ivc)
6	148823367	Ministerio De Desarrollo Urbano Y Transporte
1190	143231737	Instituto De La Vivienda (Ivc)
50	139861846	Ministerio De Desarrollo Urbano Y Transporte
19008	138000000	Ministerio De Salud
9	137837183	Ministerio De Desarrollo Urbano Y Transporte
185	135485000	Ministerio De Salud
385	134213678	Ministerio De Desarrollo Humano Y Hábitat
1181	132127500	Instituto De La Vivienda (Ivc)
1230	125577459	Ministerio De Educación
1336	123693088	Instituto De La Vivienda (Ivc)
12	123691183	Ministerio De Desarrollo Urbano Y Transporte
52	119960000	Ministerio De Desarrollo Urbano Y Transporte
59	119500000	Ministerio De Desarrollo Urbano Y Transporte
405	116891217	Ministerio De Modernización, Innovación Y Tecnología
60	114299267	Ministerio De Desarrollo Urbano Y Transporte
29	113437807	Ministerio De Desarrollo Urbano Y Transporte
1117	112000000	Ministerio De Ambiente Y Espacio Público
58	111988844	Ministerio De Desarrollo Urbano Y Transporte
445	105154463	Ministerio De Salud
47	103608164	Ministerio De Desarrollo Urbano Y Transporte
184	103000000	Ministerio De Salud
19002	102900000	Ministerio De Salud
14	98174265	Ministerio De Desarrollo Urbano Y Transporte
1227	91288256	Ministerio De Educación
1206	89538867	Ministerio De Educación
31	86226253	Ministerio De Desarrollo Urbano Y Transporte
1120	85010704	Ministerio De Ambiente Y Espacio Público
179	84798501	Ministerio De Salud
1176	84025000	Instituto De La Vivienda (Ivc)
1188	83509547	Instituto De La Vivienda (Ivc)
193	82179167	Ministerio De Salud
35	75368613	Ministerio De Desarrollo Urbano Y Transporte
153	74801899	Ministerio De Desarrollo Humano Y Hábitat
51	71823848	Ministerio De Desarrollo Urbano Y Transporte
37	69200043	Ministerio De Desarrollo Urbano Y Transporte
1	67065700	Ministerio De Desarrollo Urbano Y Transporte
1135	65800000	Ministerio De Ambiente Y Espacio Público
79	62590455	Ministerio De Desarrollo Urbano Y Transporte
600	61408955	Ministerio De Desarrollo Humano Y Hábitat
1332	60912546	Instituto De La Vivienda (Ivc)
1333	60821903	Instituto De La Vivienda (Ivc)
1019	60677935	Ministerio De Desarrollo Humano Y Hábitat
174	60000000	Ministerio De Salud
1020	59922292	Ministerio De Desarrollo Humano Y Hábitat
63	59761171	Ministerio De Desarrollo Urbano Y Transporte
1334	58590234	Instituto De La Vivienda (Ivc)
5127	56809263	Ministerio De Ambiente Y Espacio Público
64	56737649	Ministerio De Desarrollo Urbano Y Transporte
1134	55600000	Ministerio De Ambiente Y Espacio Público
171	55287592	Ministerio De Salud
1110	55128386	Ministerio De Ambiente Y Espacio Público
383	55059359	Ministerio De Desarrollo Humano Y Hábitat
25	54936733	Ministerio De Desarrollo Urbano Y Transporte
28	54936733	Ministerio De Desarrollo Urbano Y Transporte
218	53999667	Subsecretaría De Gestión Comunal
41	52831053	Ministerio De Desarrollo Urbano Y Transporte
