id;entorno;nombre;etapa;etapa_detalle;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;calle_1;seccion;manzana;parcela;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;benficiarios;mano_obra;compromiso;link_interno;pliego_descarga
1225;Escuela De Reemplazo;Escuela De Teatro;Finalizada;;Escuelas;Ministerio De Educación;Dentro Del Plan Reemplazo, Se Incorpora Un Edificio Nuevo Para La Escuela De Danza Con Entrada Independiente, Aulas, Áreas Administrativas, De Sericios Y Recreación.;12499378;9;Mataderos;Oliden;;;;Oliden 1245;-34.6508029265;-58.5068230393;01/11/2016;27/09/2017;;100;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escueladeteatro_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escueladeteatro_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escueladeteatro_3.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escueladeteatro_4.jpg;Dilthey S.A.;;;;Compromiso Público;http://www.buenosaires.gob.ar/baobras/escuelas-de-reemplazo;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_consulta.php?cfilas=10&orden_tipo=desc&tipocontratacion=-&numcontratacion=&siglacontratacion=-&aniocontratacion=-&tipoactuacion=1&numactuacion=23831915&siglaactuacion=-&anioactuacion=-&idrubro=-&idrlicitante=-&idrsolicitante=-&idestado=-&siglaactuacion=-&anulado=-&rlidep=1&rsoldep=1&f_dia_desde=-&f_mes_desde=-&f_anio_desde=-&f_dia_hasta=-&f_mes_hasta=-&f_anio_hasta=-&r_fecha=todos
1297;Mejora Edilicia;Esc. Primaria Común N° 13 Raúl Scalabrini Ortiz / Jardín De Infantes Común N° 07;En Ejecución;;Escuelas;Ministerio De Educación;Obras Para Mejoramiento Edilicio.;695486;13;Colegiales;Conde;;;;Conde 223;-34.5802258867;-58.4454432912;17/07/2017;20/10/2017;;50;;;;;Coypro S.A.;;;;Compromiso Público: Plus Escuelas;http://www.buenosaires.gob.ar/baobras/mejora-edilicia;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=114465
1198;Plan 30 Creación;Jardín De Infantes Integral N° 14;Finalizada;;Escuelas;Ministerio De Educación;Dentro Del Plan 30 Escuelas Nuevas Con Salas De 3, Se Incorpora Un Edificio Nuevo Desarrollado Con La Remodelación De Un Inmueble Existente.Cuenta Con 4 Aulas, Áreas Administrativas, De Servicios Y Expansiones Recreativas.;5006510;4;Parque Patricios;García, Manuel;;;;Garcia, Manuel 370;-34.6402279054;-58.395651429;10/05/2016;30/04/2017;11;100;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_jardindeinfantesintegral14.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_jardindeinfantesintegral14_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_jardindeinfantesintegral14_3.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_jardindeinfantesintegral14_4.jpg;Aparo;;;;Compromiso Público 30 Escuelas Nuevas Con Salas De 3;http://www.buenosaires.gob.ar/baobras/plan-30-creacion;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=118764
1197;Plan 30 Creación;Escuela Infantil N° 07;Finalizada;;Escuelas;Ministerio De Educación;Dentro Del Plan 30 Escuelas Nuevas Con Salas De 3, Se Incorpora Un Edificio Nuevo Desarrollado A Través De Una Construcción No Tradicional. Cuenta Con 8 Aulas, Áreas Administrativas, De Servicios Y Expansiones Recreativas.;6499921;4;Boca;;;;;Palos, Blanes Y Villafañe (Casa Amarilla);-34.633192000;-58.363791;20/05/2015;30/06/2017;24;100;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escinfantil7_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escinfantil7_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escinfantil7_3.jpg;;Teximco S.A.;;;;Compromiso Público 30 Escuelas Nuevas Con Salas De 3;http://www.buenosaires.gob.ar/baobras/plan-30-creacion;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=119036
1252;Ampliación;Inst. De Enseñanza Superior En Lenguas Vivas Juan B. Justo (Sede) Primario;En Ejecución;;Escuelas;Ministerio De Educación;El Ministerio De Educación, En Una Primera Etapa, Está Desarrollando Una Ampliación En El Edificio Existente Del Inst. De Enseñanza Superior En Lenguas Vivas Juan B. Justo.;6380743;11;Villa Del Parque;Lascano;;;;Lascano 3840;-34.6130161165;-58.496036105;25/09/2015;22/01/2018;;50;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_lenguasvivasprimario_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_lenguasvivasprimario_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_lenguasvivasprimario_3.jpg;;Garbin S.A.;;;;Compromiso Público: Nueva Escuela Secundaria;http://www.buenosaires.gob.ar/baobras/ampliaciones;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=119064
1268;Escuela De Reemplazo;Esc. De Danzas N° 02 Jorge Donn;En Ejecución;;Escuelas;Ministerio De Educación;Reemplazo De Magariño Cervantes 5068. Etapa 1 Consistirá En Ampliación De 4 Talleres.;11612519;10;Vélez Sarsfield;Lope De Vega Av.;;;;Lope De Vega Av. Y Murature;-34.6306217075;-58.5031764774;11/06/2015;01/12/2017;;50;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escdanzas2_talleres_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escdanzas2_talleres_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escdanzas2_talleres_3.jpg;;;;;;Compromiso Público Reemplazo;http://www.buenosaires.gob.ar/baobras/escuelas-de-reemplazo;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=119145
1321;Obras Generales;Esc. Primaria Común N° 18 Provincia De Tierra Del Fuego;Finalizada;;Escuelas;Ministerio De Educación;Obra De Ampliación Edilicia;5600000;11;Villa Santa Rita;Dantas, Julio S.;;;;Dantas, Julio S. 3260;-34.6109455768;-58.4881963901;06/10/2016;06/09/2017;;100;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escprimariatierradelfuego_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escprimariatierradelfuego_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escprimariatierradelfuego_3.jpg;;Industrias Mas S.R.L.;;;;Compromiso Público: Obras Generales En Establecimientos Educativos;http://www.buenosaires.gob.ar/baobras/obras-generales;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=125223
1224;Escuela De Reemplazo;Polo Piedrabuena - Esc. De Educación Media N° 01;Finalizada;;Escuelas;Ministerio De Educación;Dentro Del Plan Reemplazo Se Incorpora Un Edificio Nuevo Con Entrada Independiente, Aulas, Áreas Administrativas , De Sericios Y Recreación.;11937896;8;Villa Lugano;Piedra Buena Av.;;;;Piedra Buena Av. Y Zuviria;-34.6741931095;-58.4917060677;;01/10/2016;;100;;;;;Kion S.A.I.C.;;;;Compromiso Público Polo Piedrabuena;http://www.buenosaires.gob.ar/baobras/escuelas-de-reemplazo;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=125766
1241;Obras Generales;Esc. Primaria Común N° 09 Benito Juárez;En Ejecución;;Escuelas;Ministerio De Educación;Obra De Reparaciones Generales;2736733;11;Villa Devoto;Juárez, Benito;;;;Juarez, Benito 2702;-34.6144460219;-58.5098585498;03/10/2016;13/07/2017;;50;;;;;Spinelli & Asociados S.R.L.;;;;Compromiso Público: Obras Generales En Establecimientos Educativos;http://www.buenosaires.gob.ar/baobras/obras-generales;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=125915
1294;Obras Generales;Esc. Superior De Enfermería Dra. Cecilia Grierson;En Ejecución;;Escuelas;Ministerio De Educación;Obra De Ampliación Y Remodelación;23838357;6;Caballito;Ambrosetti, Juan B.;;;;Ambrosetti, Juan B. 601;-34.6101737986;-58.4383786778;01/12/2016;01/12/2017;;50;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escenfermer%c3%adagrierson_1.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escenfermer%c3%adagrierson_2.jpg;http://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/educacion_escenfermer%c3%adagrierson_3.jpg;;Di Pietro S.A.;;;;Compromiso Público: Obras Generales En Establecimientos Educativos;http://www.buenosaires.gob.ar/baobras/obras-generales;http://buenosaires.gob.ar/areas/hacienda/compras/consulta/popup_detalle.php?tipo=licitacion&idlicitacion=126945
