order	topic	youtube_url	view_count
1	virtualenv	https://youtu.be/t1vJzFbmfv8	695 
2	Jupyter	https://youtu.be/kjrXSvX2JTk	660
3	pandas	https://youtu.be/5cGYsvoyZWs	535
4	data	https://youtu.be/2WmHjX5V4v0	636
5	columns	https://youtu.be/ofWJDeC8bB4	526
6	filters	https://youtu.be/lRyABONedV4	393
7	merge	https://youtu.be/yLI8apA3QTo	315
8	totals	https://youtu.be/-xjprU5jlO0	282
9	sorting	https://youtu.be/Wvoa6nyOUYQ	360
10	groupby	https://youtu.be/ceoIUOMRTDI	250
11	git	https://youtu.be/7jB2YnWw_cQ	247
12	Markdown	https://youtu.be/F8k2qegIZKQ	162
13	GitHub	https://youtu.be/XPdr5bCv-T4	186
