Conference	Year	Paper Title	Paper DOI	Link	First page	Last page	Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)	Abstract	Author Names	Author Affiliation	References	Author Keywords	Experimental: OCRd Author Affiliations
Vis	1990	Interdisciplinary visualization: lessons learned at NCSA	10.0000/00000002	http://dl.acm.org/citation.cfm?id=949606&CFID=522724143&CFTOKEN=98665846	457	457	M		Donna J. Cox	National Center for Supercomputing Applications			National Center for Supercomputing Applications
Vis	1990	Surface representations of two- and three-dimensional fluid flow topology	10.1109/VISUAL.1990.146359	http://dx.doi.org/10.1109/VISUAL.1990.146359	6	13, 460	C		James Helman;Lambertus Hesselink	Stanford Univ., CA, USA|c|;			Stanford University Stanford##Stanford University Stanford
Vis	1990	FAST: a multi-processed environment for visualization of computational fluid dynamics	10.1109/VISUAL.1990.146360	http://dx.doi.org/10.1109/VISUAL.1990.146360	14	27, 461-2	C		Gordon V. Bancroft;Fergus Merritt;Todd Plessel;Paul G. Kelaita;R. Kevin McCabe;Al Globus	Sterling Federal Syst. Inc., Palo Alto, CA, USA|c|;;;;;			Sterling Federal Systems Inc##Sterling Federal Systems Inc##Sterling Federal Systems Inc##Sterling Federal Systems Inc##Sterling Federal Systems Inc##Sterling Federal Systems Inc
Vis	1990	The VIS-5D system for easy interactive visualization	10.1109/VISUAL.1990.146361	http://dx.doi.org/10.1109/VISUAL.1990.146361	28	35, 462	C		William L. Hibbard;David A. Santek	Space Sci. & Eng. Center, Wisconsin Univ., Madison, WI, USA|c|;			University of Wisconsin -Madison##University of Wisconsin -Madison
Vis	1990	A procedural interface for volume rendering	10.1109/VISUAL.1990.146362	http://dx.doi.org/10.1109/VISUAL.1990.146362	36	44, 462	C		James L. Montine	Alliant Comput. Syst., Littleton, MA, USA|c|			Alliant Comput. Syst., Littleton, MA, USA|c|
Vis	1990	Techniques for the interactive visualization of volumetric data	10.1109/VISUAL.1990.146363	http://dx.doi.org/10.1109/VISUAL.1990.146363	45	50, 462-3	C		Gregory M. Nielson;Bernd Hamann	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|;	10.1109/VISUAL.1990.146388		Arizona State University Tempe##Arizona State University Tempe
Vis	1990	Displaying voxel-based objects according to their qualitative shape synthesis	10.1109/VISUAL.1990.146364	http://dx.doi.org/10.1109/VISUAL.1990.146364	51	58, 463-4	C		Yaser Yacoob	Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA|c|			University of Maryland College Park
Vis	1990	Interpreting a 3D object from a rough 2D line drawing	10.1109/VISUAL.1990.146365	http://dx.doi.org/10.1109/VISUAL.1990.146365	59	66	C		Del Lamb;Amit Bandopadhay	Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA|c|;			State University of New York at Stony Brook Stony Brook##State University of New York at Stony Brook Stony Brook
Vis	1990	Animation techniques for chain-coded objects	10.1109/VISUAL.1990.146366	http://dx.doi.org/10.1109/VISUAL.1990.146366	67	73	C		Anthony J. Maeder	Dept. of Comput. Sci., Monash Univ., Clayton, Vic., Australia|c|			Monash University
Vis	1990	Extracting geometric models through constraint minimization	10.1109/VISUAL.1990.146367	http://dx.doi.org/10.1109/VISUAL.1990.146367	74	82, 464-5	C		James V. Miller;David E. Breen;Michael J. Wozny	Rensselaer Design. Res. Center, Rensselaer Polytech Inst., Troy, NY, USA|c|;;			Rensselaer Design Research Center Rensselaer Polytechnic Institute Troy##Rensselaer Design Research Center Rensselaer Polytechnic Institute Troy##Rensselaer Design Research Center Rensselaer Polytechnic Institute Troy
