codigo	departamento	bullrich	cristina	suma	diferencia	signo	abs_diferencia	porcentaje
001	Adolfo Alsina	5093	2242	7335	2851	1	2851	38.9
002	Alberti	2989	1383	4372	1606	1	1606	36.7
003	Almirante Brown	81783	128889	210672	-47106	-1	47106	22.4
010	Arrecifes	8077	5024	13101	3053	1	3053	23.3
004	Avellaneda	69486	81373	150859	-11887	-1	11887	7.9
005	Ayacucho	4879	3144	8023	1735	1	1735	21.6
006	Azul	17482	10554	28036	6928	1	6928	24.7
007	Bahía Blanca	80059	38106	118165	41953	1	41953	35.5
008	Balcarce	13492	6395	19887	7097	1	7097	35.7
009	Baradero	7168	6297	13465	871	1	871	6.5
011	Berazategui	48215	75632	123847	-27417	-1	27417	22.1
012	Berisso	17737	18737	36474	-1000	-1	1000	2.7
013	Bolívar	9358	4444	13802	4914	1	4914	35.6
014	Bragado	11437	8428	19865	3009	1	3009	15.1
015	Brandsen	6433	5530	11963	903	1	903	7.5
016	Campana	21761	17708	39469	4053	1	4053	10.3
017	Cañuelas	10095	10847	20942	-752	-1	752	3.6
018	Capitán Sarmiento	3894	2058	5952	1836	1	1836	30.8
019	Carlos Casares	6261	2667	8928	3594	1	3594	40.3
020	Carlos Tejedor	2591	1538	4129	1053	1	1053	25.5
021	Carmen de Areco	3970	2265	6235	1705	1	1705	27.3
023	Castelli	2308	895	3203	1413	1	1413	44.1
029	Chacabuco	13425	9158	22583	4267	1	4267	18.9
030	Chascomús	10671	5165	15836	5506	1	5506	34.8
031	Chivilcoy	12181	7903	20084	4278	1	4278	21.3
024	Colón	5324	5936	11260	-612	-1	612	5.4
025	Coronel Dorrego	4675	2587	7262	2088	1	2088	28.8
026	Coronel Pringles	6799	4318	11117	2481	1	2481	22.3
027	Coronel Rosales	17856	5106	22962	12750	1	12750	55.5
028	Coronel Suárez	9204	5782	14986	3422	1	3422	22.8
032	Daireaux	4777	3311	8088	1466	1	1466	18.1
033	Dolores	8071	3937	12008	4134	1	4134	34.4
034	Ensenada	9596	15090	24686	-5494	-1	5494	22.3
035	Escobar	37809	41979	79788	-4170	-1	4170	5.2
036	Esteban Echeverría	46847	64633	111480	-17786	-1	17786	16.0
037	Exaltación de la Cruz	7572	5453	13025	2119	1	2119	16.3
132	Ezeiza	22595	35726	58321	-13131	-1	13131	22.5
127	F. Ameghino	2621	722	3343	1899	1	1899	56.8
038	Florencio Varela	48542	105100	153642	-56558	-1	56558	36.8
039	General Alvarado	8372	6156	14528	2216	1	2216	15.3
040	General Alvear	2876	1302	4178	1574	1	1574	37.7
041	General Arenales	5535	3135	8670	2400	1	2400	27.7
042	General Belgrano	5287	2504	7791	2783	1	2783	35.7
043	General Guido	1107	345	1452	762	1	762	52.5
044	General Lamadrid	3251	2166	5417	1085	1	1085	20.0
046	General Lavalle	1277	652	1929	625	1	625	32.4
047	General Madariaga	5066	2994	8060	2072	1	2072	25.7
048	General Paz	3158	2745	5903	413	1	413	7.0
049	General Pinto	2460	1254	3714	1206	1	1206	32.5
050	General Pueyrredón	154217	96723	250940	57494	1	57494	22.9
051	General Rodríguez	15051	18624	33675	-3573	-1	3573	10.6
052	General San Martín	78746	74129	152875	4617	1	4617	3.0
054	General Viamonte	4773	3822	8595	951	1	951	11.1
055	General Villegas	7429	2982	10411	4447	1	4447	42.7
056	Gonzales Chaves	2454	2303	4757	151	1	151	3.2
