departamento	circuito	Bullrich	Cristina	Suma	Signo	abs_diferencia	diferencia	dif_relativa	x	y
Adolfo Alsina	0001	3227	1640	4867	1	1587	1587	32.6	-62.7320	-37.1422
Adolfo Alsina	0002	18	1	19	1	17	17	89.5	-62.6747	-37.3128
Adolfo Alsina	0003	1194	497	1691	1	697	697	41.2	-63.2041	-37.2444
Adolfo Alsina	0004	12	0	12	1	12	12	100.0	-62.9710	-37.0550
Adolfo Alsina	0005	532	87	619	1	445	445	71.9	-63.2479	-36.8619
Adolfo Alsina	0006	26	12	38	1	14	14	36.8	-63.2750	-37.5612
Adolfo Alsina	0007	188	74	262	1	114	114	43.5	-63.0125	-37.4049
Alberti	0010	2553	1097	3650	1	1456	1456	39.9	-60.2905	-34.9951
Alberti	0011	21	121	142	-1	100	-100	70.4	-60.3447	-35.0734
Alberti	0012	75	65	140	1	10	10	7.1	-60.2399	-35.1710
Alberti	0013	85	7	92	1	78	78	84.8	-60.3975	-34.8982
Alberti	0014	235	60	295	1	175	175	59.3	-60.3067	-34.8159
Alberti	0015	20	33	53	-1	13	-13	24.5	-60.1141	-35.1251
Almirante Brown	0017	10588	3376	13964	1	7212	7212	51.6	-58.3922	-34.8008
Almirante Brown	0018	7509	8395	15904	-1	886	-886	5.6	-58.3681	-34.7878
Almirante Brown	0018A	7380	20333	27713	-1	12953	-12953	46.7	-58.3428	-34.7714
Almirante Brown	0019	15878	27433	43311	-1	11555	-11555	26.7	-58.3632	-34.8174
Almirante Brown	0020	8486	8220	16706	1	266	266	1.6	-58.3968	-34.8279
Almirante Brown	0020A	4182	10317	14499	-1	6135	-6135	42.3	-58.4202	-34.8382
Almirante Brown	0021	10978	17373	28351	-1	6395	-6395	22.6	-58.3879	-34.8695
Almirante Brown	0021A	1636	4565	6201	-1	2929	-2929	47.2	-58.3337	-34.8538
Almirante Brown	0022	5829	10614	16443	-1	4785	-4785	29.1	-58.3771	-34.8912
Almirante Brown	0022A	8356	15533	23889	-1	7177	-7177	30.0	-58.3356	-34.8049
Almirante Brown	0022B	2363	5241	7604	-1	2878	-2878	37.8	-58.3199	-34.7856
Avellaneda	0023	4485	3172	7657	1	1313	1313	17.1	-58.3682	-34.6660
Avellaneda	0024	3038	2471	5509	1	567	567	10.3	-58.3637	-34.6582
Avellaneda	0025	1887	3002	4889	-1	1115	-1115	22.8	-58.3543	-34.6591
Avellaneda	0026	289	2404	2693	-1	2115	-2115	78.5	-58.3523	-34.6446
Avellaneda	0027	3307	8229	11536	-1	4922	-4922	42.7	-58.3362	-34.6516
Avellaneda	0030	1685	1415	3100	1	270	270	8.7	-58.3816	-34.6648
Avellaneda	0031	385	297	682	1	88	88	12.9	-58.3918	-34.6656
Avellaneda	0032	976	1296	2272	-1	320	-320	14.1	-58.3985	-34.6661
Avellaneda	0033	3841	2478	6319	1	1363	1363	21.6	-58.3858	-34.6767
Avellaneda	0034	5563	5932	11495	-1	369	-369	3.2	-58.3713	-34.6848
Avellaneda	0037	5228	5405	10633	-1	177	-177	1.7	-58.3323	-34.6727
Avellaneda	0038	9838	10404	20242	-1	566	-566	2.8	-58.3557	-34.6853
Avellaneda	0039	10938	18293	29231	-1	7355	-7355	25.2	-58.3278	-34.6895
Avellaneda	0040	18697	17500	36197	1	1197	1197	3.3	-58.3141	-34.6985
Ayacucho	0046	4756	3122	7878	1	1634	1634	20.7	-58.4778	-37.1522
Ayacucho	0048	3	0	3	1	3	3	100.0	-58.5788	-37.2747
Ayacucho	0049	6	1	7	1	5	5	71.4	-58.3712	-37.3701
Ayacucho	0050	17	1	18	1	16	16	88.9	-58.0967	-37.1905
Ayacucho	0051	6	2	8	1	4	4	50.0	-58.3180	-37.0226
Ayacucho	0052	31	9	40	1	22	22	55.0	-58.5418	-36.8514
Ayacucho	0053	5	1	6	1	4	4	66.7	-58.6102	-37.0384
Ayacucho	0054	0	0	0	0	0	0	#DIV/0!	-58.3334	-36.7656
Ayacucho	0055	41	2	43	1	39	39	90.7	-58.4375	-36.5953
Ayacucho	0056	12	3	15	1	9	9	60.0	-58.7632	-37.1696
Ayacucho	0057	2	3	5	-1	1	-1	20.0	-58.8388	-36.9644
Azul	0060	15404	9437	24841	1	5967	5967	24.0	-59.7775	-36.7994
Azul	0061	25	7	32	1	18	18	56.3	-59.9250	-36.9802
Azul	0062	1101	438	1539	1	663	663	43.1	-59.9656	-37.3124
Azul	0062A	20	24	44	-1	4	-4	9.1	-60.1009	-37.1633
Azul	0062B	38	0	38	1	38	38	100.0	-59.8037	-37.1460
Azul	0063	6	0	6	1	6	6	100.0	-59.5315	-36.9099
Azul	0064	2	2	4	0	0	0	0.0	-59.6353	-36.6880
Azul	0065	10	3	13	1	7	7	53.8	-59.5141	-36.5712
Azul	0066	41	14	55	1	27	27	49.1	-59.9722	-36.7453
Azul	0067	884	634	1518	1	250	250	16.5	-59.5274	-36.3648
Azul	0068	9	5	14	1	4	4	28.6	-59.8438	-36.5450
Azul	0069	7	0	7	1	7	7	100.0	-59.3649	-36.5093
Bahía Blanca	0072	3880	1193	5073	1	2687	2687	53.0	-62.2554	-38.7185
Bahía Blanca	0073	7222	3064	10286	1	4158	4158	40.4	-62.2569	-38.7375
Bahía Blanca	0074	6494	3474	9968	1	3020	3020	30.3	-62.2820	-38.7486
Bahía Blanca	0075	3182	1185	4367	1	1997	1997	45.7	-62.2151	-38.7071
Bahía Blanca	0076	10861	7011	17872	1	3850	3850	21.5	-62.1488	-38.7296
Bahía Blanca	0077	1131	700	1831	1	431	431	23.5	-62.2024	-38.6811
Bahía Blanca	0078	2111	617	2728	1	1494	1494	54.8	-62.2230	-38.7027
Bahía Blanca	0079	2132	933	3065	1	1199	1199	39.1	-62.2394	-38.7100
Bahía Blanca	0080	661	170	831	1	491	491	59.1	-61.9271	-38.5813
Bahía Blanca	0083	5519	1232	6751	1	4287	4287	63.5	-62.2648	-38.7106
Bahía Blanca	0084	4860	1205	6065	1	3655	3655	60.3	-62.2772	-38.7200
Bahía Blanca	0085	9941	3701	13642	1	6240	6240	45.7	-62.1735	-38.5204
Bahía Blanca	0086	8313	3397	11710	1	4916	4916	42.0	-62.3012	-38.7028
Bahía Blanca	0087	4207	3119	7326	1	1088	1088	14.9	-62.3005	-38.7326
Bahía Blanca	0088	1492	1085	2577	1	407	407	15.8	-62.4075	-38.5909
Bahía Blanca	0089	3799	911	4710	1	2888	2888	61.3	-62.2504	-38.7010
Bahía Blanca	0090	8	5	13	1	3	3	23.1	-62.2254	-38.6861
Bahía Blanca	0091	1994	2383	4377	-1	389	-389	8.9	-62.3265	-38.7207
Bahía Blanca	0092	2277	2190	4467	1	87	87	1.9	-62.2560	-38.7778
Bahía Blanca	0093	1064	1027	2091	1	37	37	1.8	-62.2525	-38.7597
Balcarce	0098	12682	6151	18833	1	6531	6531	34.7	-58.2794	-37.8747
Balcarce	0099	203	86	289	1	117	117	40.5	-58.2683	-38.0406
Balcarce	0100	140	30	170	1	110	110	64.7	-57.9892	-37.7461
Balcarce	0101	148	50	198	1	98	98	49.5	-58.4256	-37.9274
Balcarce	0102	50	20	70	1	30	30	42.9	-58.2302	-37.6502
Balcarce	0103	40	5	45	1	35	35	77.8	-58.4057	-37.6085
Balcarce	0103A	130	21	151	1	109	109	72.2	-58.6081	-37.5648
Balcarce	0104	99	32	131	1	67	67	51.1	-58.1684	-37.9318
Baradero	0105	6261	5127	11388	1	1134	1134	10.0	-59.3848	-33.7864
Baradero	0106	100	70	170	1	30	30	17.6	-59.5557	-33.8114
Baradero	0107	448	608	1056	-1	160	-160	15.2	-59.4966	-33.8470
Baradero	0108	30	7	37	1	23	23	62.2	-59.5777	-33.8950
Baradero	0109	12	8	20	1	4	4	20.0	-59.5942	-33.9658
Baradero	0110	177	79	256	1	98	98	38.3	-59.6511	-34.0667
Baradero	0111	70	36	106	1	34	34	32.1	-59.4603	-34.0379
Baradero	0113	251	451	702	-1	200	-200	28.5	-59.3910	-33.8857
Baradero	0114	11	5	16	1	6	6	37.5	-59.4636	-33.9410
Arrecifes	0117	7552	4829	12381	1	2723	2723	22.0	-60.0401	-33.9632
Arrecifes	0117A	38	4	42	1	34	34	81.0	-60.0882	-34.1610
Arrecifes	0117B	50	19	69	1	31	31	44.9	-59.9154	-34.0062
Arrecifes	0118	226	92	318	1	134	134	42.1	-60.1591	-33.9878
Arrecifes	0120	211	80	291	1	131	131	45.0	-60.1578	-33.8742
Capitán Sarmiento	0121	3927	2069	5996	1	1858	1858	31.0	-59.7980	-34.1307
Capitán Sarmiento	0122	85	57	142	1	28	28	19.7	-59.9371	-34.1782
Bolívar	0125	7980	3958	11938	1	4022	4022	33.7	-61.1400	-36.2784
Bolívar	0125A	14	0	14	1	14	14	100.0	-60.9874	-36.4002
Bolívar	0126	12	1	13	1	11	11	84.6	-61.0917	-36.0367
Bolívar	0127	64	55	119	1	9	9	7.6	-60.7650	-36.0048
Bolívar	0128	29	4	33	1	25	25	75.8	-60.9642	-35.9706
Bolívar	0129	10	18	28	-1	8	-8	28.6	-60.9221	-36.1839
Bolívar	0130	2	1	3	1	1	1	33.3	-61.3208	-36.2001
Bolívar	0131	17	2	19	1	15	15	78.9	-61.2612	-36.3767
Bolívar	0131A	23	2	25	1	21	21	84.0	-61.1034	-36.5059
Bolívar	0132	984	296	1280	1	688	688	53.8	-61.4383	-36.4286
Bolívar	0133	451	231	682	1	220	220	32.3	-61.4108	-36.5897
Bragado	0136	9846	7200	17046	1	2646	2646	15.5	-60.5296	-35.1352
Bragado	0137	232	318	550	-1	86	-86	15.6	-60.4191	-35.0995
Bragado	0138	33	31	64	1	2	2	3.1	-60.6050	-35.0291
Bragado	0139	5	6	11	-1	1	-1	9.1	-60.4219	-35.2060
