id	depto	x	y
0980	25 de Mayo	-60.1647306450441	-35.4268157459892
0981	25 de Mayo	-60.0193598960176	-35.4490334013014
0982	25 de Mayo	-59.8768564116257	-35.3689774122985
0983	25 de Mayo	-59.7399071622126	-35.2882663623198
0984	25 de Mayo	-59.6056652499184	-35.2673257644924
0985	25 de Mayo	-60.0056090325408	-35.2347056421348
0986	25 de Mayo	-60.3189558954479	-35.4023929581685
0987	25 de Mayo	-60.1927635981397	-35.6496184162344
0988	25 de Mayo	-60.4191711486261	-35.5947493572642
0989	25 de Mayo	-60.594422108113	-35.7377629223125
0990	25 de Mayo	-60.4061196819733	-35.8218031112127
0991	25 de Mayo	-60.6435168934291	-35.8826342712912
0696	9 de Julio	-60.9122875424295	-35.4590193170065
0697	9 de Julio	-60.7487479590408	-35.3578034938501
0698	9 de Julio	-60.6574171690865	-35.4636169290839
0699	9 de Julio	-61.0767833993745	-35.5757390137871
0700	9 de Julio	-61.2358089869696	-35.4267268051194
0701	9 de Julio	-60.856206425581	-35.2384000521137
0701A	9 de Julio	-61.076972794434	-35.2612211490318
0703	9 de Julio	-61.3427181541096	-35.3221094826619
0704	9 de Julio	-60.980368587759	-35.3460569143528
0705	9 de Julio	-60.8024389582452	-35.5778087677566
0705A	9 de Julio	-60.83143001449	-35.4992742061537
0706	9 de Julio	-60.7122509887358	-35.632380772674
0707	9 de Julio	-60.5513447728449	-35.4816197105768
0708	9 de Julio	-60.933205024192	-35.787645201178
0709	9 de Julio	-60.9328552943189	-35.6043709124497
0001	Adolfo Alsina	-62.7320107876588	-37.1421992257566
0002	Adolfo Alsina	-62.6746694913099	-37.3127503390476
0003	Adolfo Alsina	-63.2041107350834	-37.2443892450042
0004	Adolfo Alsina	-62.9709823115415	-37.05502913406
0005	Adolfo Alsina	-63.2478605517108	-36.861869437982
0006	Adolfo Alsina	-63.2750263380716	-37.5612273526971
0007	Adolfo Alsina	-63.0124860744665	-37.4048807579074
0424	Adolfo Gonzales Chaves	-60.0359696969155	-38.0039069235702
0427	Adolfo Gonzales Chaves	-60.534425469842	-38.0251004758838
0428	Adolfo Gonzales Chaves	-60.5479288022556	-37.8230848189281
0010	Alberti	-60.2904658393881	-34.9951367493693
0011	Alberti	-60.3446590308062	-35.0734194634302
0012	Alberti	-60.2398848017448	-35.1709864945528
0013	Alberti	-60.3974927320005	-34.8981562143472
0014	Alberti	-60.3067142844239	-34.8159154021101
0015	Alberti	-60.1140815550357	-35.1250871249602
0017	Almirante Brown	-58.3921798973445	-34.8008338130081
0018	Almirante Brown	-58.3680792619175	-34.7878198802826
0018A	Almirante Brown	-58.3427590033241	-34.7713508122679
0019	Almirante Brown	-58.3631590897385	-34.81738645426
0020	Almirante Brown	-58.3967553822806	-34.8278521629339
0020A	Almirante Brown	-58.4201578861722	-34.838186637749
0021	Almirante Brown	-58.3878760893775	-34.8694556633412
0021A	Almirante Brown	-58.333743471292	-34.8537661113429
0022	Almirante Brown	-58.3771133414969	-34.8911821174815
0022A	Almirante Brown	-58.3356088431381	-34.8049206856455
0022B	Almirante Brown	-58.3199046388977	-34.7856318997008
0023	Avellaneda	-58.3682342178946	-34.6659869065106
0024	Avellaneda	-58.3636974414466	-34.6582317151307
0025	Avellaneda	-58.3543352659334	-34.6591047238167
0026	Avellaneda	-58.3522760100522	-34.6445754057558
0027	Avellaneda	-58.3362182111667	-34.6516183887904
0030	Avellaneda	-58.3815724965217	-34.6648402525637
0031	Avellaneda	-58.391781346948	-34.6656251398042
0032	Avellaneda	-58.3985254253884	-34.6661287943464
0033	Avellaneda	-58.3857826821919	-34.6766632984027
0034	Avellaneda	-58.3712549849384	-34.6848067578887
0037	Avellaneda	-58.3323332287916	-34.6726781059286
0038	Avellaneda	-58.3556983110362	-34.6853374469779
0039	Avellaneda	-58.3278262624074	-34.6895352811853
0040	Avellaneda	-58.3140569101612	-34.698514248833
0046	Ayacucho	-58.4778302274733	-37.1521950871408
0048	Ayacucho	-58.5788061524739	-37.2747441800604
0049	Ayacucho	-58.371162793379	-37.3701043046521
0050	Ayacucho	-58.0966576946382	-37.1905454996243
0051	Ayacucho	-58.3179864735954	-37.0225718853148
0052	Ayacucho	-58.5418238591278	-36.8514230051707
0053	Ayacucho	-58.6101787665675	-37.0383834654295
0054	Ayacucho	-58.3333816943437	-36.7656492218912
0055	Ayacucho	-58.4375035466045	-36.5952736823525
0056	Ayacucho	-58.7631637804672	-37.1695789827448
0057	Ayacucho	-58.8387897649635	-36.9643808638546
0060	Azul	-59.7774790626325	-36.7993958975496
0061	Azul	-59.9249918794331	-36.9801937745924
0062	Azul	-59.9655572440292	-37.3124498523002
0062A	Azul	-60.1009190984175	-37.1633309085851
0062B	Azul	-59.8036824183763	-37.145986438633
0063	Azul	-59.5314672153566	-36.9099278455739
0064	Azul	-59.6352528667509	-36.687961895373
0065	Azul	-59.5141478435686	-36.5712305902239
0066	Azul	-59.972168013786	-36.7453109569887
0067	Azul	-59.5273690602972	-36.3648436644968
0068	Azul	-59.8438296302446	-36.5449657717936
0069	Azul	-59.3648917154373	-36.5092504058363
0072	Bahia Blanca	-62.2554070949683	-38.7184758571919
0073	Bahia Blanca	-62.2568799478398	-38.7374953417408
0074	Bahia Blanca	-62.2819911343873	-38.7486215153759
0075	Bahia Blanca	-62.2150986718242	-38.7070948346793
0076	Bahia Blanca	-62.1488008419987	-38.7295940828152
0077	Bahia Blanca	-62.202362942509	-38.6811251363038
0078	Bahia Blanca	-62.2229848793268	-38.702662976437
0079	Bahia Blanca	-62.2393633300856	-38.7100003559681
0080	Bahia Blanca	-61.9270516057375	-38.5813164657035
0083	Bahia Blanca	-62.2648141798202	-38.7106015764103
0084	Bahia Blanca	-62.2771578878122	-38.7199620507002
0085	Bahia Blanca	-62.1734637519459	-38.5203674837626
0086	Bahia Blanca	-62.301162796596	-38.7028230946475
0087	Bahia Blanca	-62.3004886202637	-38.7325943230142
0088	Bahia Blanca	-62.4075004798195	-38.5908502176641
0089	Bahia Blanca	-62.2503656129924	-38.7009741096419
0090	Bahia Blanca	-62.2253507964536	-38.6860764492577
0091	Bahia Blanca	-62.3264823335607	-38.7207037253813
0092	Bahia Blanca	-62.2560009982952	-38.7778209299881
0093	Bahia Blanca	-62.252547809403	-38.7597458276532
0098	Balcarce	-58.2794028545358	-37.8746827975938
0099	Balcarce	-58.2682560527431	-38.0406013327255
0100	Balcarce	-57.989245191955	-37.7460597549175
0101	Balcarce	-58.4256330110627	-37.927367930528
0102	Balcarce	-58.2302182328039	-37.6502400164506
0103	Balcarce	-58.405657897543	-37.6084979213469
0103A	Balcarce	-58.6081006136099	-37.5648342116949
0104	Balcarce	-58.1683546990468	-37.9318196840929
0105	Baradero	-59.3848140497054	-33.7863727901415
0106	Baradero	-59.5557295268705	-33.811399027111
0107	Baradero	-59.4966002740604	-33.8469556226994
0108	Baradero	-59.5776741402911	-33.895027070995
0109	Baradero	-59.5941917022769	-33.9658324356372
0110	Baradero	-59.6511403222688	-34.0666602228927
0111	Baradero	-59.4602574503329	-34.0378627716012
0113	Baradero	-59.3910490038933	-33.8857147916956
0114	Baradero	-59.4635864105388	-33.9409944232092
0117	Bartolome Mitre	-60.0400927828643	-33.9631892132195
0117A	Bartolome Mitre	-60.0881790825793	-34.1609930672534
0117B	Bartolome Mitre	-59.9153991647856	-34.0062036415373
0118	Bartolome Mitre	-60.1591328534396	-33.9878213668893
0120	Bartolome Mitre	-60.1577609812981	-33.8742476523889
0436	Benito Juarez	-59.8044056081051	-37.6784587387709
0437	Benito Juarez	-60.0135571930293	-37.6397160596129
0438	Benito Juarez	-59.7001724440064	-37.8425834640212
0439	Benito Juarez	-59.4763814027312	-37.6789246866053
0440	Benito Juarez	-59.646424184866	-37.5273641502571
0441	Benito Juarez	-59.7775663672997	-37.3921480005494
0442	Benito Juarez	-60.2545129986247	-37.4634929499716
0789	Berazategui	-58.247527859012	-34.7731432399485
0789A	Berazategui	-58.2357028770131	-34.7876501004198
0789B	Berazategui	-58.2213201292749	-34.7679466812441
0789C	Berazategui	-58.2027897269055	-34.7507792303621
0789D	Berazategui	-58.1815686263132	-34.7581155819133
0789E	Berazategui	-58.2003607590826	-34.7748652040038
0790	Berazategui	-58.2016430914345	-34.7932165513659
0790A	Berazategui	-58.218747870999	-34.8018352579608
0792	Berazategui	-58.0993620745549	-34.800412923911
0792A	Berazategui	-58.1561920552199	-34.8505295201859
0792B	Berazategui	-58.1957607904881	-34.906871501836
0792C	Berazategui	-58.1658695421247	-34.8075799638904
0792D	Berazategui	-58.1596243865255	-34.7695012878575
0511	Berisso	-57.80505501216	-34.9190539156463
0512	Berisso	-57.872578672546	-34.8676215111997
0513	Berisso	-57.8826000676343	-34.8823165211003
0513A	Berisso	-57.9045366319525	-34.9143014169578
0125	Bolivar	-61.1399520592131	-36.27842675498
0125A	Bolivar	-60.9874045673428	-36.4002453411396
0126	Bolivar	-61.0917485183191	-36.0366597592119
0127	Bolivar	-60.7649993730654	-36.0047962239361
0128	Bolivar	-60.9642131069014	-35.970600330504
0129	Bolivar	-60.9221144325806	-36.18392644329
0130	Bolivar	-61.3208233942728	-36.2000709487301
0131	Bolivar	-61.2612270383873	-36.3766865963282
0131A	Bolivar	-61.103356721342	-36.5059115831926
0132	Bolivar	-61.43826436553	-36.4285917880402
0133	Bolivar	-61.4107821870111	-36.5897496647176
0136	Bragado	-60.5295693129629	-35.1351705320455
0137	Bragado	-60.4191155157514	-35.0995451725054
0138	Bragado	-60.6050269253151	-35.0291415583207
0139	Bragado	-60.4218903607203	-35.2060006588203
0140	Bragado	-60.5163885609695	-35.3113190732047
0141	Bragado	-60.6338317724346	-35.2254907446596
0142	Bragado	-60.7373216103526	-35.1286009484259
0143	Bragado	-60.735245688767	-34.9472527287515
0144	Bragado	-60.5653248869482	-34.8965610303211
0145	Bragado	-60.7208617970584	-34.7523973473401
0148	Brandsen	-58.306736153028	-35.1881577980183
0149	Brandsen	-58.1146913663181	-35.2014585954039
0150	Brandsen	-58.2509476133827	-35.2804843400888
0151	Brandsen	-58.1837236099931	-35.0713933515601
0152	Brandsen	-58.1532766436049	-35.339843767663
0153	Brandsen	-57.9696058149791	-35.2249537906527
0153A	Brandsen	-58.0288831016252	-35.2876757997782
0155	Campana	-58.8821967570915	-34.1391800875947
0121	Capitan Sarmiento	-59.7979552196317	-34.1307490627268
0122	Capitan Sarmiento	-59.9371232350359	-34.1781843611353
0164	Carlos Casares	-61.4226292685295	-35.6983271981496
0164A	Carlos Casares	-61.2047656909505	-35.7109372286605
0165	Carlos Casares	-61.5953521671687	-35.4852738159246
0165A	Carlos Casares	-61.5495658413217	-35.5696100589804
0165B	Carlos Casares	-61.4589508415859	-35.4937575007998
0166	Carlos Casares	-61.1890387663515	-35.8836537716343
0167	Carlos Casares	-61.4149509118688	-35.9561492086329
0167A	Carlos Casares	-61.3256192568199	-35.8129548037798
0169	Carlos Tejedor	-62.4486433427728	-35.466531406494
0170	Carlos Tejedor	-62.1674890907263	-35.3819375059948
0171	Carlos Tejedor	-62.222231060869	-35.5940639812918
0171A	Carlos Tejedor	-62.3522758185181	-35.6759863948513
0172	Carlos Tejedor	-62.7642438820271	-35.3596501128148
0173	Carlos Tejedor	-62.5676798465388	-35.2043913639499
0175	Carmen de Areco	-59.7781595393775	-34.3509597101677
0176	Carmen de Areco	-59.9786124576618	-34.3910363642048
0177	Carmen de Areco	-59.872706602707	-34.4904506440748
0185	Castelli	-57.8593352559057	-36.1173178658254
0186	Castelli	-57.6267442509229	-35.9890126827429
0187	Castelli	-57.4255800839177	-35.9947339086828
0157	Ca�uelas	-58.7656984535712	-35.0729558708485
0158	Ca�uelas	-58.6499424249794	-35.0072907351126
0158A	Ca�uelas	-58.6365635813469	-34.9283778896184
0158B	Ca�uelas	-58.7186078600178	-34.9468312435639
0159	Ca�uelas	-58.845585594284	-35.1519687581896
0160	Ca�uelas	-58.6916536636191	-35.1807916435202
0161	Ca�uelas	-58.5638647727274	-35.2228251789365
0162	Ca�uelas	-58.6280665900313	-35.3193134418632
0189	Chacabuco	-60.4698488252986	-34.6432163916729
0190	Chacabuco	-60.6393264119337	-34.6393749270504
0191	Chacabuco	-60.5334085408009	-34.752383528134
0192	Chacabuco	-60.4419392598982	-34.804543460038
0193	Chacabuco	-60.5730556718369	-34.5140742452808
0194	Chacabuco	-60.4322048406015	-34.5177522274947
0195	Chacabuco	-60.3355536980695	-34.7409088926507
0196	Chacabuco	-60.2509273415228	-34.6569303393611
0196A	Chacabuco	-60.2171434693437	-34.5081312654638
0197	Chacabuco	-60.0518121359612	-34.5880030868283
0198	Chacabuco	-59.9474760673802	-34.6359241433479
0201	Chascomus	-57.9653610213756	-35.6243868982542
0202	Chascomus	-57.8506696514649	-35.6789964178657
0203	Chascomus	-57.9758686295813	-35.5256636169458
0204	Chascomus	-58.0392863967147	-35.4359249771744
0205	Chascomus	-57.8490450211077	-35.4906814950866
0206	Chascomus	-57.6196828959918	-35.6589067257294
0207	Chascomus	-57.9049890661273	-35.8781176361336
0208	Chascomus	-58.0809719202707	-35.8125012889356
0209	Chascomus	-58.1687971896806	-35.6455570661428
0209A	Chascomus	-58.3281459462386	-35.7670606864489
0211	Chivilcoy	-60.0126014311373	-34.9139801776171
0212	Chivilcoy	-60.1024890919624	-34.9683075275703
0213	Chivilcoy	-60.162396545571	-34.928574892196
0214	Chivilcoy	-60.2164339092248	-34.8723367050536
0215	Chivilcoy	-60.1245479411133	-34.7983323217486
0216	Chivilcoy	-60.0394823796118	-34.7159444759264
0217	Chivilcoy	-59.9355961367327	-34.7840337541707
0218	Chivilcoy	-59.8546780378514	-34.8410318733581
0219	Chivilcoy	-59.9117211554952	-34.9242211066105
