from	to
10012	10011
10012	10013
10012	10016
10012	10009
10012	10015
10001	10007
10001	10002
10001	10003
10001	10009
10004	10002
10004	10003
10004	10005
10011	10012
10011	10010
10011	10009
10011	10008
10007	10001
10007	10002
10007	10005
10007	10006
10007	10010
10007	10009
10007	10008
10002	10001
10002	10004
10002	10007
10002	10003
10002	10005
10013	10012
10013	10014
10013	10016
10013	10015
10003	10001
10003	10004
10003	10002
10005	10004
10005	10007
10005	10002
10005	10006
10006	10007
10006	10005
10014	10013
10014	10015
10016	10012
10016	10013
10010	10011
10010	10007
10010	10009
10010	10008
10009	10012
10009	10001
10009	10011
10009	10007
10009	10010
10008	10011
10008	10007
10008	10010
10015	10012
10015	10013
10015	10014
