id	codigo	depto	fit	x	y	electores	votantes	blanco	nulos	positivos	porcentaje
10001	001	General Belgrano	27579	-65.432606	-24.08615	211385	153496	4060	4064	145233	18.99
10002	002	Palpalá	4576	-65.124272	-24.192439	43006	31598	840	911	29817	15.35
10003	003	San Antonio	196	-65.45012	-24.33842	4088	3205	42	64	3096	6.33
10004	004	El Carmen	4408	-65.102481	-24.447046	73168	54127	1055	1340	51660	8.53
10005	005	San Pedro	3185	-64.812301	-24.294522	61197	45076	1019	990	43018	7.40
10006	006	Santa Bárbara	204	-64.398516	-24.007447	14527	10622	160	164	10287	1.98
10007	007	Ledesma	3596	-64.804391	-23.770242	64494	45136	1020	1061	43006	8.36
10008	008	Valle Grande	9	-65.015301	-23.460981	2697	535	3	8	524	1.72
10009	009	Tumbaya	222	-65.681458	-23.741117	4822	3667	67	71	3518	6.31
10010	010	Tilcara	686	-65.296527	-23.565359	10268	7410	177	217	7007	9.79
10011	011	Humahuaca	966	-65.405323	-23.076391	13855	9595	320	381	8887	10.87
10012	012	Cochinoca	493	-65.927539	-22.942868	9982	6766	148	251	6359	7.75
10013	013	Rinconada	13	-66.516847	-22.605009	1555	666	16	5	645	2.02
10014	014	Santa Catalina	29	-66.199543	-22.099612	2638	1141	28	26	1087	2.67
10015	015	Yavi	776	-65.563221	-22.257673	16997	10310	286	420	9592	8.09
10016	016	Susques	69	-66.682674	-23.523504	3050	1755	39	88	1628	4.24
