Depto	Partido	Circuito	Mesa	Votos
Adolfo Alsina	CAMBIANDO JUNTOS	0001	1	117
Adolfo Alsina	CELESTE Y BLANCA U	0001	1	74
Adolfo Alsina	CAMBIANDO JUNTOS	0001	2	149
Adolfo Alsina	CELESTE Y BLANCA U	0001	2	42
Adolfo Alsina	CAMBIANDO JUNTOS	0001	3	127
Adolfo Alsina	CELESTE Y BLANCA U	0001	3	70
Adolfo Alsina	CAMBIANDO JUNTOS	0001	4	119
Adolfo Alsina	CELESTE Y BLANCA U	0001	4	60
Adolfo Alsina	CAMBIANDO JUNTOS	0001	5	81
Adolfo Alsina	CELESTE Y BLANCA U	0001	5	81
Adolfo Alsina	CAMBIANDO JUNTOS	0001	6	119
Adolfo Alsina	CELESTE Y BLANCA U	0001	6	75
Adolfo Alsina	CAMBIANDO JUNTOS	0001	7	97
Adolfo Alsina	CELESTE Y BLANCA U	0001	7	74
Adolfo Alsina	CAMBIANDO JUNTOS	0001	8	116
Adolfo Alsina	CELESTE Y BLANCA U	0001	8	65
Adolfo Alsina	CAMBIANDO JUNTOS	0001	9	126
Adolfo Alsina	CELESTE Y BLANCA U	0001	9	49
Adolfo Alsina	CAMBIANDO JUNTOS	0001	10	115
Adolfo Alsina	CELESTE Y BLANCA U	0001	10	84
Adolfo Alsina	CAMBIANDO JUNTOS	0001	11	113
Adolfo Alsina	CELESTE Y BLANCA U	0001	11	79
Adolfo Alsina	CAMBIANDO JUNTOS	0001	12	104
Adolfo Alsina	CELESTE Y BLANCA U	0001	12	69
Adolfo Alsina	CAMBIANDO JUNTOS	0001	13	152
Adolfo Alsina	CELESTE Y BLANCA U	0001	13	62
Adolfo Alsina	CAMBIANDO JUNTOS	0001	14	117
Adolfo Alsina	CELESTE Y BLANCA U	0001	14	70
Adolfo Alsina	CAMBIANDO JUNTOS	0001	15	132
Adolfo Alsina	CELESTE Y BLANCA U	0001	15	62
Adolfo Alsina	CAMBIANDO JUNTOS	0001	16	104
Adolfo Alsina	CELESTE Y BLANCA U	0001	16	72
Adolfo Alsina	CAMBIANDO JUNTOS	0001	17	128
Adolfo Alsina	CELESTE Y BLANCA U	0001	17	51
Adolfo Alsina	CAMBIANDO JUNTOS	0001	18	136
Adolfo Alsina	CELESTE Y BLANCA U	0001	18	54
Adolfo Alsina	CAMBIANDO JUNTOS	0001	19	129
