id	circuito_n	x	y	comuna	barrio	total	masc	fem
001	1	-58.37133042502261	-34.62386653503579	1	SAN TELMO	11377	5695	5682
002	2	-58.37183355762768	-34.618339234032945	1	SAN TELMO	11365	5870	5495
003	3	-58.35418173839925	-34.609714292368366	1	PUERTO MADERO	702	416	286
004	4	-58.364050783501035	-34.605450960441736	1	PUERTO MADERO	489	307	182
005	5	-58.374051899064185	-34.586043413524	1	RETIRO	5275	3131	2144
006	6	-58.38266085527556	-34.591786005013844	1	RETIRO	17159	7661	9498
007	7	-58.38421596441895	-34.596788307083244	1	RETIRO	9011	4132	4879
008	8	-58.37677811189012	-34.59619195583587	1	RETIRO	9483	4904	4579
009	9	-58.374733524867736	-34.60331393644448	1	SAN NICOLAS	12534	7564	4970
010	10	-58.38687939355028	-34.60166492872099	1	SAN NICOLAS	14356	7632	6724
011	11	-58.38652551106568	-34.606425478956254	1	SAN NICOLAS	15584	8286	7298
012	12	-58.38617614286083	-34.61111652686865	1	MONTSERRAT	14284	7670	6614
013	13	-58.38596234952967	-34.61565020771771	1	MONTSERRAT	13733	6741	6992
014	14	-58.37379723821775	-34.61017411475722	1	MONTSERRAT	5989	3572	2417
015	15	-58.37400368873504	-34.614504096080076	1	MONTSERRAT	10212	5416	4796
016	16	-58.37829295982479	-34.622724563225596	1	CONSTITUCION	8563	4349	4214
017	17	-58.385896603362625	-34.62013923231036	1	CONSTITUCION	12756	6229	6527
018	18	-58.385506828021796	-34.624705488195794	1	CONSTITUCION	7886	4131	3755
019	19	-58.38494565305113	-34.629846006705826	1	CONSTITUCION	10799	5784	5015
020	20	-58.389451356047395	-34.577356022638114	2	RECOLETA	7501	3429	4072
021	21	-58.3896119589613	-34.587511438997495	2	RECOLETA	14997	6614	8383
022	22	-58.40533944481092	-34.58655286673246	2	RECOLETA	17433	7550	9883
023	23	-58.40263510892133	-34.5898213547248	2	RECOLETA	20922	9026	11896
024	24	-58.39876590675611	-34.591499888269546	2	RECOLETA	13832	5954	7878
025	25	-58.395162403670994	-34.59304198316459	2	RECOLETA	13367	5766	7601
026	26	-58.39014458870925	-34.595431248380535	2	RECOLETA	18623	8314	10309
027	27	-58.39833512349105	-34.59749220545177	2	RECOLETA	14044	6303	7741
028	28	-58.40727054924896	-34.59534485015873	2	RECOLETA	18854	8305	10549
029	29	-58.41210062719096	-34.59401543720945	2	RECOLETA	12569	5558	7011
030	30	-58.408110885105195	-34.600367112860084	3	BALVANERA	11737	5594	6143
031	31	-58.40104508909275	-34.60212436036706	3	BALVANERA	14387	6840	7547
032	32	-58.39455962421353	-34.60449943852402	3	BALVANERA	13128	6447	6681
033	33	-58.40991493050273	-34.60592294718228	3	BALVANERA	10331	5115	5216
034	34	-58.40128866939631	-34.60728768132388	3	BALVANERA	15739	7459	8280
035	35	-58.4096826856608	-34.61207330289147	3	BALVANERA	12141	5332	6809
036	36	-58.40856363770996	-34.61751367541992	3	BALVANERA	8632	4289	4343
037	37	-58.40293030405748	-34.613707351601235	3	BALVANERA	11589	5614	5975
038	38	-58.39851398755466	-34.614287182193856	3	BALVANERA	13108	6414	6694
039	39	-58.39393613249476	-34.61380417730758	3	BALVANERA	14296	6835	7461
040	40	-58.409588277881845	-34.625040816331946	3	SAN CRISTOBAL	8356	4018	4338
041	41	-58.40246564218171	-34.623944515841444	3	SAN CRISTOBAL	17901	8787	9114
042	42	-58.39474700760908	-34.62277929983998	3	SAN CRISTOBAL	16848	8148	8700
043	43	-58.3977624139619	-34.631879475577435	4	PARQUE PATRICIOS	12645	6221	6424
044	44	-58.40785747516197	-34.633559578790006	4	PARQUE PATRICIOS	9017	4308	4709
045	45	-58.4075794353734	-34.642924134701936	4	PARQUE PATRICIOS	6626	3338	3288
046	46	-58.39687480784981	-34.63977276377005	4	PARQUE PATRICIOS	6122	3165	2957
047	47	-58.39552870386876	-34.65259772742312	4	BARRACAS	10233	5294	4939
048	48	-58.382282638037104	-34.6389029205304	4	BARRACAS	14267	7271	6996
049	49	-58.380499889290064	-34.65149994496451	4	BARRACAS	12432	6402	6030
050	50	-58.37334797745784	-34.6316784775289	4	BARRACAS	14660	7071	7589
051	51	-58.3711067472009	-34.644171401462216	4	BARRACAS	10026	4941	5085
052	52	-58.364684698763995	-34.641982142022805	4	BOCA	12484	6524	5960
053	53	-58.35844906436843	-34.634701480040626	4	BOCA	14884	7563	7321
054	54	-58.35338048667397	-34.625896751956276	4	BOCA	13241	6416	6825
055	55	-58.4094468339906	-34.653998379205106	4	NUEVA POMPEYA	9973	5150	4823
056	56	-58.423764354335894	-34.65370970512667	4	NUEVA POMPEYA	9544	5032	4512
057	57	-58.42188873795163	-34.644094950208334	4	NUEVA POMPEYA	18768	9532	9236
058	58	-58.417883462173165	-34.63530008401917	5	BOEDO	13294	6609	6685
059	59	-58.41901316034156	-34.62872644960789	5	BOEDO	12152	5906	6246
060	60	-58.42001232121303	-34.623615650452415	5	BOEDO	14712	7016	7696
061	61	-58.42577083256256	-34.617026927356946	5	ALMAGRO	14863	6813	8050
062	62	-58.41739185987559	-34.6185864195468	5	ALMAGRO	9659	4643	5016
063	63	-58.41838194262699	-34.612860472550494	5	ALMAGRO	19705	8993	10712
064	64	-58.419799636646815	-34.60653144670465	5	ALMAGRO	21668	10036	11632
065	65	-58.416432286809794	-34.60074157608115	5	ALMAGRO	13353	6262	7091
066	66	-58.425250068984596	-34.60041548649057	5	ALMAGRO	12664	5865	6799
067	67	-58.427959143223696	-34.60725221732821	5	ALMAGRO	20182	9099	11083
068	68	-58.43495968553566	-34.609456901871155	6	CABALLITO	19160	8771	10389
069	69	-58.431685225224456	-34.62104708939361	6	CABALLITO	28315	12610	15705
070	70	-58.44267222215749	-34.613448681003526	6	CABALLITO	24308	11102	13206
071	71	-58.43924014446462	-34.62364582259148	6	CABALLITO	29245	13013	16232
072	72	-58.456018563221804	-34.60872185093268	6	CABALLITO	12639	5968	6671
073	73	-58.451753039302304	-34.61643888668157	6	CABALLITO	16146	7616	8530
074	74	-58.448183725801805	-34.626094017026034	6	CABALLITO	21587	9883	11704
075	75	-58.44707577750378	-34.63363157369407	7	PARQUE CHACABUCO	9742	4565	5177
076	76	-58.43391904017361	-34.63094684368426	7	PARQUE CHACABUCO	14937	6978	7959
077	77	-58.43127887490847	-34.63815992112959	7	PARQUE CHACABUCO	12762	6325	6437
078	78	-58.44122887828863	-34.640543257259374	7	PARQUE CHACABUCO	10464	5121	5343
079	79	-58.47124409274588	-34.624588652042966	7	FLORES	16108	7607	8501
080	80	-58.4629163972138	-34.61876440837178	7	FLORES	12312	5840	6472
081	81	-58.46058099671888	-34.62407687134341	7	FLORES	11764	5389	6375
082	82	-58.46809589657904	-34.632268187592985	7	FLORES	14727	6892	7835
083	83	-58.45813549075762	-34.6293242752712	7	FLORES	21422	9674	11748
084	84	-58.46407638720384	-34.639356331921256	7	FLORES	11472	5544	5928
085	85	-58.45648483173313	-34.63576334387903	7	FLORES	8163	3844	4319
086	86	-58.450238477547735	-34.64768093920873	7	FLORES	25453	12664	12789
087	87	-58.44660488520249	-34.665377808401836	8	VILLA SOLDATI	28726	14869	13857
088	88	-58.463371421301645	-34.691850878870824	8	VILLA RIACHUELO	15703	8274	7429
089	89	-58.467335979326556	-34.678806691690916	8	VILLA LUGANO	46140	23699	22441
090	90	-58.48453685369064	-34.671374874223254	8	VILLA LUGANO	42538	21474	21064
091	91	-58.469893021712465	-34.65613189789241	9	PARQUE AVELLANEDA	7415	3822	3593
