indra	prov	depto	circuito	secelec	departamento	x	y
020010001	02	001	0001	6	Adolfo Alsina	-62.73201078765882	-37.142199225756585
020010002	02	001	0002	6	Adolfo Alsina	-62.67466949130986	-37.31275033904757
020010003	02	001	0003	6	Adolfo Alsina	-63.20411073508343	-37.24438924500417
020010004	02	001	0004	6	Adolfo Alsina	-62.9709823115415	-37.05502913405997
020010005	02	001	0005	6	Adolfo Alsina	-63.247860551710815	-36.861869437982044
020010006	02	001	0006	6	Adolfo Alsina	-63.27502633807165	-37.561227352697095
020010007	02	001	0007	6	Adolfo Alsina	-63.01248607446648	-37.40488075790741
020020010	02	002	0010	4	Alberti	-60.29046583938809	-34.99513674936929
020020011	02	002	0011	4	Alberti	-60.34465903080617	-35.07341946343016
020020012	02	002	0012	4	Alberti	-60.239884801744765	-35.17098649455281
020020013	02	002	0013	4	Alberti	-60.39749273200045	-34.89815621434721
020020014	02	002	0014	4	Alberti	-60.306714284423926	-34.81591540211007
020020015	02	002	0015	4	Alberti	-60.11408155503573	-35.1250871249602
020030017	02	003	0017	3	Almirante Brown	-58.392179897344526	-34.80083381300814
020030018	02	003	0018	3	Almirante Brown	-58.36807926191745	-34.7878198802826
020030018A	02	003	0018A	3	Almirante Brown	-58.342759003324105	-34.77135081226786
020030019	02	003	0019	3	Almirante Brown	-58.363159089738474	-34.81738645426003
020030020	02	003	0020	3	Almirante Brown	-58.39675538228057	-34.82785216293388
020030020A	02	003	0020A	3	Almirante Brown	-58.42015788617225	-34.838186637749004
020030021	02	003	0021	3	Almirante Brown	-58.38787608937745	-34.86945566334123
020030021A	02	003	0021A	3	Almirante Brown	-58.333743471292024	-34.85376611134291
020030022	02	003	0022	3	Almirante Brown	-58.37711334149689	-34.891182117481485
020030022A	02	003	0022A	3	Almirante Brown	-58.33560884313808	-34.80492068564555
020030022B	02	003	0022B	3	Almirante Brown	-58.31990463889768	-34.78563189970075
020040023	02	004	0023	3	Avellaneda	-58.368234217894575	-34.665986906510604
020040024	02	004	0024	3	Avellaneda	-58.36369744144663	-34.658231715130675
020040025	02	004	0025	3	Avellaneda	-58.3543352659334	-34.6591047238167
020040026	02	004	0026	3	Avellaneda	-58.35227601005217	-34.644575405755795
020040027	02	004	0027	3	Avellaneda	-58.3362182111667	-34.651618388790396
020040030	02	004	0030	3	Avellaneda	-58.38157249652172	-34.6648402525637
020040031	02	004	0031	3	Avellaneda	-58.39178134694804	-34.665625139804185
020040032	02	004	0032	3	Avellaneda	-58.39852542538842	-34.66612879434643
020040033	02	004	0033	3	Avellaneda	-58.385782682191945	-34.676663298402715
020040034	02	004	0034	3	Avellaneda	-58.371254984938375	-34.68480675788873
020040037	02	004	0037	3	Avellaneda	-58.33233322879158	-34.672678105928554
020040038	02	004	0038	3	Avellaneda	-58.35569831103621	-34.68533744697786
020040039	02	004	0039	3	Avellaneda	-58.32782626240736	-34.68953528118534
020040040	02	004	0040	3	Avellaneda	-58.31405691016118	-34.69851424883304
020050046	02	005	0046	5	Ayacucho	-58.477830227473305	-37.15219508714084
020050048	02	005	0048	5	Ayacucho	-58.57880615247389	-37.27474418006043
020050049	02	005	0049	5	Ayacucho	-58.37116279337901	-37.37010430465211
020050050	02	005	0050	5	Ayacucho	-58.09665769463822	-37.19054549962429
020050051	02	005	0051	5	Ayacucho	-58.31798647359538	-37.022571885314804
020050052	02	005	0052	5	Ayacucho	-58.541823859127796	-36.85142300517066
020050053	02	005	0053	5	Ayacucho	-58.610178766567465	-37.038383465429455
020050054	02	005	0054	5	Ayacucho	-58.33338169434369	-36.765649221891174
020050055	02	005	0055	5	Ayacucho	-58.437503546604525	-36.59527368235251
020050056	02	005	0056	5	Ayacucho	-58.763163780467174	-37.169578982744795
020050057	02	005	0057	5	Ayacucho	-58.838789764963465	-36.964380863854615
020060060	02	006	0060	7	Azul	-59.77747906263251	-36.79939589754962
020060061	02	006	0061	7	Azul	-59.92499187943312	-36.98019377459244
020060062	02	006	0062	7	Azul	-59.96555724402916	-37.31244985230022
020060062A	02	006	0062A	7	Azul	-60.10091909841751	-37.16333090858506
020060062B	02	006	0062B	7	Azul	-59.80368241837629	-37.14598643863304
020060063	02	006	0063	7	Azul	-59.531467215356585	-36.90992784557392
020060064	02	006	0064	7	Azul	-59.635252866750854	-36.687961895372986
020060065	02	006	0065	7	Azul	-59.51414784356859	-36.571230590223905
020060066	02	006	0066	7	Azul	-59.97216801378597	-36.745310956988696
020060067	02	006	0067	7	Azul	-59.52736906029716	-36.36484366449682
020060068	02	006	0068	7	Azul	-59.84382963024462	-36.544965771793635
020060069	02	006	0069	7	Azul	-59.3648917154373	-36.509250405836305
020070072	02	007	0072	6	Bahia Blanca	-62.25540709496829	-38.71847585719195
020070073	02	007	0073	6	Bahia Blanca	-62.256879947839806	-38.73749534174083
020070074	02	007	0074	6	Bahia Blanca	-62.281991134387304	-38.748621515375866
020070075	02	007	0075	6	Bahia Blanca	-62.21509867182417	-38.70709483467928
020070076	02	007	0076	6	Bahia Blanca	-62.14880084199865	-38.72959408281518
020070077	02	007	0077	6	Bahia Blanca	-62.20236294250896	-38.68112513630384
020070078	02	007	0078	6	Bahia Blanca	-62.222984879326795	-38.702662976437
020070079	02	007	0079	6	Bahia Blanca	-62.239363330085595	-38.71000035596812
020070080	02	007	0080	6	Bahia Blanca	-61.92705160573747	-38.58131646570352
020070083	02	007	0083	6	Bahia Blanca	-62.26481417982019	-38.71060157641034
020070084	02	007	0084	6	Bahia Blanca	-62.2771578878122	-38.71996205070017
020070085	02	007	0085	6	Bahia Blanca	-62.17346375194587	-38.520367483762584
020070086	02	007	0086	6	Bahia Blanca	-62.301162796595996	-38.702823094647535
020070087	02	007	0087	6	Bahia Blanca	-62.30048862026374	-38.73259432301419
020070088	02	007	0088	6	Bahia Blanca	-62.40750047981955	-38.590850217664105
020070089	02	007	0089	6	Bahia Blanca	-62.2503656129924	-38.70097410964195
020070090	02	007	0090	6	Bahia Blanca	-62.22535079645362	-38.686076449257705
020070091	02	007	0091	6	Bahia Blanca	-62.32648233356075	-38.720703725381256
020070092	02	007	0092	6	Bahia Blanca	-62.25600099829521	-38.77782092998811
020070093	02	007	0093	6	Bahia Blanca	-62.25254780940305	-38.759745827653155
020080098	02	008	0098	5	Balcarce	-58.27940285453584	-37.874682797593806
020080099	02	008	0099	5	Balcarce	-58.268256052743126	-38.04060133272551
020080100	02	008	0100	5	Balcarce	-57.989245191954986	-37.74605975491754
020080101	02	008	0101	5	Balcarce	-58.425633011062686	-37.927367930528035
020080102	02	008	0102	5	Balcarce	-58.23021823280389	-37.6502400164506
020080103	02	008	0103	5	Balcarce	-58.40565789754304	-37.60849792134689
020080103A	02	008	0103A	5	Balcarce	-58.60810061360987	-37.564834211694944
020080104	02	008	0104	5	Balcarce	-58.16835469904677	-37.93181968409292
020090105	02	009	0105	2	Baradero	-59.38481404970542	-33.786372790141456
020090106	02	009	0106	2	Baradero	-59.55572952687052	-33.81139902711096
020090107	02	009	0107	2	Baradero	-59.49660027406043	-33.84695562269941
020090108	02	009	0108	2	Baradero	-59.57767414029114	-33.895027070994956
020090109	02	009	0109	2	Baradero	-59.594191702276895	-33.96583243563723
020090110	02	009	0110	2	Baradero	-59.65114032226878	-34.06666022289265
020090111	02	009	0111	2	Baradero	-59.46025745033291	-34.03786277160124
020090113	02	009	0113	2	Baradero	-59.39104900389332	-33.88571479169559
020090114	02	009	0114	2	Baradero	-59.46358641053884	-33.94099442320921
020100117	02	010	0117	2	Bartolome Mitre	-60.04009278286432	-33.96318921321951
020100117A	02	010	0117A	2	Bartolome Mitre	-60.08817908257928	-34.160993067253365
020100117B	02	010	0117B	2	Bartolome Mitre	-59.915399164785626	-34.0062036415373
020100118	02	010	0118	2	Bartolome Mitre	-60.15913285343963	-33.98782136688927
020100120	02	010	0120	2	Bartolome Mitre	-60.15776098129809	-33.87424765238885
020110789	02	011	0789	3	Berazategui	-58.24752785901195	-34.77314323994853
020110789A	02	011	0789A	3	Berazategui	-58.235702877013075	-34.78765010041977
020110789B	02	011	0789B	3	Berazategui	-58.22132012927485	-34.76794668124406
020110789C	02	011	0789C	3	Berazategui	-58.20278972690548	-34.75077923036214
020110789D	02	011	0789D	3	Berazategui	-58.181568626313194	-34.75811558191327
020110789E	02	011	0789E	3	Berazategui	-58.20036075908261	-34.774865204003795
020110790	02	011	0790	3	Berazategui	-58.20164309143446	-34.79321655136593
020110790A	02	011	0790A	3	Berazategui	-58.218747870999	-34.80183525796079
020110792	02	011	0792	3	Berazategui	-58.099362074554904	-34.80041292391097
020110792A	02	011	0792A	3	Berazategui	-58.15619205521993	-34.850529520185866
020110792B	02	011	0792B	3	Berazategui	-58.19576079048806	-34.906871501836044
020110792C	02	011	0792C	3	Berazategui	-58.16586954212472	-34.80757996389043
