depto	circuito	consenso federal	frente de izquierda y de trabajadores - unidad	frente de todos	frente nos	juntos por el cambio
001	0001	266	89	2654	36	3549
001	0002	1	0	2	0	11
001	0003	132	42	841	9	1405
001	0004	1	0	2	1	11
001	0005	46	5	235	3	585
001	0006	6	2	15	0	46
001	0007	18	9	135	0	246
002	0010	202	76	2741	41	3051
002	0011	8	6	304	0	98
002	0012	1	0	128	2	94
002	0013	7	5	36	0	99
002	0014	21	10	217	2	257
002	0015	1	0	65	0	29
003	0017	1034	630	5648	123	11681
003	0018	1574	861	13354	339	8428
003	0019	4308	2589	43717	1214	19138
003	0020	1774	947	13862	317	10103
003	0021	2548	1730	25556	673	11799
003	0022	1652	1106	17658	429	7313
003	0018A	1949	1231	28986	823	8618
003	0020A	1415	714	16148	422	5142
003	0021A	496	329	7107	219	2122
003	0022A	2172	1313	24884	710	10334
003	0022B	589	377	7714	252	2551
004	0023	510	331	4954	53	5079
004	0024	361	309	3853	55	3729
004	0025	413	226	5134	87	2610
004	0026	93	68	3765	58	451
004	0027	665	409	11529	201	3729
004	0030	205	156	2073	30	1755
004	0031	54	32	515	1	456
004	0032	181	99	1760	28	928
004	0033	599	371	4145	54	4284
004	0034	881	576	9093	163	6150
004	0037	823	501	8631	128	6017
004	0038	1415	887	15269	305	10723
004	0039	1974	1069	25656	583	11953
004	0040	3000	1570	27205	522	20350
005	0046	483	170	5565	107	5960
005	0048	0	0	3	0	7
005	0049	1	0	4	0	9
005	0050	0	0	6	0	20
005	0051	0	0	11	0	7
005	0052	3	1	16	0	44
005	0053	0	0	3	1	9
005	0054	0	0	4	0	6
005	0055	5	0	13	0	61
005	0056	6	1	25	0	33
006	0060	1517	751	15302	260	18104
006	0061	0	0	15	1	38
006	0062	96	38	829	14	1336
006	0063	0	0	2	0	9
006	0064	0	0	2	0	2
006	0065	3	0	9	0	19
006	0066	3	1	21	2	44
006	0067	97	42	939	13	1152
006	0068	0	0	8	0	18
006	0069	0	0	0	0	8
006	0062A	3	0	30	0	44
006	0062B	4	1	9	2	49
007	0072	338	248	2535	142	5568
007	0073	646	520	5658	359	9489
007	0074	652	531	6015	326	7372
007	0075	318	223	2165	139	4106
007	0076	1324	949	11472	936	13719
